ward,precinct,total,Deborah Sims,Deborah Sims Percent,precinct_id
9,1,314,314,100.0,09001
9,2,304,304,100.0,09002
9,3,173,173,100.0,09003
9,4,295,295,100.0,09004
9,5,263,263,100.0,09005
9,6,286,286,100.0,09006
9,7,249,249,100.0,09007
9,9,313,313,100.0,09009
9,10,237,237,100.0,09010
9,11,230,230,100.0,09011
9,12,254,254,100.0,09012
9,13,271,271,100.0,09013
9,14,354,354,100.0,09014
9,15,258,258,100.0,09015
9,16,223,223,100.0,09016
9,17,266,266,100.0,09017
9,18,269,269,100.0,09018
9,19,280,280,100.0,09019
9,22,314,314,100.0,09022
9,23,229,229,100.0,09023
9,24,161,161,100.0,09024
9,25,38,38,100.0,09025
9,26,163,163,100.0,09026
9,28,156,156,100.0,09028
9,29,235,235,100.0,09029
9,30,218,218,100.0,09030
9,31,240,240,100.0,09031
9,32,284,284,100.0,09032
9,33,180,180,100.0,09033
9,34,211,211,100.0,09034
9,35,319,319,100.0,09035
9,38,286,286,100.0,09038
9,39,280,280,100.0,09039
9,40,291,291,100.0,09040
9,41,314,314,100.0,09041
9,42,154,154,100.0,09042
9,43,180,180,100.0,09043
9,44,192,192,100.0,09044
9,45,288,288,100.0,09045
9,46,244,244,100.0,09046
9,48,301,301,100.0,09048
9,50,235,235,100.0,09050
9,52,298,298,100.0,09052
9,53,120,120,100.0,09053
19,43,341,341,100.0,19043
19,48,253,253,100.0,19048
19,50,305,305,100.0,19050
19,66,312,312,100.0,19066
34,1,433,433,100.0,34001
34,2,293,293,100.0,34002
34,3,322,322,100.0,34003
34,4,363,363,100.0,34004
34,5,276,276,100.0,34005
34,6,179,179,100.0,34006
34,7,378,378,100.0,34007
34,9,244,244,100.0,34009
34,10,281,281,100.0,34010
34,11,239,239,100.0,34011
34,12,370,370,100.0,34012
34,14,261,261,100.0,34014
34,15,247,247,100.0,34015
34,16,250,250,100.0,34016
34,17,247,247,100.0,34017
34,18,189,189,100.0,34018
34,20,411,411,100.0,34020
34,21,279,279,100.0,34021
34,22,342,342,100.0,34022
34,23,257,257,100.0,34023
34,24,255,255,100.0,34024
34,25,331,331,100.0,34025
34,26,204,204,100.0,34026
34,27,253,253,100.0,34027
34,28,195,195,100.0,34028
34,30,352,352,100.0,34030
34,31,163,163,100.0,34031
34,32,193,193,100.0,34032
34,33,140,140,100.0,34033
34,34,376,376,100.0,34034
34,35,347,347,100.0,34035
34,36,313,313,100.0,34036
34,37,285,285,100.0,34037
34,38,245,245,100.0,34038
34,39,239,239,100.0,34039
34,40,326,326,100.0,34040
34,41,161,161,100.0,34041
34,42,362,362,100.0,34042
34,43,411,411,100.0,34043
34,44,353,353,100.0,34044
34,46,278,278,100.0,34046
34,47,160,160,100.0,34047
34,48,360,360,100.0,34048
34,49,397,397,100.0,34049
34,50,281,281,100.0,34050
34,51,430,430,100.0,34051
34,52,226,226,100.0,34052
34,53,240,240,100.0,34053
34,54,236,236,100.0,34054
34,59,293,293,100.0,34059
34,60,297,297,100.0,34060
34,61,264,264,100.0,34061
