ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,James Sanders,James Sanders Percent,precinct_id
4,1,244,234,95.9,10,4.1,04001
4,9,546,535,97.99,11,2.01,04009
4,17,295,275,93.22,20,6.78,04017
4,21,374,354,94.65,20,5.35,04021
4,22,396,385,97.22,11,2.78,04022
4,28,215,203,94.42,12,5.58,04028
4,29,273,263,96.34,10,3.66,04029
4,32,362,342,94.48,20,5.52,04032
4,34,271,254,93.73,17,6.27,04034
4,38,425,411,96.71,14,3.29,04038
4,41,170,160,94.12,10,5.88,04041
4,43,233,226,97.0,7,3.0,04043
4,44,223,211,94.62,12,5.38,04044
4,45,472,453,95.97,19,4.03,04045
4,47,421,408,96.91,13,3.09,04047
4,48,402,385,95.77,17,4.23,04048
4,54,159,153,96.23,6,3.77,04054
4,55,219,205,93.61,14,6.39,04055
5,1,298,291,97.65,7,2.35,05001
5,3,167,166,99.4,1,0.6,05003
5,5,242,234,96.69,8,3.31,05005
5,6,309,302,97.73,7,2.27,05006
5,7,291,283,97.25,8,2.75,05007
5,8,424,405,95.52,19,4.48,05008
5,11,310,297,95.81,13,4.19,05011
5,14,374,365,97.59,9,2.41,05014
5,17,306,297,97.06,9,2.94,05017
5,21,293,282,96.25,11,3.75,05021
5,22,274,269,98.18,5,1.82,05022
5,24,259,249,96.14,10,3.86,05024
5,25,276,271,98.19,5,1.81,05025
5,26,290,279,96.21,11,3.79,05026
5,27,411,380,92.46,31,7.54,05027
5,28,300,295,98.33,5,1.67,05028
5,29,291,283,97.25,8,2.75,05029
5,30,298,279,93.62,19,6.38,05030
5,31,223,218,97.76,5,2.24,05031
5,32,395,380,96.2,15,3.8,05032
5,33,187,181,96.79,6,3.21,05033
5,34,276,272,98.55,4,1.45,05034
5,35,241,221,91.7,20,8.3,05035
5,36,168,164,97.62,4,2.38,05036
5,37,236,227,96.19,9,3.81,05037
5,38,300,285,95.0,15,5.0,05038
5,39,372,354,95.16,18,4.84,05039
5,40,263,259,98.48,4,1.52,05040
5,41,271,259,95.57,12,4.43,05041
5,42,266,255,95.86,11,4.14,05042
5,43,302,296,98.01,6,1.99,05043
5,44,334,326,97.6,8,2.4,05044
5,46,305,290,95.08,15,4.92,05046
5,47,211,209,99.05,2,0.95,05047
5,48,161,153,95.03,8,4.97,05048
5,49,59,57,96.61,2,3.39,05049
5,53,300,287,95.67,13,4.33,05053
5,54,378,366,96.83,12,3.17,05054
5,55,244,240,98.36,4,1.64,05055
7,3,169,163,96.45,6,3.55,07003
7,8,107,104,97.2,3,2.8,07008
7,9,240,233,97.08,7,2.92,07009
7,10,179,173,96.65,6,3.35,07010
7,11,277,271,97.83,6,2.17,07011
7,14,271,260,95.94,11,4.06,07014
7,15,143,139,97.2,4,2.8,07015
7,16,190,183,96.32,7,3.68,07016
7,17,158,155,98.1,3,1.9,07017
7,18,178,173,97.19,5,2.81,07018
7,20,136,134,98.53,2,1.47,07020
7,22,181,174,96.13,7,3.87,07022
7,23,162,156,96.3,6,3.7,07023
7,28,248,243,97.98,5,2.02,07028
7,32,223,216,96.86,7,3.14,07032
7,35,165,146,88.48,19,11.52,07035
7,39,212,209,98.58,3,1.42,07039
7,40,349,333,95.42,16,4.58,07040
7,44,345,322,93.33,23,6.67,07044
7,45,350,339,96.86,11,3.14,07045
7,46,105,98,93.33,7,6.67,07046
7,48,110,105,95.45,5,4.55,07048
7,54,117,115,98.29,2,1.71,07054
7,56,210,207,98.57,3,1.43,07056
7,63,237,217,91.56,20,8.44,07063
7,64,201,192,95.52,9,4.48,07064
7,65,253,249,98.42,4,1.58,07065
8,70,370,358,96.76,12,3.24,08070
10,1,201,189,94.03,12,5.97,10001
10,4,179,166,92.74,13,7.26,10004
10,7,64,61,95.31,3,4.69,10007
10,18,207,198,95.65,9,4.35,10018
10,23,3,2,66.67,1,33.33,10023
10,25,253,240,94.86,13,5.14,10025
10,37,185,180,97.3,5,2.7,10037
10,43,105,100,95.24,5,4.76,10043
10,45,131,114,87.02,17,12.98,10045
10,47,179,150,83.8,29,16.2,10047
10,48,178,172,96.63,6,3.37,10048
10,49,161,154,95.65,7,4.35,10049
20,26,228,217,95.18,11,4.82,20026
20,34,315,302,95.87,13,4.13,20034
20,38,37,35,94.59,2,5.41,20038
