ward,precinct,total,James D. Brosnahan,James D. Brosnahan Percent,precinct_id
18,19,325,325,100.0,18019
18,24,250,250,100.0,18024
18,25,263,263,100.0,18025
18,26,210,210,100.0,18026
18,30,222,222,100.0,18030
18,32,330,330,100.0,18032
18,34,340,340,100.0,18034
18,45,274,274,100.0,18045
18,46,271,271,100.0,18046
18,51,342,342,100.0,18051
18,52,289,289,100.0,18052
18,53,189,189,100.0,18053
19,9,250,250,100.0,19009
19,56,415,415,100.0,19056
21,15,230,230,100.0,21015
21,29,111,111,100.0,21029
21,35,145,145,100.0,21035
21,36,214,214,100.0,21036
21,57,231,231,100.0,21057
21,70,234,234,100.0,21070
21,71,185,185,100.0,21071
21,73,321,321,100.0,21073
