ward,precinct,total,James Michael McGing,James Michael McGing Percent,precinct_id
1,42,3,3,100.0,01042
30,1,159,159,100.0,30001
30,3,216,216,100.0,30003
30,15,150,150,100.0,30015
32,9,227,227,100.0,32009
32,15,56,56,100.0,32015
32,19,112,112,100.0,32019
32,21,165,165,100.0,32021
32,22,250,250,100.0,32022
32,25,183,183,100.0,32025
33,5,219,219,100.0,33005
33,9,252,252,100.0,33009
33,14,216,216,100.0,33014
33,18,89,89,100.0,33018
35,22,73,73,100.0,35022
35,33,106,106,100.0,35033
38,1,205,205,100.0,38001
38,4,89,89,100.0,38004
38,5,273,273,100.0,38005
38,7,201,201,100.0,38007
38,10,72,72,100.0,38010
38,41,236,236,100.0,38041
38,42,224,224,100.0,38042
39,1,193,193,100.0,39001
39,2,327,327,100.0,39002
39,3,198,198,100.0,39003
39,4,159,159,100.0,39004
39,5,146,146,100.0,39005
39,6,186,186,100.0,39006
39,7,150,150,100.0,39007
39,8,235,235,100.0,39008
39,9,259,259,100.0,39009
39,10,173,173,100.0,39010
39,11,268,268,100.0,39011
39,12,192,192,100.0,39012
39,13,116,116,100.0,39013
39,14,207,207,100.0,39014
39,15,176,176,100.0,39015
39,16,159,159,100.0,39016
39,17,162,162,100.0,39017
39,18,193,193,100.0,39018
39,19,144,144,100.0,39019
39,20,167,167,100.0,39020
39,21,153,153,100.0,39021
39,22,190,190,100.0,39022
39,23,108,108,100.0,39023
39,24,204,204,100.0,39024
39,25,211,211,100.0,39025
39,26,189,189,100.0,39026
39,27,209,209,100.0,39027
39,28,222,222,100.0,39028
39,29,196,196,100.0,39029
39,30,129,129,100.0,39030
39,31,138,138,100.0,39031
39,33,240,240,100.0,39033
39,34,252,252,100.0,39034
39,35,233,233,100.0,39035
39,36,232,232,100.0,39036
39,37,280,280,100.0,39037
39,38,227,227,100.0,39038
39,39,90,90,100.0,39039
39,40,134,134,100.0,39040
39,41,50,50,100.0,39041
39,42,178,178,100.0,39042
39,43,209,209,100.0,39043
39,44,261,261,100.0,39044
39,45,130,130,100.0,39045
39,46,162,162,100.0,39046
39,47,146,146,100.0,39047
40,1,122,122,100.0,40001
40,2,127,127,100.0,40002
40,5,201,201,100.0,40005
40,6,193,193,100.0,40006
40,8,56,56,100.0,40008
40,10,196,196,100.0,40010
40,14,171,171,100.0,40014
40,15,195,195,100.0,40015
40,17,89,89,100.0,40017
40,18,27,27,100.0,40018
40,19,169,169,100.0,40019
40,20,171,171,100.0,40020
40,21,199,199,100.0,40021
40,24,130,130,100.0,40024
40,25,145,145,100.0,40025
40,29,211,211,100.0,40029
40,30,226,226,100.0,40030
40,31,167,167,100.0,40031
40,32,112,112,100.0,40032
40,34,141,141,100.0,40034
40,36,235,235,100.0,40036
40,38,96,96,100.0,40038
40,44,164,164,100.0,40044
40,48,132,132,100.0,40048
40,49,115,115,100.0,40049
41,1,275,275,100.0,41001
41,2,298,298,100.0,41002
41,3,278,278,100.0,41003
41,4,278,278,100.0,41004
41,5,285,285,100.0,41005
41,6,222,222,100.0,41006
41,7,321,321,100.0,41007
41,8,251,251,100.0,41008
41,9,277,277,100.0,41009
41,10,209,209,100.0,41010
41,11,272,272,100.0,41011
41,12,275,275,100.0,41012
41,13,142,142,100.0,41013
41,14,260,260,100.0,41014
41,15,249,249,100.0,41015
41,16,291,291,100.0,41016
41,17,264,264,100.0,41017
41,18,227,227,100.0,41018
41,19,130,130,100.0,41019
41,20,307,307,100.0,41020
41,21,270,270,100.0,41021
41,22,220,220,100.0,41022
41,23,227,227,100.0,41023
41,24,251,251,100.0,41024
41,30,291,291,100.0,41030
41,31,270,270,100.0,41031
41,32,177,177,100.0,41032
41,33,201,201,100.0,41033
41,34,194,194,100.0,41034
41,35,294,294,100.0,41035
41,36,302,302,100.0,41036
41,37,279,279,100.0,41037
41,38,265,265,100.0,41038
41,39,201,201,100.0,41039
41,40,302,302,100.0,41040
41,41,280,280,100.0,41041
41,42,305,305,100.0,41042
41,43,256,256,100.0,41043
41,45,226,226,100.0,41045
41,46,198,198,100.0,41046
41,49,278,278,100.0,41049
41,50,259,259,100.0,41050
41,51,172,172,100.0,41051
41,52,306,306,100.0,41052
41,53,251,251,100.0,41053
41,55,224,224,100.0,41055
41,56,316,316,100.0,41056
45,2,247,247,100.0,45002
45,3,284,284,100.0,45003
45,4,266,266,100.0,45004
45,5,215,215,100.0,45005
45,6,227,227,100.0,45006
45,7,187,187,100.0,45007
45,8,179,179,100.0,45008
45,9,236,236,100.0,45009
45,10,269,269,100.0,45010
45,11,214,214,100.0,45011
45,12,244,244,100.0,45012
45,13,244,244,100.0,45013
45,14,262,262,100.0,45014
45,15,246,246,100.0,45015
45,16,238,238,100.0,45016
45,17,207,207,100.0,45017
45,18,226,226,100.0,45018
45,19,232,232,100.0,45019
45,20,169,169,100.0,45020
45,21,219,219,100.0,45021
45,22,192,192,100.0,45022
45,23,231,231,100.0,45023
45,24,294,294,100.0,45024
45,25,225,225,100.0,45025
45,26,252,252,100.0,45026
45,27,196,196,100.0,45027
45,28,200,200,100.0,45028
45,29,207,207,100.0,45029
45,30,198,198,100.0,45030
45,31,206,206,100.0,45031
45,32,138,138,100.0,45032
45,33,200,200,100.0,45033
45,34,161,161,100.0,45034
45,35,203,203,100.0,45035
45,36,193,193,100.0,45036
45,37,224,224,100.0,45037
45,38,244,244,100.0,45038
45,39,247,247,100.0,45039
45,40,250,250,100.0,45040
45,41,136,136,100.0,45041
45,42,222,222,100.0,45042
45,43,200,200,100.0,45043
45,44,228,228,100.0,45044
45,45,178,178,100.0,45045
45,46,214,214,100.0,45046
45,47,229,229,100.0,45047
45,48,209,209,100.0,45048
45,49,230,230,100.0,45049
45,50,200,200,100.0,45050
45,51,211,211,100.0,45051
45,52,236,236,100.0,45052
45,53,169,169,100.0,45053
46,21,99,99,100.0,46021
47,1,299,299,100.0,47001
47,2,193,193,100.0,47002
47,3,185,185,100.0,47003
47,4,260,260,100.0,47004
47,5,235,235,100.0,47005
47,6,276,276,100.0,47006
47,7,222,222,100.0,47007
47,8,298,298,100.0,47008
47,9,185,185,100.0,47009
47,10,182,182,100.0,47010
47,11,404,404,100.0,47011
47,12,224,224,100.0,47012
47,13,344,344,100.0,47013
47,14,174,174,100.0,47014
47,16,226,226,100.0,47016
47,17,224,224,100.0,47017
47,19,277,277,100.0,47019
47,20,224,224,100.0,47020
47,21,29,29,100.0,47021
47,22,244,244,100.0,47022
47,25,259,259,100.0,47025
47,26,315,315,100.0,47026
47,27,214,214,100.0,47027
47,28,278,278,100.0,47028
47,29,230,230,100.0,47029
47,30,260,260,100.0,47030
47,31,214,214,100.0,47031
47,32,267,267,100.0,47032
47,33,255,255,100.0,47033
47,34,293,293,100.0,47034
