ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Raymond G. Wardingley,Raymond G. Wardingley Percent,precinct_id
3,51,87,74,85.06,13,14.94,03051
11,1,257,231,89.88,26,10.12,11001
11,2,210,176,83.81,34,16.19,11002
11,4,266,248,93.23,18,6.77,11004
11,5,164,149,90.85,15,9.15,11005
11,6,314,281,89.49,33,10.51,11006
11,7,231,201,87.01,30,12.99,11007
11,8,262,228,87.02,34,12.98,11008
11,9,193,170,88.08,23,11.92,11009
11,11,350,297,84.86,53,15.14,11011
11,12,252,226,89.68,26,10.32,11012
11,13,213,200,93.9,13,6.1,11013
11,15,214,190,88.79,24,11.21,11015
11,16,273,240,87.91,33,12.09,11016
11,17,315,278,88.25,37,11.75,11017
11,18,160,138,86.25,22,13.75,11018
11,19,218,191,87.61,27,12.39,11019
11,20,188,172,91.49,16,8.51,11020
11,21,276,255,92.39,21,7.61,11021
11,22,216,206,95.37,10,4.63,11022
11,23,219,197,89.95,22,10.05,11023
11,24,437,390,89.24,47,10.76,11024
11,25,212,183,86.32,29,13.68,11025
11,26,346,319,92.2,27,7.8,11026
11,29,288,260,90.28,28,9.72,11029
11,30,257,225,87.55,32,12.45,11030
11,31,194,172,88.66,22,11.34,11031
11,32,206,187,90.78,19,9.22,11032
11,33,170,153,90.0,17,10.0,11033
11,34,67,61,91.04,6,8.96,11034
11,35,353,318,90.08,35,9.92,11035
11,37,309,277,89.64,32,10.36,11037
11,38,358,306,85.47,52,14.53,11038
11,39,384,355,92.45,29,7.55,11039
11,40,167,155,92.81,12,7.19,11040
11,41,159,147,92.45,12,7.55,11041
11,42,180,165,91.67,15,8.33,11042
11,43,304,269,88.49,35,11.51,11043
11,44,223,184,82.51,39,17.49,11044
11,45,140,117,83.57,23,16.43,11045
11,47,245,218,88.98,27,11.02,11047
11,48,103,91,88.35,12,11.65,11048
11,49,218,192,88.07,26,11.93,11049
11,50,165,146,88.48,19,11.52,11050
13,1,277,237,85.56,40,14.44,13001
13,2,207,192,92.75,15,7.25,13002
13,4,411,334,81.27,77,18.73,13004
13,5,314,298,94.9,16,5.1,13005
13,6,278,246,88.49,32,11.51,13006
13,7,246,224,91.06,22,8.94,13007
13,8,316,263,83.23,53,16.77,13008
13,9,303,274,90.43,29,9.57,13009
13,10,248,211,85.08,37,14.92,13010
13,11,297,275,92.59,22,7.41,13011
13,12,245,216,88.16,29,11.84,13012
13,13,297,278,93.6,19,6.4,13013
13,14,221,189,85.52,32,14.48,13014
13,15,408,376,92.16,32,7.84,13015
13,16,226,211,93.36,15,6.64,13016
13,17,261,226,86.59,35,13.41,13017
13,18,218,190,87.16,28,12.84,13018
13,19,232,215,92.67,17,7.33,13019
13,20,262,231,88.17,31,11.83,13020
13,21,332,302,90.96,30,9.04,13021
13,22,253,237,93.68,16,6.32,13022
13,23,218,197,90.37,21,9.63,13023
13,24,255,232,90.98,23,9.02,13024
13,25,224,194,86.61,30,13.39,13025
13,26,196,187,95.41,9,4.59,13026
13,27,284,253,89.08,31,10.92,13027
13,28,229,215,93.89,14,6.11,13028
13,29,238,215,90.34,23,9.66,13029
13,30,302,282,93.38,20,6.62,13030
13,31,330,308,93.33,22,6.67,13031
13,32,293,277,94.54,16,5.46,13032
13,33,251,227,90.44,24,9.56,13033
13,34,225,186,82.67,39,17.33,13034
13,35,290,262,90.34,28,9.66,13035
13,36,168,153,91.07,15,8.93,13036
13,37,195,162,83.08,33,16.92,13037
13,38,283,252,89.05,31,10.95,13038
13,39,263,240,91.25,23,8.75,13039
13,40,325,288,88.62,37,11.38,13040
13,41,231,216,93.51,15,6.49,13041
13,42,252,227,90.08,25,9.92,13042
13,43,192,182,94.79,10,5.21,13043
13,44,320,308,96.25,12,3.75,13044
13,45,361,325,90.03,36,9.97,13045
13,46,283,248,87.63,35,12.37,13046
13,47,247,230,93.12,17,6.88,13047
13,48,281,242,86.12,39,13.88,13048
13,49,302,276,91.39,26,8.61,13049
13,50,388,357,92.01,31,7.99,13050
14,2,195,167,85.64,28,14.36,14002
14,25,230,209,90.87,21,9.13,14025
14,28,225,205,91.11,20,8.89,14028
15,1,152,143,94.08,9,5.92,15001
15,10,167,152,91.02,15,8.98,15010
15,13,142,135,95.07,7,4.93,15013
15,14,249,224,89.96,25,10.04,15014
15,15,182,170,93.41,12,6.59,15015
15,16,146,124,84.93,22,15.07,15016
15,25,176,169,96.02,7,3.98,15025
15,28,194,168,86.6,26,13.4,15028
15,32,199,190,95.48,9,4.52,15032
15,44,202,187,92.57,15,7.43,15044
15,49,66,60,90.91,6,9.09,15049
16,1,149,146,97.99,3,2.01,16001
16,4,147,137,93.2,10,6.8,16004
16,6,77,73,94.81,4,5.19,16006
16,7,188,180,95.74,8,4.26,16007
16,11,252,244,96.83,8,3.17,16011
16,13,161,147,91.3,14,8.7,16013
16,17,207,183,88.41,24,11.59,16017
16,23,195,174,89.23,21,10.77,16023
16,32,95,83,87.37,12,12.63,16032
16,35,196,180,91.84,16,8.16,16035
