ward,precinct,total,Harry Osterman,Harry Osterman Percent,James R. Batek,James R. Batek Percent,precinct_id
40,3,267,252,94.38,15,5.62,40003
40,4,248,224,90.32,24,9.68,40004
40,7,254,230,90.55,24,9.45,40007
40,11,223,199,89.24,24,10.76,40011
40,12,213,188,88.26,25,11.74,40012
40,13,280,256,91.43,24,8.57,40013
40,16,260,224,86.15,36,13.85,40016
40,26,275,259,94.18,16,5.82,40026
40,27,203,192,94.58,11,5.42,40027
40,28,269,236,87.73,33,12.27,40028
40,35,160,128,80.0,32,20.0,40035
40,37,200,180,90.0,20,10.0,40037
40,42,30,27,90.0,3,10.0,40042
40,43,7,6,85.71,1,14.29,40043
40,47,252,231,91.67,21,8.33,40047
48,1,327,290,88.69,37,11.31,48001
48,2,271,231,85.24,40,14.76,48002
48,3,389,337,86.63,52,13.37,48003
48,5,287,245,85.37,42,14.63,48005
48,6,324,282,87.04,42,12.96,48006
48,7,248,232,93.55,16,6.45,48007
48,8,221,194,87.78,27,12.22,48008
48,9,299,260,86.96,39,13.04,48009
48,10,192,182,94.79,10,5.21,48010
48,11,387,354,91.47,33,8.53,48011
48,12,284,259,91.2,25,8.8,48012
48,13,265,229,86.42,36,13.58,48013
48,14,342,276,80.7,66,19.3,48014
48,15,155,147,94.84,8,5.16,48015
48,16,273,242,88.64,31,11.36,48016
48,18,242,220,90.91,22,9.09,48018
48,19,254,238,93.7,16,6.3,48019
48,20,149,135,90.6,14,9.4,48020
48,22,390,341,87.44,49,12.56,48022
48,26,331,284,85.8,47,14.2,48026
48,27,196,165,84.18,31,15.82,48027
48,28,258,227,87.98,31,12.02,48028
48,29,218,198,90.83,20,9.17,48029
48,30,276,251,90.94,25,9.06,48030
48,31,248,225,90.73,23,9.27,48031
48,32,265,247,93.21,18,6.79,48032
48,33,256,223,87.11,33,12.89,48033
48,36,264,235,89.02,29,10.98,48036
48,37,223,208,93.27,15,6.73,48037
48,38,362,334,92.27,28,7.73,48038
48,39,235,209,88.94,26,11.06,48039
48,41,193,173,89.64,20,10.36,48041
48,42,234,222,94.87,12,5.13,48042
48,43,385,359,93.25,26,6.75,48043
48,44,299,270,90.3,29,9.7,48044
48,45,216,195,90.28,21,9.72,48045
48,46,222,194,87.39,28,12.61,48046
48,47,233,217,93.13,16,6.87,48047
48,48,257,226,87.94,31,12.06,48048
48,50,335,319,95.22,16,4.78,48050
48,51,398,355,89.2,43,10.8,48051
48,52,215,189,87.91,26,12.09,48052
48,53,210,184,87.62,26,12.38,48053
48,54,194,183,94.33,11,5.67,48054
49,2,384,341,88.8,43,11.2,49002
49,3,182,167,91.76,15,8.24,49003
49,4,146,135,92.47,11,7.53,49004
49,7,236,213,90.25,23,9.75,49007
49,8,265,246,92.83,19,7.17,49008
49,9,221,206,93.21,15,6.79,49009
49,10,223,194,87.0,29,13.0,49010
49,11,215,182,84.65,33,15.35,49011
49,12,279,260,93.19,19,6.81,49012
49,13,337,303,89.91,34,10.09,49013
49,15,175,154,88.0,21,12.0,49015
49,17,36,34,94.44,2,5.56,49017
49,18,182,160,87.91,22,12.09,49018
49,19,183,173,94.54,10,5.46,49019
49,21,115,95,82.61,20,17.39,49021
49,22,243,222,91.36,21,8.64,49022
49,23,223,210,94.17,13,5.83,49023
49,25,292,262,89.73,30,10.27,49025
49,26,269,214,79.55,55,20.45,49026
49,27,298,282,94.63,16,5.37,49027
49,29,292,269,92.12,23,7.88,49029
49,31,190,173,91.05,17,8.95,49031
49,32,203,178,87.68,25,12.32,49032
49,33,208,191,91.83,17,8.17,49033
49,36,352,317,90.06,35,9.94,49036
49,37,318,297,93.4,21,6.6,49037
49,39,209,191,91.39,18,8.61,49039
49,42,259,246,94.98,13,5.02,49042
50,34,1,0,0.0,1,100.0,50034
