ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Jason E. Tabour,Jason E. Tabour Percent,precinct_id
2,14,340,317,93.24,23,6.76,02014
2,20,272,264,97.06,8,2.94,02020
2,31,289,277,95.85,12,4.15,02031
2,44,200,193,96.5,7,3.5,02044
2,46,357,340,95.24,17,4.76,02046
3,5,240,227,94.58,13,5.42,03005
3,7,240,228,95.0,12,5.0,03007
3,20,14,14,100.0,0,0.0,03020
3,30,202,200,99.01,2,0.99,03030
3,34,189,182,96.3,7,3.7,03034
3,36,14,14,100.0,0,0.0,03036
3,38,282,278,98.58,4,1.42,03038
3,41,78,75,96.15,3,3.85,03041
3,44,99,99,100.0,0,0.0,03044
3,49,0,0,0.0,0,0.0,03049
3,53,198,172,86.87,26,13.13,03053
4,1,244,226,92.62,18,7.38,04001
4,2,328,317,96.65,11,3.35,04002
4,3,382,372,97.38,10,2.62,04003
4,8,303,296,97.69,7,2.31,04008
4,9,556,543,97.66,13,2.34,04009
4,12,163,159,97.55,4,2.45,04012
4,13,237,224,94.51,13,5.49,04013
4,16,354,345,97.46,9,2.54,04016
4,17,297,276,92.93,21,7.07,04017
4,18,298,288,96.64,10,3.36,04018
4,19,311,305,98.07,6,1.93,04019
4,20,96,96,100.0,0,0.0,04020
4,21,373,348,93.3,25,6.7,04021
4,22,400,372,93.0,28,7.0,04022
4,23,212,191,90.09,21,9.91,04023
4,24,313,294,93.93,19,6.07,04024
4,26,318,313,98.43,5,1.57,04026
4,28,217,199,91.71,18,8.29,04028
4,29,261,237,90.8,24,9.2,04029
4,30,74,72,97.3,2,2.7,04030
4,31,137,131,95.62,6,4.38,04031
4,32,358,327,91.34,31,8.66,04032
4,33,183,179,97.81,4,2.19,04033
4,34,266,228,85.71,38,14.29,04034
4,37,122,119,97.54,3,2.46,04037
4,38,423,405,95.74,18,4.26,04038
4,39,174,171,98.28,3,1.72,04039
4,40,267,247,92.51,20,7.49,04040
4,41,174,161,92.53,13,7.47,04041
4,42,49,47,95.92,2,4.08,04042
4,43,226,215,95.13,11,4.87,04043
4,44,231,211,91.34,20,8.66,04044
4,45,464,439,94.61,25,5.39,04045
4,46,247,237,95.95,10,4.05,04046
4,47,417,395,94.72,22,5.28,04047
4,48,399,364,91.23,35,8.77,04048
4,49,222,219,98.65,3,1.35,04049
4,50,254,246,96.85,8,3.15,04050
4,51,316,302,95.57,14,4.43,04051
4,52,349,341,97.71,8,2.29,04052
4,54,164,157,95.73,7,4.27,04054
4,55,215,189,87.91,26,12.09,04055
5,2,245,239,97.55,6,2.45,05002
5,3,156,147,94.23,9,5.77,05003
5,5,251,250,99.6,1,0.4,05005
5,8,408,369,90.44,39,9.56,05008
5,9,259,254,98.07,5,1.93,05009
5,10,287,282,98.26,5,1.74,05010
5,12,206,202,98.06,4,1.94,05012
5,13,255,247,96.86,8,3.14,05013
