ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,18,34,34,100.0,33018
38,5,312,312,100.0,38005
38,7,240,240,100.0,38007
38,10,223,223,100.0,38010
38,20,266,266,100.0,38020
39,1,208,208,100.0,39001
39,2,353,353,100.0,39002
39,3,240,240,100.0,39003
39,4,171,171,100.0,39004
39,5,166,166,100.0,39005
39,6,213,213,100.0,39006
39,7,164,164,100.0,39007
39,8,284,284,100.0,39008
39,9,306,306,100.0,39009
39,10,201,201,100.0,39010
39,11,314,314,100.0,39011
39,12,4,4,100.0,39012
39,14,244,244,100.0,39014
39,15,195,195,100.0,39015
39,16,182,182,100.0,39016
39,17,176,176,100.0,39017
39,18,233,233,100.0,39018
39,19,164,164,100.0,39019
39,20,188,188,100.0,39020
39,21,164,164,100.0,39021
39,25,238,238,100.0,39025
39,26,239,239,100.0,39026
39,32,219,219,100.0,39032
39,33,276,276,100.0,39033
39,34,276,276,100.0,39034
39,35,244,244,100.0,39035
39,36,270,270,100.0,39036
39,37,311,311,100.0,39037
39,38,261,261,100.0,39038
39,39,102,102,100.0,39039
39,40,153,153,100.0,39040
39,41,119,119,100.0,39041
39,42,222,222,100.0,39042
39,43,227,227,100.0,39043
39,45,146,146,100.0,39045
39,47,166,166,100.0,39047
40,1,73,73,100.0,40001
40,2,10,10,100.0,40002
40,10,88,88,100.0,40010
40,17,99,99,100.0,40017
40,20,36,36,100.0,40020
40,24,99,99,100.0,40024
40,29,229,229,100.0,40029
40,30,261,261,100.0,40030
40,31,189,189,100.0,40031
40,32,122,122,100.0,40032
40,34,146,146,100.0,40034
40,38,101,101,100.0,40038
40,48,142,142,100.0,40048
40,49,130,130,100.0,40049
41,6,235,235,100.0,41006
41,10,235,235,100.0,41010
41,14,287,287,100.0,41014
41,19,320,320,100.0,41019
41,23,244,244,100.0,41023
41,39,216,216,100.0,41039
41,44,255,255,100.0,41044
41,47,256,256,100.0,41047
41,54,218,218,100.0,41054
41,57,228,228,100.0,41057
45,4,306,306,100.0,45004
45,5,254,254,100.0,45005
45,10,299,299,100.0,45010
45,12,274,274,100.0,45012
45,14,298,298,100.0,45014
45,24,316,316,100.0,45024
45,36,225,225,100.0,45036
50,25,11,11,100.0,50025
50,44,158,158,100.0,50044
50,45,99,99,100.0,50045
