ward,precinct,total,Janice D Schakowsky,Janice D Schakowsky Percent,Michael P. Shannon,Michael P. Shannon Percent,precinct_id
40,3,274,252,91.97,22,8.03,40003
40,4,247,219,88.66,28,11.34,40004
40,7,258,226,87.6,32,12.4,40007
40,8,70,58,82.86,12,17.14,40008
40,9,158,132,83.54,26,16.46,40009
40,11,224,190,84.82,34,15.18,40011
40,12,216,186,86.11,30,13.89,40012
40,13,282,252,89.36,30,10.64,40013
40,16,267,236,88.39,31,11.61,40016
40,18,239,211,88.28,28,11.72,40018
40,22,131,109,83.21,22,16.79,40022
40,26,281,256,91.1,25,8.9,40026
40,27,208,185,88.94,23,11.06,40027
40,28,273,232,84.98,41,15.02,40028
40,33,245,212,86.53,33,13.47,40033
40,35,260,214,82.31,46,17.69,40035
40,37,200,167,83.5,33,16.5,40037
40,39,213,179,84.04,34,15.96,40039
40,41,281,247,87.9,34,12.1,40041
40,42,279,236,84.59,43,15.41,40042
40,43,273,236,86.45,37,13.55,40043
40,46,326,288,88.34,38,11.66,40046
40,47,266,241,90.6,25,9.4,40047
41,1,376,214,56.91,162,43.09,41001
41,2,401,218,54.36,183,45.64,41002
41,4,389,236,60.67,153,39.33,41004
41,5,400,238,59.5,162,40.5,41005
41,7,431,272,63.11,159,36.89,41007
41,8,362,235,64.92,127,35.08,41008
41,11,403,242,60.05,161,39.95,41011
41,13,201,126,62.69,75,37.31,41013
41,15,364,212,58.24,152,41.76,41015
41,17,373,257,68.9,116,31.1,41017
41,18,344,207,60.17,137,39.83,41018
41,20,420,254,60.48,166,39.52,41020
41,25,173,128,73.99,45,26.01,41025
41,26,177,107,60.45,70,39.55,41026
41,27,124,89,71.77,35,28.23,41027
41,28,283,183,64.66,100,35.34,41028
41,29,169,107,63.31,62,36.69,41029
41,31,369,228,61.79,141,38.21,41031
41,32,254,148,58.27,106,41.73,41032
41,33,274,160,58.39,114,41.61,41033
41,34,282,152,53.9,130,46.1,41034
41,36,414,257,62.08,157,37.92,41036
41,37,379,223,58.84,156,41.16,41037
41,40,394,243,61.68,151,38.32,41040
41,41,372,243,65.32,129,34.68,41041
41,42,415,235,56.63,180,43.37,41042
41,43,376,251,66.76,125,33.24,41043
41,45,308,206,66.88,102,33.12,41045
41,48,220,158,71.82,62,28.18,41048
41,49,418,237,56.7,181,43.3,41049
41,52,445,257,57.75,188,42.25,41052
41,55,331,185,55.89,146,44.11,41055
