ward,precinct,total,Milton ''Milt'' Patterson,Milton ''Milt'' Patterson Percent,Andrew Grant,Andrew Grant Percent,precinct_id
6,4,184,174,94.57,10,5.43,06004
6,5,162,161,99.38,1,0.62,06005
6,6,244,237,97.13,7,2.87,06006
6,7,298,292,97.99,6,2.01,06007
6,11,214,205,95.79,9,4.21,06011
6,12,245,238,97.14,7,2.86,06012
6,15,192,191,99.48,1,0.52,06015
6,18,164,159,96.95,5,3.05,06018
6,20,247,244,98.79,3,1.21,06020
6,30,210,208,99.05,2,0.95,06030
6,32,294,284,96.6,10,3.4,06032
6,33,346,337,97.4,9,2.6,06033
6,36,163,156,95.71,7,4.29,06036
6,40,175,168,96.0,7,4.0,06040
6,48,268,264,98.51,4,1.49,06048
6,61,180,176,97.78,4,2.22,06061
6,62,258,249,96.51,9,3.49,06062
13,19,231,213,92.21,18,7.79,13019
13,26,192,168,87.5,24,12.5,13026
13,30,240,213,88.75,27,11.25,13030
13,47,241,215,89.21,26,10.79,13047
15,1,97,90,92.78,7,7.22,15001
15,6,204,192,94.12,12,5.88,15006
15,7,150,148,98.67,2,1.33,15007
15,8,277,266,96.03,11,3.97,15008
15,9,217,202,93.09,15,6.91,15009
15,11,222,214,96.4,8,3.6,15011
15,12,123,123,100.0,0,0.0,15012
15,13,146,137,93.84,9,6.16,15013
15,14,247,209,84.62,38,15.38,15014
15,15,185,175,94.59,10,5.41,15015
15,21,201,197,98.01,4,1.99,15021
15,25,177,166,93.79,11,6.21,15025
15,27,149,142,95.3,7,4.7,15027
15,28,191,160,83.77,31,16.23,15028
15,30,24,23,95.83,1,4.17,15030
15,32,197,182,92.39,15,7.61,15032
15,34,156,152,97.44,4,2.56,15034
15,41,254,236,92.91,18,7.09,15041
15,42,95,95,100.0,0,0.0,15042
15,44,195,178,91.28,17,8.72,15044
15,45,88,86,97.73,2,2.27,15045
15,46,141,139,98.58,2,1.42,15046
15,47,221,216,97.74,5,2.26,15047
15,49,65,60,92.31,5,7.69,15049
15,51,146,142,97.26,4,2.74,15051
16,35,198,184,92.93,14,7.07,16035
16,41,116,112,96.55,4,3.45,16041
17,1,175,171,97.71,4,2.29,17001
17,6,166,160,96.39,6,3.61,17006
17,8,208,205,98.56,3,1.44,17008
17,11,46,46,100.0,0,0.0,17011
17,13,160,154,96.25,6,3.75,17013
17,14,166,160,96.39,6,3.61,17014
17,16,179,173,96.65,6,3.35,17016
17,17,176,170,96.59,6,3.41,17017
17,19,95,94,98.95,1,1.05,17019
17,34,191,189,98.95,2,1.05,17034
17,36,126,122,96.83,4,3.17,17036
17,39,139,136,97.84,3,2.16,17039
17,40,2,2,100.0,0,0.0,17040
17,41,176,174,98.86,2,1.14,17041
17,42,177,175,98.87,2,1.13,17042
17,43,175,173,98.86,2,1.14,17043
17,45,134,126,94.03,8,5.97,17045
17,46,205,200,97.56,5,2.44,17046
17,49,174,171,98.28,3,1.72,17049
17,56,229,227,99.13,2,0.87,17056
17,58,163,159,97.55,4,2.45,17058
17,59,104,103,99.04,1,0.96,17059
17,60,300,296,98.67,4,1.33,17060
17,62,168,165,98.21,3,1.79,17062
17,63,183,181,98.91,2,1.09,17063
17,64,147,143,97.28,4,2.72,17064
18,1,142,133,93.66,9,6.34,18001
18,2,274,259,94.53,15,5.47,18002
18,5,299,293,97.99,6,2.01,18005
18,11,262,229,87.4,33,12.6,18011
18,15,183,147,80.33,36,19.67,18015
18,17,239,224,93.72,15,6.28,18017
18,21,397,376,94.71,21,5.29,18021
18,23,241,233,96.68,8,3.32,18023
18,27,254,237,93.31,17,6.69,18027
18,29,315,269,85.4,46,14.6,18029
18,31,260,241,92.69,19,7.31,18031
18,33,230,222,96.52,8,3.48,18033
18,39,253,239,94.47,14,5.53,18039
18,42,187,160,85.56,27,14.44,18042
18,43,205,175,85.37,30,14.63,18043
18,44,164,148,90.24,16,9.76,18044
18,47,243,230,94.65,13,5.35,18047
18,49,204,198,97.06,6,2.94,18049
18,50,258,248,96.12,10,3.88,18050
18,56,219,191,87.21,28,12.79,18056
18,57,213,203,95.31,10,4.69,18057
18,58,269,259,96.28,10,3.72,18058
18,59,197,192,97.46,5,2.54,18059
18,62,216,199,92.13,17,7.87,18062
20,10,202,199,98.51,3,1.49,20010
20,18,13,13,100.0,0,0.0,20018
20,25,119,116,97.48,3,2.52,20025
20,28,232,225,96.98,7,3.02,20028
20,30,228,225,98.68,3,1.32,20030
20,35,119,117,98.32,2,1.68,20035
20,49,183,176,96.17,7,3.83,20049
