ward,precinct,total,Frances Ann Hurley,Frances Ann Hurley Percent,Victor C. Horne,Victor C. Horne Percent,precinct_id
19,1,362,289,79.83,73,20.17,19001
19,2,520,459,88.27,61,11.73,19002
19,4,446,341,76.46,105,23.54,19004
19,6,385,278,72.21,107,27.79,19006
19,7,386,311,80.57,75,19.43,19007
19,8,446,318,71.3,128,28.7,19008
19,10,457,374,81.84,83,18.16,19010
19,11,389,283,72.75,106,27.25,19011
19,13,464,444,95.69,20,4.31,19013
19,15,496,364,73.39,132,26.61,19015
19,16,359,263,73.26,96,26.74,19016
19,17,342,252,73.68,90,26.32,19017
19,18,307,241,78.5,66,21.5,19018
19,19,478,383,80.13,95,19.87,19019
19,21,376,269,71.54,107,28.46,19021
19,22,413,307,74.33,106,25.67,19022
19,23,399,294,73.68,105,26.32,19023
19,24,11,8,72.73,3,27.27,19024
19,25,390,292,74.87,98,25.13,19025
19,26,406,298,73.4,108,26.6,19026
19,27,395,352,89.11,43,10.89,19027
19,28,450,421,93.56,29,6.44,19028
19,29,393,270,68.7,123,31.3,19029
19,30,332,212,63.86,120,36.14,19030
19,32,374,293,78.34,81,21.66,19032
19,33,279,194,69.53,85,30.47,19033
19,34,364,281,77.2,83,22.8,19034
19,35,348,270,77.59,78,22.41,19035
19,36,463,423,91.36,40,8.64,19036
19,37,376,342,90.96,34,9.04,19037
19,38,336,306,91.07,30,8.93,19038
19,39,132,126,95.45,6,4.55,19039
19,41,359,265,73.82,94,26.18,19041
19,44,436,313,71.79,123,28.21,19044
19,45,389,283,72.75,106,27.25,19045
19,46,440,328,74.55,112,25.45,19046
19,50,301,244,81.06,57,18.94,19050
19,51,436,352,80.73,84,19.27,19051
19,52,412,279,67.72,133,32.28,19052
19,53,360,286,79.44,74,20.56,19053
19,54,339,239,70.5,100,29.5,19054
19,56,119,95,79.83,24,20.17,19056
19,57,327,286,87.46,41,12.54,19057
21,1,364,360,98.9,4,1.1,21001
21,3,351,342,97.44,9,2.56,21003
21,8,340,336,98.82,4,1.18,21008
21,14,414,402,97.1,12,2.9,21014
21,16,334,328,98.2,6,1.8,21016
21,18,387,377,97.42,10,2.58,21018
21,22,103,100,97.09,3,2.91,21022
21,29,135,135,100.0,0,0.0,21029
21,32,315,309,98.1,6,1.9,21032
21,36,90,88,97.78,2,2.22,21036
21,42,118,115,97.46,3,2.54,21042
21,48,117,112,95.73,5,4.27,21048
34,49,13,12,92.31,1,7.69,34049
