ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,402,402,100.0,04001
4,5,362,362,100.0,04005
4,9,507,507,100.0,04009
4,10,433,433,100.0,04010
4,15,338,338,100.0,04015
4,22,394,394,100.0,04022
4,23,361,361,100.0,04023
4,27,367,367,100.0,04027
4,31,437,437,100.0,04031
4,34,200,200,100.0,04034
5,1,309,309,100.0,05001
5,3,348,348,100.0,05003
5,7,334,334,100.0,05007
5,8,392,392,100.0,05008
5,9,389,389,100.0,05009
5,11,382,382,100.0,05011
5,14,303,303,100.0,05014
5,17,133,133,100.0,05017
5,18,292,292,100.0,05018
5,19,356,356,100.0,05019
5,20,408,408,100.0,05020
5,21,188,188,100.0,05021
5,22,412,412,100.0,05022
5,23,519,519,100.0,05023
5,24,348,348,100.0,05024
5,25,348,348,100.0,05025
5,26,332,332,100.0,05026
5,27,272,272,100.0,05027
5,28,231,231,100.0,05028
5,29,453,453,100.0,05029
5,31,297,297,100.0,05031
5,32,372,372,100.0,05032
5,33,411,411,100.0,05033
5,34,407,407,100.0,05034
5,35,324,324,100.0,05035
5,37,400,400,100.0,05037
5,38,329,329,100.0,05038
5,39,316,316,100.0,05039
5,40,314,314,100.0,05040
5,41,227,227,100.0,05041
7,5,281,281,100.0,07005
7,6,369,369,100.0,07006
7,7,314,314,100.0,07007
7,8,256,256,100.0,07008
7,9,508,508,100.0,07009
7,11,300,300,100.0,07011
7,12,300,300,100.0,07012
7,13,223,223,100.0,07013
7,14,290,290,100.0,07014
7,16,228,228,100.0,07016
7,17,262,262,100.0,07017
7,18,265,265,100.0,07018
7,21,207,207,100.0,07021
7,22,224,224,100.0,07022
7,25,91,91,100.0,07025
7,32,236,236,100.0,07032
7,33,380,380,100.0,07033
7,34,379,379,100.0,07034
7,35,310,310,100.0,07035
7,37,327,327,100.0,07037
7,46,105,105,100.0,07046
10,1,235,235,100.0,10001
10,4,178,178,100.0,10004
10,6,162,162,100.0,10006
10,7,136,136,100.0,10007
10,8,202,202,100.0,10008
10,10,216,216,100.0,10010
10,11,228,228,100.0,10011
10,12,145,145,100.0,10012
10,14,281,281,100.0,10014
10,19,214,214,100.0,10019
10,20,225,225,100.0,10020
10,21,194,194,100.0,10021
10,22,113,113,100.0,10022
10,23,176,176,100.0,10023
10,25,86,86,100.0,10025
10,26,155,155,100.0,10026
10,28,197,197,100.0,10028
10,29,168,168,100.0,10029
10,30,172,172,100.0,10030
10,31,142,142,100.0,10031
10,32,192,192,100.0,10032
10,33,162,162,100.0,10033
10,34,33,33,100.0,10034
10,35,211,211,100.0,10035
10,36,38,38,100.0,10036
20,24,127,127,100.0,20024
20,26,311,311,100.0,20026
20,34,309,309,100.0,20034
