ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,120,120,100.0,01028
1,42,19,19,100.0,01042
2,20,29,29,100.0,02020
2,22,282,282,100.0,02022
2,24,241,241,100.0,02024
2,26,240,240,100.0,02026
32,1,178,178,100.0,32001
32,5,12,12,100.0,32005
32,7,270,270,100.0,32007
32,8,256,256,100.0,32008
32,9,251,251,100.0,32009
32,10,287,287,100.0,32010
32,13,254,254,100.0,32013
32,15,251,251,100.0,32015
32,16,240,240,100.0,32016
32,18,250,250,100.0,32018
32,19,238,238,100.0,32019
32,21,298,298,100.0,32021
32,23,225,225,100.0,32023
32,24,175,175,100.0,32024
32,25,251,251,100.0,32025
32,27,223,223,100.0,32027
32,29,54,54,100.0,32029
32,30,250,250,100.0,32030
32,33,113,113,100.0,32033
32,34,30,30,100.0,32034
32,36,17,17,100.0,32036
32,37,105,105,100.0,32037
32,38,222,222,100.0,32038
32,39,276,276,100.0,32039
32,40,284,284,100.0,32040
32,41,274,274,100.0,32041
32,42,243,243,100.0,32042
33,3,53,53,100.0,33003
33,5,41,41,100.0,33005
33,8,462,462,100.0,33008
33,10,290,290,100.0,33010
33,20,49,49,100.0,33020
33,23,315,315,100.0,33023
33,24,436,436,100.0,33024
43,2,235,235,100.0,43002
43,6,179,179,100.0,43006
43,9,336,336,100.0,43009
43,16,251,251,100.0,43016
43,17,197,197,100.0,43017
43,18,296,296,100.0,43018
43,20,314,314,100.0,43020
43,21,252,252,100.0,43021
43,22,168,168,100.0,43022
43,24,197,197,100.0,43024
43,29,228,228,100.0,43029
43,30,273,273,100.0,43030
43,31,301,301,100.0,43031
43,37,249,249,100.0,43037
43,39,182,182,100.0,43039
43,40,185,185,100.0,43040
43,41,351,351,100.0,43041
43,44,245,245,100.0,43044
43,46,131,131,100.0,43046
44,2,267,267,100.0,44002
44,9,226,226,100.0,44009
44,11,182,182,100.0,44011
44,16,256,256,100.0,44016
44,25,296,296,100.0,44025
44,30,303,303,100.0,44030
47,1,193,193,100.0,47001
47,2,352,352,100.0,47002
47,3,346,346,100.0,47003
47,4,346,346,100.0,47004
47,5,73,73,100.0,47005
47,6,303,303,100.0,47006
47,7,269,269,100.0,47007
47,8,327,327,100.0,47008
47,9,242,242,100.0,47009
47,11,284,284,100.0,47011
47,12,329,329,100.0,47012
47,13,300,300,100.0,47013
47,14,252,252,100.0,47014
47,16,319,319,100.0,47016
47,17,274,274,100.0,47017
47,18,262,262,100.0,47018
47,21,264,264,100.0,47021
47,24,261,261,100.0,47024
47,25,283,283,100.0,47025
47,27,270,270,100.0,47027
47,28,16,16,100.0,47028
47,29,330,330,100.0,47029
47,33,288,288,100.0,47033
47,35,289,289,100.0,47035
47,39,323,323,100.0,47039
47,40,320,320,100.0,47040
47,41,57,57,100.0,47041
47,43,288,288,100.0,47043
47,44,256,256,100.0,47044
47,46,293,293,100.0,47046
47,47,305,305,100.0,47047
47,48,44,44,100.0,47048
