ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Susanne Atanus,Susanne Atanus Percent,precinct_id
50,2,207,143,69.08,64,30.92,50002
50,3,302,212,70.2,90,29.8,50003
50,4,348,284,81.61,64,18.39,50004
50,5,285,175,61.4,110,38.6,50005
50,6,367,293,79.84,74,20.16,50006
50,7,400,337,84.25,63,15.75,50007
50,8,297,267,89.9,30,10.1,50008
50,9,257,196,76.26,61,23.74,50009
50,10,272,179,65.81,93,34.19,50010
50,11,251,123,49.0,128,51.0,50011
50,12,158,109,68.99,49,31.01,50012
50,13,291,254,87.29,37,12.71,50013
50,14,115,73,63.48,42,36.52,50014
50,15,381,312,81.89,69,18.11,50015
50,16,127,91,71.65,36,28.35,50016
50,17,224,162,72.32,62,27.68,50017
50,18,100,70,70.0,30,30.0,50018
50,19,190,151,79.47,39,20.53,50019
50,20,324,257,79.32,67,20.68,50020
50,21,257,197,76.65,60,23.35,50021
50,22,231,163,70.56,68,29.44,50022
50,23,208,143,68.75,65,31.25,50023
50,25,289,187,64.71,102,35.29,50025
50,26,288,226,78.47,62,21.53,50026
50,27,107,67,62.62,40,37.38,50027
50,28,322,235,72.98,87,27.02,50028
50,29,230,196,85.22,34,14.78,50029
50,30,215,180,83.72,35,16.28,50030
50,31,280,246,87.86,34,12.14,50031
50,32,293,268,91.47,25,8.53,50032
50,33,280,165,58.93,115,41.07,50033
50,34,426,330,77.46,96,22.54,50034
50,35,371,317,85.44,54,14.56,50035
50,36,295,222,75.25,73,24.75,50036
50,37,309,263,85.11,46,14.89,50037
50,38,172,132,76.74,40,23.26,50038
50,39,198,151,76.26,47,23.74,50039
50,40,367,196,53.41,171,46.59,50040
