ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
12,20,0,0,0.0,12020
14,1,282,282,100.0,14001
14,2,302,302,100.0,14002
14,4,239,239,100.0,14004
14,5,262,262,100.0,14005
14,6,88,88,100.0,14006
14,7,241,241,100.0,14007
14,8,198,198,100.0,14008
14,9,272,272,100.0,14009
14,10,144,144,100.0,14010
14,12,228,228,100.0,14012
14,13,181,181,100.0,14013
14,14,193,193,100.0,14014
14,16,164,164,100.0,14016
14,17,185,185,100.0,14017
14,18,19,19,100.0,14018
14,19,185,185,100.0,14019
14,20,150,150,100.0,14020
14,21,192,192,100.0,14021
14,22,45,45,100.0,14022
14,23,151,151,100.0,14023
14,24,313,313,100.0,14024
14,25,139,139,100.0,14025
14,26,138,138,100.0,14026
14,27,195,195,100.0,14027
14,28,160,160,100.0,14028
14,29,180,180,100.0,14029
14,30,86,86,100.0,14030
14,31,120,120,100.0,14031
15,3,33,33,100.0,15003
15,4,145,145,100.0,15004
15,8,156,156,100.0,15008
15,9,32,32,100.0,15009
15,10,119,119,100.0,15010
15,11,111,111,100.0,15011
15,12,192,192,100.0,15012
15,15,6,6,100.0,15015
15,16,191,191,100.0,15016
15,19,185,185,100.0,15019
16,1,183,183,100.0,16001
16,2,55,55,100.0,16002
16,7,233,233,100.0,16007
16,11,235,235,100.0,16011
16,13,193,193,100.0,16013
16,17,134,134,100.0,16017
16,23,150,150,100.0,16023
16,32,167,167,100.0,16032
16,35,196,196,100.0,16035
17,1,127,127,100.0,17001
17,7,176,176,100.0,17007
17,12,263,263,100.0,17012
17,14,220,220,100.0,17014
17,16,236,236,100.0,17016
17,30,63,63,100.0,17030
22,1,216,216,100.0,22001
22,2,239,239,100.0,22002
22,8,287,287,100.0,22008
22,12,201,201,100.0,22012
22,23,342,342,100.0,22023
23,3,243,243,100.0,23003
23,6,49,49,100.0,23006
23,12,17,17,100.0,23012
23,14,114,114,100.0,23014
23,17,73,73,100.0,23017
23,19,145,145,100.0,23019
23,20,9,9,100.0,23020
23,22,79,79,100.0,23022
23,24,84,84,100.0,23024
23,25,161,161,100.0,23025
23,26,86,86,100.0,23026
23,31,145,145,100.0,23031
23,37,77,77,100.0,23037
