ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,James D. ''Jim'' Oberweis,James D. ''Jim'' Oberweis Percent,Sharon Hansen,Sharon Hansen Percent,precinct_id
33,2,411,351,85.4,50,12.17,10,2.43,33002
33,3,404,335,82.92,54,13.37,15,3.71,33003
33,4,389,301,77.38,76,19.54,12,3.08,33004
33,5,280,218,77.86,50,17.86,12,4.29,33005
33,6,293,251,85.67,30,10.24,12,4.1,33006
33,7,339,270,79.65,53,15.63,16,4.72,33007
33,8,552,443,80.25,91,16.49,18,3.26,33008
33,9,389,277,71.21,90,23.14,22,5.66,33009
33,10,376,287,76.33,72,19.15,17,4.52,33010
33,11,352,273,77.56,64,18.18,15,4.26,33011
33,12,367,290,79.02,58,15.8,19,5.18,33012
33,13,301,236,78.41,41,13.62,24,7.97,33013
33,14,146,121,82.88,19,13.01,6,4.11,33014
33,15,376,316,84.04,53,14.1,7,1.86,33015
33,16,485,386,79.59,74,15.26,25,5.15,33016
33,17,349,263,75.36,66,18.91,20,5.73,33017
33,18,411,340,82.73,51,12.41,20,4.87,33018
33,19,305,225,73.77,64,20.98,16,5.25,33019
33,20,412,342,83.01,55,13.35,15,3.64,33020
33,21,350,271,77.43,58,16.57,21,6.0,33021
33,22,358,287,80.17,56,15.64,15,4.19,33022
33,23,377,296,78.51,65,17.24,16,4.24,33023
33,24,539,450,83.49,77,14.29,12,2.23,33024
33,25,443,356,80.36,70,15.8,17,3.84,33025
33,26,233,198,84.98,23,9.87,12,5.15,33026
33,27,299,239,79.93,51,17.06,9,3.01,33027
33,28,267,224,83.9,32,11.99,11,4.12,33028
34,1,404,397,98.27,4,0.99,3,0.74,34001
34,2,329,317,96.35,3,0.91,9,2.74,34002
34,3,377,360,95.49,5,1.33,12,3.18,34003
34,4,313,300,95.85,7,2.24,6,1.92,34004
34,5,331,318,96.07,7,2.11,6,1.81,34005
34,6,435,422,97.01,7,1.61,6,1.38,34006
34,7,399,391,97.99,2,0.5,6,1.5,34007
34,8,295,282,95.59,6,2.03,7,2.37,34008
34,9,315,299,94.92,7,2.22,9,2.86,34009
34,10,362,340,93.92,7,1.93,15,4.14,34010
34,11,299,285,95.32,3,1.0,11,3.68,34011
34,12,406,392,96.55,7,1.72,7,1.72,34012
34,13,371,364,98.11,1,0.27,6,1.62,34013
34,14,291,281,96.56,6,2.06,4,1.37,34014
34,15,289,273,94.46,7,2.42,9,3.11,34015
34,16,300,292,97.33,5,1.67,3,1.0,34016
34,17,443,424,95.71,7,1.58,12,2.71,34017
34,18,327,307,93.88,9,2.75,11,3.36,34018
34,19,386,370,95.85,7,1.81,9,2.33,34019
34,20,412,396,96.12,5,1.21,11,2.67,34020
34,21,445,431,96.85,8,1.8,6,1.35,34021
34,22,358,336,93.85,14,3.91,8,2.23,34022
34,23,295,283,95.93,7,2.37,5,1.69,34023
34,24,336,321,95.54,8,2.38,7,2.08,34024
34,25,404,392,97.03,5,1.24,7,1.73,34025
34,26,383,365,95.3,10,2.61,8,2.09,34026
34,27,304,295,97.04,4,1.32,5,1.64,34027
34,28,247,240,97.17,4,1.62,3,1.21,34028
34,29,280,268,95.71,4,1.43,8,2.86,34029
34,30,357,351,98.32,3,0.84,3,0.84,34030
34,31,302,291,96.36,5,1.66,6,1.99,34031
34,32,351,336,95.73,7,1.99,8,2.28,34032
34,33,329,313,95.14,8,2.43,8,2.43,34033
34,34,386,374,96.89,5,1.3,7,1.81,34034
34,35,387,364,94.06,12,3.1,11,2.84,34035
34,36,340,330,97.06,5,1.47,5,1.47,34036
34,37,226,211,93.36,10,4.42,5,2.21,34037
34,38,231,225,97.4,2,0.87,4,1.73,34038
34,39,283,265,93.64,8,2.83,10,3.53,34039
34,40,418,401,95.93,8,1.91,9,2.15,34040
34,41,254,241,94.88,5,1.97,8,3.15,34041
34,42,342,333,97.37,5,1.46,4,1.17,34042
34,43,341,322,94.43,10,2.93,9,2.64,34043
34,44,362,348,96.13,5,1.38,9,2.49,34044
34,45,375,367,97.87,4,1.07,4,1.07,34045
34,46,237,229,96.62,4,1.69,4,1.69,34046
34,47,336,324,96.43,5,1.49,7,2.08,34047
34,48,383,366,95.56,10,2.61,7,1.83,34048
34,49,436,423,97.02,8,1.83,5,1.15,34049
34,50,346,334,96.53,3,0.87,9,2.6,34050
34,51,377,360,95.49,11,2.92,6,1.59,34051
34,52,291,287,98.63,2,0.69,2,0.69,34052
34,53,270,254,94.07,9,3.33,7,2.59,34053
35,1,272,225,82.72,33,12.13,14,5.15,35001
35,2,322,263,81.68,47,14.6,12,3.73,35002
35,3,250,222,88.8,19,7.6,9,3.6,35003
35,4,320,235,73.44,61,19.06,24,7.5,35004
35,5,245,199,81.22,35,14.29,11,4.49,35005
35,6,235,186,79.15,35,14.89,14,5.96,35006
35,7,276,245,88.77,21,7.61,10,3.62,35007
35,8,252,213,84.52,22,8.73,17,6.75,35008
35,9,329,274,83.28,47,14.29,8,2.43,35009
35,10,371,334,90.03,27,7.28,10,2.7,35010
35,11,277,235,84.84,28,10.11,14,5.05,35011
35,12,176,149,84.66,21,11.93,6,3.41,35012
35,13,155,129,83.23,17,10.97,9,5.81,35013
35,14,197,166,84.26,24,12.18,7,3.55,35014
35,15,272,234,86.03,29,10.66,9,3.31,35015
35,16,144,122,84.72,16,11.11,6,4.17,35016
35,17,275,236,85.82,32,11.64,7,2.55,35017
35,18,202,176,87.13,18,8.91,8,3.96,35018
35,19,156,133,85.26,19,12.18,4,2.56,35019
35,20,242,203,83.88,29,11.98,10,4.13,35020
35,21,232,191,82.33,31,13.36,10,4.31,35021
35,22,311,261,83.92,36,11.58,14,4.5,35022
35,23,316,256,81.01,46,14.56,14,4.43,35023
35,24,244,198,81.15,36,14.75,10,4.1,35024
35,25,306,255,83.33,35,11.44,16,5.23,35025
35,26,224,173,77.23,44,19.64,7,3.13,35026
35,27,244,189,77.46,39,15.98,16,6.56,35027
35,28,267,220,82.4,36,13.48,11,4.12,35028
35,29,247,200,80.97,39,15.79,8,3.24,35029
35,30,278,235,84.53,41,14.75,2,0.72,35030
35,31,299,233,77.93,54,18.06,12,4.01,35031
36,1,262,199,75.95,56,21.37,7,2.67,36001
36,2,215,167,77.67,37,17.21,11,5.12,36002
36,3,239,190,79.5,42,17.57,7,2.93,36003
36,4,220,191,86.82,23,10.45,6,2.73,36004
36,5,249,207,83.13,37,14.86,5,2.01,36005
36,6,194,154,79.38,32,16.49,8,4.12,36006
36,7,363,228,62.81,124,34.16,11,3.03,36007
36,8,163,138,84.66,15,9.2,10,6.13,36008
36,9,175,146,83.43,22,12.57,7,4.0,36009
36,10,279,213,76.34,59,21.15,7,2.51,36010
36,11,171,134,78.36,33,19.3,4,2.34,36011
