ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,James D. ''Jim'' Oberweis,James D. ''Jim'' Oberweis Percent,Sharon Hansen,Sharon Hansen Percent,precinct_id
43,6,267,155,58.05,100,37.45,12,4.49,43006
43,7,270,195,72.22,69,25.56,6,2.22,43007
43,8,329,217,65.96,101,30.7,11,3.34,43008
43,9,463,309,66.74,144,31.1,10,2.16,43009
43,10,464,274,59.05,168,36.21,22,4.74,43010
43,11,288,159,55.21,122,42.36,7,2.43,43011
43,12,227,148,65.2,69,30.4,10,4.41,43012
43,13,334,233,69.76,87,26.05,14,4.19,43013
43,14,426,270,63.38,142,33.33,14,3.29,43014
43,15,400,251,62.75,136,34.0,13,3.25,43015
43,16,355,209,58.87,136,38.31,10,2.82,43016
43,17,314,180,57.32,122,38.85,12,3.82,43017
43,18,426,261,61.27,149,34.98,16,3.76,43018
43,19,418,275,65.79,129,30.86,14,3.35,43019
43,20,419,286,68.26,121,28.88,12,2.86,43020
43,21,371,229,61.73,129,34.77,13,3.5,43021
43,22,233,152,65.24,71,30.47,10,4.29,43022
43,23,226,151,66.81,70,30.97,5,2.21,43023
43,24,284,186,65.49,91,32.04,7,2.46,43024
43,25,347,253,72.91,87,25.07,7,2.02,43025
43,26,303,225,74.26,70,23.1,8,2.64,43026
43,27,374,231,61.76,133,35.56,10,2.67,43027
43,28,519,327,63.01,176,33.91,16,3.08,43028
43,29,348,214,61.49,121,34.77,13,3.74,43029
43,30,389,245,62.98,133,34.19,11,2.83,43030
43,31,407,264,64.86,121,29.73,22,5.41,43031
43,32,426,310,72.77,103,24.18,13,3.05,43032
43,33,467,281,60.17,180,38.54,6,1.28,43033
43,34,313,213,68.05,88,28.12,12,3.83,43034
43,35,518,312,60.23,194,37.45,12,2.32,43035
43,36,173,111,64.16,56,32.37,6,3.47,43036
43,37,319,221,69.28,91,28.53,7,2.19,43037
43,38,453,263,58.06,179,39.51,11,2.43,43038
43,39,277,168,60.65,101,36.46,8,2.89,43039
43,40,262,177,67.56,68,25.95,17,6.49,43040
43,41,472,337,71.4,129,27.33,6,1.27,43041
43,42,337,236,70.03,93,27.6,8,2.37,43042
43,43,550,322,58.55,214,38.91,14,2.55,43043
43,44,358,243,67.88,99,27.65,16,4.47,43044
43,45,260,180,69.23,66,25.38,14,5.38,43045
43,46,192,130,67.71,56,29.17,6,3.13,43046
44,1,585,457,78.12,109,18.63,19,3.25,44001
44,2,372,248,66.67,114,30.65,10,2.69,44002
44,3,325,258,79.38,62,19.08,5,1.54,44003
44,4,442,337,76.24,95,21.49,10,2.26,44004
44,5,340,267,78.53,65,19.12,8,2.35,44005
44,6,412,325,78.88,82,19.9,5,1.21,44006
44,7,351,235,66.95,99,28.21,17,4.84,44007
44,8,442,346,78.28,82,18.55,14,3.17,44008
44,9,327,205,62.69,105,32.11,17,5.2,44009
44,10,340,232,68.24,96,28.24,12,3.53,44010
44,11,372,261,70.16,97,26.08,14,3.76,44011
44,12,436,358,82.11,68,15.6,10,2.29,44012
44,13,299,184,61.54,110,36.79,5,1.67,44013
44,14,334,220,65.87,100,29.94,14,4.19,44014
44,15,375,289,77.07,78,20.8,8,2.13,44015
44,16,371,251,67.65,106,28.57,14,3.77,44016
44,17,486,386,79.42,91,18.72,9,1.85,44017
44,18,359,252,70.19,99,27.58,8,2.23,44018
44,19,460,356,77.39,91,19.78,13,2.83,44019
44,20,306,235,76.8,60,19.61,11,3.59,44020
44,21,372,300,80.65,52,13.98,20,5.38,44021
44,22,433,339,78.29,83,19.17,11,2.54,44022
44,23,347,263,75.79,70,20.17,14,4.03,44023
44,24,394,310,78.68,79,20.05,5,1.27,44024
44,25,393,271,68.96,108,27.48,14,3.56,44025
44,26,372,288,77.42,73,19.62,11,2.96,44026
44,27,418,299,71.53,107,25.6,12,2.87,44027
44,28,365,299,81.92,51,13.97,15,4.11,44028
44,29,387,270,69.77,96,24.81,21,5.43,44029
44,30,404,275,68.07,112,27.72,17,4.21,44030
44,31,317,228,71.92,75,23.66,14,4.42,44031
44,32,379,246,64.91,116,30.61,17,4.49,44032
44,33,314,273,86.94,32,10.19,9,2.87,44033
44,34,430,347,80.7,65,15.12,18,4.19,44034
44,35,487,366,75.15,106,21.77,15,3.08,44035
44,36,316,239,75.63,67,21.2,10,3.16,44036
44,37,417,338,81.06,66,15.83,13,3.12,44037
44,38,366,241,65.85,112,30.6,13,3.55,44038
44,39,339,189,55.75,135,39.82,15,4.42,44039
44,40,363,231,63.64,118,32.51,14,3.86,44040
44,41,386,305,79.02,69,17.88,12,3.11,44041
45,1,267,201,75.28,56,20.97,10,3.75,45001
45,2,244,192,78.69,41,16.8,11,4.51,45002
45,3,292,222,76.03,55,18.84,15,5.14,45003
45,4,407,298,73.22,98,24.08,11,2.7,45004
45,5,394,291,73.86,79,20.05,24,6.09,45005
45,6,409,306,74.82,91,22.25,12,2.93,45006
45,7,481,348,72.35,118,24.53,15,3.12,45007
45,8,345,236,68.41,92,26.67,17,4.93,45008
45,9,331,233,70.39,81,24.47,17,5.14,45009
45,10,348,254,72.99,78,22.41,16,4.6,45010
45,11,242,174,71.9,52,21.49,16,6.61,45011
45,12,300,220,73.33,63,21.0,17,5.67,45012
45,13,299,211,70.57,78,26.09,10,3.34,45013
45,14,394,279,70.81,92,23.35,23,5.84,45014
45,15,408,322,78.92,72,17.65,14,3.43,45015
45,16,290,210,72.41,71,24.48,9,3.1,45016
45,17,363,242,66.67,101,27.82,20,5.51,45017
45,18,279,168,60.22,98,35.13,13,4.66,45018
45,19,175,118,67.43,47,26.86,10,5.71,45019
45,20,214,132,61.68,70,32.71,12,5.61,45020
45,21,321,207,64.49,99,30.84,15,4.67,45021
45,22,291,196,67.35,80,27.49,15,5.15,45022
45,23,332,203,61.14,120,36.14,9,2.71,45023
45,24,290,177,61.03,104,35.86,9,3.1,45024
45,25,214,121,56.54,85,39.72,8,3.74,45025
45,26,200,111,55.5,85,42.5,4,2.0,45026
45,27,230,138,60.0,79,34.35,13,5.65,45027
45,28,268,169,63.06,91,33.96,8,2.99,45028
45,29,217,139,64.06,73,33.64,5,2.3,45029
45,30,262,197,75.19,55,20.99,10,3.82,45030
45,31,265,164,61.89,86,32.45,15,5.66,45031
45,32,258,178,68.99,75,29.07,5,1.94,45032
45,33,214,151,70.56,55,25.7,8,3.74,45033
45,34,347,234,67.44,94,27.09,19,5.48,45034
45,35,390,256,65.64,119,30.51,15,3.85,45035
45,36,375,254,67.73,109,29.07,12,3.2,45036
45,37,299,198,66.22,92,30.77,9,3.01,45037
45,38,286,192,67.13,88,30.77,6,2.1,45038
45,39,303,194,64.03,97,32.01,12,3.96,45039
45,40,327,203,62.08,103,31.5,21,6.42,45040
45,41,303,178,58.75,115,37.95,10,3.3,45041
45,42,356,207,58.15,136,38.2,13,3.65,45042
45,43,360,197,54.72,144,40.0,19,5.28,45043
45,44,361,219,60.66,124,34.35,18,4.99,45044
45,45,227,134,59.03,87,38.33,6,2.64,45045
45,46,269,160,59.48,98,36.43,11,4.09,45046
45,47,260,142,54.62,105,40.38,13,5.0,45047
45,48,267,134,50.19,126,47.19,7,2.62,45048
46,1,373,293,78.55,58,15.55,22,5.9,46001
46,2,304,252,82.89,38,12.5,14,4.61,46002
46,3,472,370,78.39,86,18.22,16,3.39,46003
46,4,354,293,82.77,45,12.71,16,4.52,46004
46,5,344,249,72.38,74,21.51,21,6.1,46005
46,6,305,270,88.52,24,7.87,11,3.61,46006
46,7,503,396,78.73,93,18.49,14,2.78,46007
46,8,266,221,83.08,38,14.29,7,2.63,46008
46,9,341,281,82.4,45,13.2,15,4.4,46009
46,10,399,311,77.94,79,19.8,9,2.26,46010
46,11,332,234,70.48,85,25.6,13,3.92,46011
46,12,323,288,89.16,27,8.36,8,2.48,46012
46,13,344,284,82.56,52,15.12,8,2.33,46013
46,14,450,405,90.0,40,8.89,5,1.11,46014
46,15,367,294,80.11,60,16.35,13,3.54,46015
46,16,365,315,86.3,36,9.86,14,3.84,46016
46,17,445,353,79.33,78,17.53,14,3.15,46017
46,18,360,272,75.56,78,21.67,10,2.78,46018
46,19,284,218,76.76,60,21.13,6,2.11,46019
46,20,318,267,83.96,37,11.64,14,4.4,46020
46,21,259,209,80.69,40,15.44,10,3.86,46021
46,22,269,227,84.39,35,13.01,7,2.6,46022
46,23,303,258,85.15,32,10.56,13,4.29,46023
46,24,388,295,76.03,84,21.65,9,2.32,46024
46,25,302,251,83.11,36,11.92,15,4.97,46025
46,26,319,280,87.77,26,8.15,13,4.08,46026
46,27,376,288,76.6,74,19.68,14,3.72,46027
46,28,444,354,79.73,80,18.02,10,2.25,46028
46,29,319,263,82.45,44,13.79,12,3.76,46029
46,30,354,309,87.29,40,11.3,5,1.41,46030
46,31,332,270,81.33,47,14.16,15,4.52,46031
46,32,393,329,83.72,50,12.72,14,3.56,46032
46,33,451,353,78.27,81,17.96,17,3.77,46033
46,34,385,306,79.48,63,16.36,16,4.16,46034
46,35,448,374,83.48,61,13.62,13,2.9,46035
46,36,392,295,75.26,78,19.9,19,4.85,46036
46,37,246,210,85.37,28,11.38,8,3.25,46037
46,38,366,305,83.33,53,14.48,8,2.19,46038
46,39,350,257,73.43,79,22.57,14,4.0,46039
46,40,322,276,85.71,35,10.87,11,3.42,46040
47,1,232,173,74.57,47,20.26,12,5.17,47001
47,2,478,353,73.85,116,24.27,9,1.88,47002
47,3,441,309,70.07,108,24.49,24,5.44,47003
47,4,468,344,73.5,112,23.93,12,2.56,47004
47,5,413,329,79.66,63,15.25,21,5.08,47005
47,6,371,275,74.12,82,22.1,14,3.77,47006
47,7,345,260,75.36,65,18.84,20,5.8,47007
47,8,423,326,77.07,84,19.86,13,3.07,47008
47,9,300,226,75.33,60,20.0,14,4.67,47009
47,10,410,334,81.46,58,14.15,18,4.39,47010
47,11,364,264,72.53,89,24.45,11,3.02,47011
47,12,426,326,76.53,78,18.31,22,5.16,47012
47,13,356,292,82.02,49,13.76,15,4.21,47013
47,14,326,238,73.01,78,23.93,10,3.07,47014
47,15,432,374,86.57,40,9.26,18,4.17,47015
47,16,404,307,75.99,81,20.05,16,3.96,47016
47,17,353,260,73.65,84,23.8,9,2.55,47017
47,18,344,253,73.55,78,22.67,13,3.78,47018
47,19,437,378,86.5,42,9.61,17,3.89,47019
47,20,380,306,80.53,63,16.58,11,2.89,47020
47,21,323,252,78.02,59,18.27,12,3.72,47021
47,22,444,360,81.08,70,15.77,14,3.15,47022
47,23,412,364,88.35,37,8.98,11,2.67,47023
47,24,335,245,73.13,82,24.48,8,2.39,47024
47,25,366,279,76.23,69,18.85,18,4.92,47025
47,26,397,327,82.37,54,13.6,16,4.03,47026
47,27,351,264,75.21,77,21.94,10,2.85,47027
47,28,403,309,76.67,82,20.35,12,2.98,47028
47,29,414,313,75.6,93,22.46,8,1.93,47029
47,30,409,325,79.46,66,16.14,18,4.4,47030
47,31,376,310,82.45,56,14.89,10,2.66,47031
47,32,422,351,83.18,56,13.27,15,3.55,47032
47,33,362,267,73.76,79,21.82,16,4.42,47033
47,34,442,356,80.54,64,14.48,22,4.98,47034
47,35,379,284,74.93,82,21.64,13,3.43,47035
47,36,403,332,82.38,57,14.14,14,3.47,47036
47,37,398,324,81.41,63,15.83,11,2.76,47037
47,38,393,301,76.59,80,20.36,12,3.05,47038
47,39,403,323,80.15,61,15.14,19,4.71,47039
47,40,401,327,81.55,58,14.46,16,3.99,47040
47,41,429,354,82.52,59,13.75,16,3.73,47041
47,42,331,272,82.18,46,13.9,13,3.93,47042
47,43,366,256,69.95,90,24.59,20,5.46,47043
47,44,350,259,74.0,79,22.57,12,3.43,47044
47,45,392,313,79.85,60,15.31,19,4.85,47045
47,46,380,262,68.95,97,25.53,21,5.53,47046
47,47,421,296,70.31,110,26.13,15,3.56,47047
47,48,54,47,87.04,5,9.26,2,3.7,47048
48,1,348,298,85.63,36,10.34,14,4.02,48001
48,2,217,176,81.11,33,15.21,8,3.69,48002
48,3,429,373,86.95,42,9.79,14,3.26,48003
48,4,304,270,88.82,24,7.89,10,3.29,48004
48,5,272,215,79.04,50,18.38,7,2.57,48005
48,6,408,350,85.78,51,12.5,7,1.72,48006
48,7,407,360,88.45,32,7.86,15,3.69,48007
48,8,249,188,75.5,47,18.88,14,5.62,48008
48,9,291,218,74.91,65,22.34,8,2.75,48009
48,10,507,455,89.74,43,8.48,9,1.78,48010
48,11,353,300,84.99,45,12.75,8,2.27,48011
48,12,444,387,87.16,42,9.46,15,3.38,48012
48,13,528,421,79.73,85,16.1,22,4.17,48013
48,14,257,199,77.43,50,19.46,8,3.11,48014
48,15,255,205,80.39,42,16.47,8,3.14,48015
48,16,379,320,84.43,49,12.93,10,2.64,48016
48,17,377,326,86.47,43,11.41,8,2.12,48017
48,18,326,282,86.5,38,11.66,6,1.84,48018
48,19,298,239,80.2,42,14.09,17,5.7,48019
48,20,410,371,90.49,32,7.8,7,1.71,48020
48,21,430,370,86.05,41,9.53,19,4.42,48021
48,22,414,341,82.37,58,14.01,15,3.62,48022
48,23,419,337,80.43,69,16.47,13,3.1,48023
48,24,391,294,75.19,81,20.72,16,4.09,48024
48,25,401,337,84.04,48,11.97,16,3.99,48025
48,26,216,171,79.17,36,16.67,9,4.17,48026
48,27,416,341,81.97,53,12.74,22,5.29,48027
48,28,507,377,74.36,121,23.87,9,1.78,48028
48,29,248,217,87.5,28,11.29,3,1.21,48029
48,30,341,305,89.44,34,9.97,2,0.59,48030
48,31,493,432,87.63,46,9.33,15,3.04,48031
48,32,294,259,88.1,27,9.18,8,2.72,48032
48,33,255,209,81.96,40,15.69,6,2.35,48033
48,34,351,298,84.9,43,12.25,10,2.85,48034
48,35,298,231,77.52,53,17.79,14,4.7,48035
48,36,276,229,82.97,43,15.58,4,1.45,48036
48,37,367,313,85.29,45,12.26,9,2.45,48037
48,38,421,356,84.56,56,13.3,9,2.14,48038
48,39,376,301,80.05,69,18.35,6,1.6,48039
48,40,332,282,84.94,34,10.24,16,4.82,48040
48,41,402,350,87.06,44,10.95,8,1.99,48041
48,42,401,359,89.53,31,7.73,11,2.74,48042
48,43,387,328,84.75,47,12.14,12,3.1,48043
48,44,429,394,91.84,26,6.06,9,2.1,48044
48,45,274,243,88.69,27,9.85,4,1.46,48045
48,46,271,224,82.66,41,15.13,6,2.21,48046
49,1,282,262,92.91,14,4.96,6,2.13,49001
49,2,263,232,88.21,27,10.27,4,1.52,49002
49,3,386,348,90.16,25,6.48,13,3.37,49003
49,4,429,384,89.51,25,5.83,20,4.66,49004
49,5,378,329,87.04,31,8.2,18,4.76,49005
49,6,341,291,85.34,43,12.61,7,2.05,49006
49,7,334,279,83.53,45,13.47,10,2.99,49007
49,8,322,272,84.47,47,14.6,3,0.93,49008
49,9,406,349,85.96,40,9.85,17,4.19,49009
49,10,378,323,85.45,45,11.9,10,2.65,49010
49,11,448,404,90.18,31,6.92,13,2.9,49011
49,12,469,391,83.37,51,10.87,27,5.76,49012
49,13,467,405,86.72,53,11.35,9,1.93,49013
49,14,344,294,85.47,39,11.34,11,3.2,49014
49,15,282,244,86.52,24,8.51,14,4.96,49015
49,16,402,316,78.61,61,15.17,25,6.22,49016
49,17,317,260,82.02,47,14.83,10,3.15,49017
49,18,463,408,88.12,34,7.34,21,4.54,49018
49,19,363,325,89.53,27,7.44,11,3.03,49019
49,20,510,446,87.45,41,8.04,23,4.51,49020
49,21,256,217,84.77,36,14.06,3,1.17,49021
49,22,436,374,85.78,43,9.86,19,4.36,49022
49,23,409,366,89.49,31,7.58,12,2.93,49023
49,24,347,310,89.34,25,7.2,12,3.46,49024
49,25,474,405,85.44,42,8.86,27,5.7,49025
49,26,450,355,78.89,74,16.44,21,4.67,49026
49,27,413,363,87.89,39,9.44,11,2.66,49027
49,28,431,365,84.69,43,9.98,23,5.34,49028
49,29,438,383,87.44,40,9.13,15,3.42,49029
49,30,417,351,84.17,48,11.51,18,4.32,49030
49,31,329,281,85.41,34,10.33,14,4.26,49031
49,32,385,337,87.53,27,7.01,21,5.45,49032
49,33,337,291,86.35,29,8.61,17,5.04,49033
50,1,329,202,61.4,122,37.08,5,1.52,50001
50,2,214,140,65.42,70,32.71,4,1.87,50002
50,3,315,215,68.25,93,29.52,7,2.22,50003
50,4,357,273,76.47,75,21.01,9,2.52,50004
50,5,290,160,55.17,127,43.79,3,1.03,50005
50,6,376,282,75.0,75,19.95,19,5.05,50006
50,7,405,338,83.46,54,13.33,13,3.21,50007
50,8,299,258,86.29,33,11.04,8,2.68,50008
50,9,261,204,78.16,50,19.16,7,2.68,50009
50,10,300,193,64.33,101,33.67,6,2.0,50010
50,11,272,128,47.06,137,50.37,7,2.57,50011
50,12,164,107,65.24,56,34.15,1,0.61,50012
50,13,297,246,82.83,41,13.8,10,3.37,50013
50,14,117,73,62.39,40,34.19,4,3.42,50014
50,15,393,300,76.34,77,19.59,16,4.07,50015
50,16,134,92,68.66,39,29.1,3,2.24,50016
50,17,239,163,68.2,72,30.13,4,1.67,50017
50,18,110,83,75.45,25,22.73,2,1.82,50018
50,19,197,149,75.63,45,22.84,3,1.52,50019
50,20,332,262,78.92,60,18.07,10,3.01,50020
50,21,259,194,74.9,59,22.78,6,2.32,50021
50,22,248,155,62.5,88,35.48,5,2.02,50022
50,23,216,138,63.89,75,34.72,3,1.39,50023
50,24,327,185,56.57,139,42.51,3,0.92,50024
50,25,341,208,61.0,128,37.54,5,1.47,50025
50,26,287,219,76.31,52,18.12,16,5.57,50026
50,27,116,73,62.93,40,34.48,3,2.59,50027
50,28,334,243,72.75,78,23.35,13,3.89,50028
50,29,232,191,82.33,30,12.93,11,4.74,50029
50,30,220,179,81.36,37,16.82,4,1.82,50030
50,31,289,250,86.51,29,10.03,10,3.46,50031
50,32,304,270,88.82,25,8.22,9,2.96,50032
50,33,297,158,53.2,136,45.79,3,1.01,50033
50,34,434,326,75.12,94,21.66,14,3.23,50034
50,35,371,303,81.67,62,16.71,6,1.62,50035
50,36,303,212,69.97,81,26.73,10,3.3,50036
50,37,315,259,82.22,48,15.24,8,2.54,50037
50,38,180,132,73.33,43,23.89,5,2.78,50038
50,39,203,140,68.97,60,29.56,3,1.48,50039
50,40,384,187,48.7,193,50.26,4,1.04,50040
