ward,precinct,total,Robert B. Steele,Robert B. Steele Percent,precinct_id
1,3,226,226,100.0,01003
1,4,230,230,100.0,01004
1,5,115,115,100.0,01005
1,6,259,259,100.0,01006
1,10,223,223,100.0,01010
1,12,162,162,100.0,01012
1,14,62,62,100.0,01014
1,15,11,11,100.0,01015
1,33,210,210,100.0,01033
1,35,232,232,100.0,01035
1,36,228,228,100.0,01036
1,37,224,224,100.0,01037
1,39,171,171,100.0,01039
1,40,214,214,100.0,01040
2,1,68,68,100.0,02001
2,3,214,214,100.0,02003
2,4,219,219,100.0,02004
2,5,248,248,100.0,02005
2,14,263,263,100.0,02014
2,16,11,11,100.0,02016
2,17,290,290,100.0,02017
2,21,244,244,100.0,02021
3,1,89,89,100.0,03001
3,3,297,297,100.0,03003
3,5,256,256,100.0,03005
3,6,289,289,100.0,03006
3,8,281,281,100.0,03008
3,10,220,220,100.0,03010
3,13,349,349,100.0,03013
3,14,282,282,100.0,03014
3,16,331,331,100.0,03016
3,17,293,293,100.0,03017
3,18,339,339,100.0,03018
3,21,251,251,100.0,03021
3,22,283,283,100.0,03022
3,24,94,94,100.0,03024
3,25,343,343,100.0,03025
3,26,358,358,100.0,03026
3,27,130,130,100.0,03027
3,28,260,260,100.0,03028
3,29,188,188,100.0,03029
3,32,302,302,100.0,03032
3,33,274,274,100.0,03033
3,34,343,343,100.0,03034
3,36,208,208,100.0,03036
3,37,97,97,100.0,03037
3,39,245,245,100.0,03039
3,40,346,346,100.0,03040
4,6,1,1,100.0,04006
4,13,180,180,100.0,04013
5,6,0,0,0.0,05006
6,4,265,265,100.0,06004
6,5,265,265,100.0,06005
6,7,8,8,100.0,06007
6,9,302,302,100.0,06009
6,10,61,61,100.0,06010
6,11,314,314,100.0,06011
6,12,152,152,100.0,06012
6,15,298,298,100.0,06015
6,18,230,230,100.0,06018
6,21,225,225,100.0,06021
6,22,218,218,100.0,06022
6,23,214,214,100.0,06023
6,24,182,182,100.0,06024
6,25,204,204,100.0,06025
6,26,242,242,100.0,06026
6,27,179,179,100.0,06027
6,28,176,176,100.0,06028
6,48,118,118,100.0,06048
11,2,46,46,100.0,11002
11,6,282,282,100.0,11006
11,7,136,136,100.0,11007
15,2,207,207,100.0,15002
15,3,178,178,100.0,15003
15,7,242,242,100.0,15007
15,17,229,229,100.0,15017
15,18,202,202,100.0,15018
15,20,190,190,100.0,15020
15,21,190,190,100.0,15021
15,22,227,227,100.0,15022
15,23,240,240,100.0,15023
15,24,189,189,100.0,15024
16,3,243,243,100.0,16003
16,4,238,238,100.0,16004
16,5,240,240,100.0,16005
16,6,253,253,100.0,16006
16,9,293,293,100.0,16009
16,10,160,160,100.0,16010
16,14,204,204,100.0,16014
16,15,294,294,100.0,16015
16,16,256,256,100.0,16016
16,20,231,231,100.0,16020
16,21,204,204,100.0,16021
16,22,217,217,100.0,16022
16,24,169,169,100.0,16024
16,25,250,250,100.0,16025
16,26,206,206,100.0,16026
16,27,199,199,100.0,16027
16,28,240,240,100.0,16028
16,29,222,222,100.0,16029
16,30,232,232,100.0,16030
16,31,269,269,100.0,16031
16,33,264,264,100.0,16033
16,34,217,217,100.0,16034
16,36,176,176,100.0,16036
17,3,307,307,100.0,17003
17,5,281,281,100.0,17005
