ward,precinct,total,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent,precinct_id
12,16,2,2,100.0,12016
22,3,240,240,100.0,22003
22,4,85,85,100.0,22004
22,5,170,170,100.0,22005
22,6,196,196,100.0,22006
22,7,111,111,100.0,22007
22,9,149,149,100.0,22009
22,10,3,3,100.0,22010
22,11,198,198,100.0,22011
22,13,90,90,100.0,22013
22,15,25,25,100.0,22015
22,16,10,10,100.0,22016
22,17,156,156,100.0,22017
22,18,67,67,100.0,22018
22,20,158,158,100.0,22020
22,24,233,233,100.0,22024
22,25,190,190,100.0,22025
