ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Sharon M. Brannigan,Sharon M. Brannigan Percent,precinct_id
22,1,235,226,96.17,9,3.83,22001
22,2,318,246,77.36,72,22.64,22002
22,8,336,280,83.33,56,16.67,22008
22,12,246,201,81.71,45,18.29,22012
22,23,397,390,98.24,7,1.76,22023
23,1,328,256,78.05,72,21.95,23001
23,2,314,244,77.71,70,22.29,23002
23,3,329,261,79.33,68,20.67,23003
23,4,340,282,82.94,58,17.06,23004
23,5,212,178,83.96,34,16.04,23005
23,6,265,238,89.81,27,10.19,23006
23,7,216,180,83.33,36,16.67,23007
23,8,291,258,88.66,33,11.34,23008
23,9,97,84,86.6,13,13.4,23009
23,10,282,234,82.98,48,17.02,23010
23,11,252,214,84.92,38,15.08,23011
23,12,314,249,79.3,65,20.7,23012
23,14,250,201,80.4,49,19.6,23014
23,15,130,118,90.77,12,9.23,23015
23,16,296,233,78.72,63,21.28,23016
23,17,91,73,80.22,18,19.78,23017
23,18,272,204,75.0,68,25.0,23018
23,19,165,151,91.52,14,8.48,23019
23,20,139,100,71.94,39,28.06,23020
23,21,338,256,75.74,82,24.26,23021
23,22,274,220,80.29,54,19.71,23022
23,23,312,223,71.47,89,28.53,23023
23,25,231,193,83.55,38,16.45,23025
23,26,174,147,84.48,27,15.52,23026
23,27,307,229,74.59,78,25.41,23027
23,28,331,256,77.34,75,22.66,23028
23,29,246,193,78.46,53,21.54,23029
23,30,264,223,84.47,41,15.53,23030
23,31,154,122,79.22,32,20.78,23031
23,32,229,201,87.77,28,12.23,23032
23,33,207,164,79.23,43,20.77,23033
23,34,128,113,88.28,15,11.72,23034
23,35,228,170,74.56,58,25.44,23035
23,36,326,261,80.06,65,19.94,23036
23,37,298,229,76.85,69,23.15,23037
23,38,264,201,76.14,63,23.86,23038
23,39,36,33,91.67,3,8.33,23039
25,32,0,0,0.0,0,0.0,25032
