ward,precinct,total,John P. Daley,John P. Daley Percent,Carl Segvich,Carl Segvich Percent,precinct_id
3,29,68,63,92.65,5,7.35,03029
11,1,303,235,77.56,68,22.44,11001
11,4,255,198,77.65,57,22.35,11004
11,5,309,256,82.85,53,17.15,11005
11,8,263,195,74.14,68,25.86,11008
11,9,290,212,73.1,78,26.9,11009
11,10,278,210,75.54,68,24.46,11010
11,11,331,218,65.86,113,34.14,11011
11,12,494,370,74.9,124,25.1,11012
11,13,435,337,77.47,98,22.53,11013
11,14,173,121,69.94,52,30.06,11014
11,15,134,106,79.1,28,20.9,11015
11,16,223,148,66.37,75,33.63,11016
11,17,317,232,73.19,85,26.81,11017
11,18,258,196,75.97,62,24.03,11018
11,19,344,261,75.87,83,24.13,11019
11,20,233,172,73.82,61,26.18,11020
11,21,450,370,82.22,80,17.78,11021
11,22,368,279,75.82,89,24.18,11022
11,23,209,172,82.3,37,17.7,11023
11,24,434,384,88.48,50,11.52,11024
11,25,303,242,79.87,61,20.13,11025
11,26,396,301,76.01,95,23.99,11026
11,27,103,82,79.61,21,20.39,11027
11,28,162,138,85.19,24,14.81,11028
11,29,383,319,83.29,64,16.71,11029
11,30,167,124,74.25,43,25.75,11030
11,31,322,244,75.78,78,24.22,11031
11,32,155,112,72.26,43,27.74,11032
11,34,134,90,67.16,44,32.84,11034
11,35,115,93,80.87,22,19.13,11035
11,36,146,110,75.34,36,24.66,11036
12,19,167,135,80.84,32,19.16,12019
12,23,217,168,77.42,49,22.58,12023
13,1,250,180,72.0,70,28.0,13001
13,2,265,168,63.4,97,36.6,13002
13,4,314,220,70.06,94,29.94,13004
13,5,244,206,84.43,38,15.57,13005
13,6,279,181,64.87,98,35.13,13006
13,7,192,163,84.9,29,15.1,13007
13,8,219,140,63.93,79,36.07,13008
13,9,243,187,76.95,56,23.05,13009
13,10,287,168,58.54,119,41.46,13010
13,11,329,237,72.04,92,27.96,13011
13,12,211,167,79.15,44,20.85,13012
13,13,295,252,85.42,43,14.58,13013
13,14,207,163,78.74,44,21.26,13014
13,16,166,145,87.35,21,12.65,13016
13,17,250,170,68.0,80,32.0,13017
13,18,224,149,66.52,75,33.48,13018
13,19,247,223,90.28,24,9.72,13019
13,20,196,120,61.22,76,38.78,13020
13,21,324,187,57.72,137,42.28,13021
13,22,314,195,62.1,119,37.9,13022
13,23,179,138,77.09,41,22.91,13023
13,24,226,179,79.2,47,20.8,13024
13,25,248,186,75.0,62,25.0,13025
13,26,248,184,74.19,64,25.81,13026
13,27,242,179,73.97,63,26.03,13027
13,29,183,142,77.6,41,22.4,13029
13,30,28,25,89.29,3,10.71,13030
13,31,292,184,63.01,108,36.99,13031
13,32,241,153,63.49,88,36.51,13032
13,33,278,163,58.63,115,41.37,13033
13,35,171,149,87.13,22,12.87,13035
13,36,136,104,76.47,32,23.53,13036
13,37,307,269,87.62,38,12.38,13037
13,38,244,156,63.93,88,36.07,13038
13,39,208,181,87.02,27,12.98,13039
13,40,210,164,78.1,46,21.9,13040
13,41,258,212,82.17,46,17.83,13041
13,42,289,171,59.17,118,40.83,13042
13,43,261,196,75.1,65,24.9,13043
13,44,316,287,90.82,29,9.18,13044
13,45,313,247,78.91,66,21.09,13045
13,46,177,153,86.44,24,13.56,13046
13,47,197,161,81.73,36,18.27,13047
13,48,248,169,68.15,79,31.85,13048
14,1,364,237,65.11,127,34.89,14001
14,4,273,157,57.51,116,42.49,14004
14,9,327,224,68.5,103,31.5,14009
14,22,7,4,57.14,3,42.86,14022
14,23,237,174,73.42,63,26.58,14023
14,24,388,251,64.69,137,35.31,14024
15,3,32,31,96.88,1,3.13,15003
15,16,60,57,95.0,3,5.0,15016
15,19,10,10,100.0,0,0.0,15019
16,2,218,207,94.95,11,5.05,16002
16,7,233,223,95.71,10,4.29,16007
16,8,163,151,92.64,12,7.36,16008
16,10,70,66,94.29,4,5.71,16010
16,11,232,214,92.24,18,7.76,16011
16,12,186,179,96.24,7,3.76,16012
16,13,149,137,91.95,12,8.05,16013
16,17,115,107,93.04,8,6.96,16017
16,18,247,228,92.31,19,7.69,16018
16,19,247,222,89.88,25,10.12,16019
16,21,39,36,92.31,3,7.69,16021
16,22,8,7,87.5,1,12.5,16022
16,23,56,49,87.5,7,12.5,16023
17,1,242,212,87.6,30,12.4,17001
17,7,162,149,91.98,13,8.02,17007
17,12,38,36,94.74,2,5.26,17012
17,16,260,242,93.08,18,6.92,17016
17,30,213,180,84.51,33,15.49,17030
18,2,213,167,78.4,46,21.6,18002
18,3,267,186,69.66,81,30.34,18003
18,6,271,180,66.42,91,33.58,18006
18,11,237,207,87.34,30,12.66,18011
18,15,298,245,82.21,53,17.79,18015
18,17,292,262,89.73,30,10.27,18017
18,24,236,185,78.39,51,21.61,18024
18,25,258,204,79.07,54,20.93,18025
18,28,266,179,67.29,87,32.71,18028
