ward,precinct,total,Denis Detzel,Denis Detzel Percent,precinct_id
40,28,356,31,8.71,40028
40,37,0,0,0.0,40037
48,1,337,36,10.68,48001
48,2,206,35,16.99,48002
48,3,414,51,12.32,48003
48,5,253,49,19.37,48005
48,6,393,61,15.52,48006
48,7,393,35,8.91,48007
48,8,237,51,21.52,48008
48,9,277,62,22.38,48009
48,10,491,47,9.57,48010
48,11,341,41,12.02,48011
48,12,422,43,10.19,48012
48,13,495,94,18.99,48013
48,14,243,52,21.4,48014
48,15,239,38,15.9,48015
48,16,362,51,14.09,48016
48,18,306,42,13.73,48018
48,19,286,42,14.69,48019
48,20,138,13,9.42,48020
48,21,0,0,0.0,48021
48,22,389,65,16.71,48022
48,25,382,47,12.3,48025
48,26,209,37,17.7,48026
48,27,389,59,15.17,48027
48,28,470,119,25.32,48028
48,29,229,31,13.54,48029
48,30,330,40,12.12,48030
48,31,461,49,10.63,48031
48,32,289,29,10.03,48032
48,33,245,43,17.55,48033
48,34,341,46,13.49,48034
48,36,263,47,17.87,48036
48,37,349,44,12.61,48037
48,38,343,47,13.7,48038
48,39,361,72,19.94,48039
48,40,321,40,12.46,48040
48,41,378,46,12.17,48041
48,42,393,39,9.92,48042
48,43,371,56,15.09,48043
48,44,415,32,7.71,48044
48,45,268,22,8.21,48045
48,46,256,44,17.19,48046
49,1,270,8,2.96,49001
49,2,257,33,12.84,49002
49,3,370,33,8.92,49003
49,4,415,39,9.4,49004
49,5,359,31,8.64,49005
49,6,332,57,17.17,49006
49,7,328,57,17.38,49007
49,8,308,42,13.64,49008
49,9,395,46,11.65,49009
49,10,360,45,12.5,49010
49,11,431,41,9.51,49011
49,12,448,54,12.05,49012
49,13,450,63,14.0,49013
49,14,318,51,16.04,49014
49,15,267,25,9.36,49015
49,16,386,60,15.54,49016
49,17,296,54,18.24,49017
49,18,449,39,8.69,49018
49,19,345,36,10.43,49019
49,20,498,50,10.04,49020
49,21,237,36,15.19,49021
49,22,419,54,12.89,49022
49,23,387,33,8.53,49023
49,24,334,26,7.78,49024
49,25,446,49,10.99,49025
49,26,417,76,18.23,49026
49,27,392,34,8.67,49027
49,28,416,58,13.94,49028
49,29,415,46,11.08,49029
49,30,406,61,15.02,49030
49,31,313,38,12.14,49031
49,32,364,31,8.52,49032
49,33,327,35,10.7,49033
50,8,264,32,12.12,50008
50,28,0,0,0.0,50028
