ward,precinct,total,Mo Khan,Mo Khan Percent,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
38,2,401,112,27.93,289,72.07,38002
38,7,109,41,37.61,68,62.39,38007
38,12,336,118,35.12,218,64.88,38012
38,17,81,32,39.51,49,60.49,38017
38,20,329,131,39.82,198,60.18,38020
38,24,2,0,0.0,2,100.0,38024
38,28,409,179,43.77,230,56.23,38028
41,1,359,132,36.77,227,63.23,41001
41,2,422,146,34.6,276,65.4,41002
41,3,193,84,43.52,109,56.48,41003
41,4,414,155,37.44,259,62.56,41004
41,5,423,211,49.88,212,50.12,41005
41,7,430,157,36.51,273,63.49,41007
41,8,425,100,23.53,325,76.47,41008
41,10,441,152,34.47,289,65.53,41010
41,11,407,181,44.47,226,55.53,41011
41,13,442,118,26.7,324,73.3,41013
41,15,466,222,47.64,244,52.36,41015
41,16,358,133,37.15,225,62.85,41016
41,17,402,168,41.79,234,58.21,41017
41,18,338,104,30.77,234,69.23,41018
41,20,330,120,36.36,210,63.64,41020
41,21,401,131,32.67,270,67.33,41021
41,22,436,173,39.68,263,60.32,41022
41,23,387,96,24.81,291,75.19,41023
41,25,213,89,41.78,124,58.22,41025
41,26,404,164,40.59,240,59.41,41026
41,27,301,109,36.21,192,63.79,41027
41,28,22,18,81.82,4,18.18,41028
41,31,439,143,32.57,296,67.43,41031
41,33,358,103,28.77,255,71.23,41033
41,34,359,104,28.97,255,71.03,41034
41,35,471,169,35.88,302,64.12,41035
41,36,396,131,33.08,265,66.92,41036
41,37,420,137,32.62,283,67.38,41037
41,40,469,126,26.87,343,73.13,41040
41,41,388,114,29.38,274,70.62,41041
41,42,396,128,32.32,268,67.68,41042
41,43,366,141,38.52,225,61.48,41043
41,44,430,152,35.35,278,64.65,41044
41,45,340,139,40.88,201,59.12,41045
41,46,411,164,39.9,247,60.1,41046
