ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,190,190,100.0,09001
9,2,181,181,100.0,09002
9,4,217,217,100.0,09004
9,5,293,293,100.0,09005
9,6,315,315,100.0,09006
9,9,73,73,100.0,09009
9,13,89,89,100.0,09013
9,14,394,394,100.0,09014
9,17,47,47,100.0,09017
9,19,294,294,100.0,09019
9,22,308,308,100.0,09022
9,29,269,269,100.0,09029
9,31,221,221,100.0,09031
9,32,288,288,100.0,09032
9,34,247,247,100.0,09034
9,35,306,306,100.0,09035
9,38,72,72,100.0,09038
9,39,321,321,100.0,09039
9,40,331,331,100.0,09040
9,43,235,235,100.0,09043
9,44,48,48,100.0,09044
34,2,171,171,100.0,34002
34,3,339,339,100.0,34003
34,4,286,286,100.0,34004
34,6,399,399,100.0,34006
34,9,278,278,100.0,34009
34,11,278,278,100.0,34011
34,14,264,264,100.0,34014
34,15,133,133,100.0,34015
34,16,263,263,100.0,34016
34,18,295,295,100.0,34018
34,20,236,236,100.0,34020
34,22,317,317,100.0,34022
34,23,257,257,100.0,34023
34,24,298,298,100.0,34024
34,26,352,352,100.0,34026
34,27,277,277,100.0,34027
34,28,218,218,100.0,34028
34,30,313,313,100.0,34030
34,31,228,228,100.0,34031
34,33,280,280,100.0,34033
34,36,300,300,100.0,34036
34,37,200,200,100.0,34037
34,38,208,208,100.0,34038
34,39,258,258,100.0,34039
34,41,226,226,100.0,34041
34,42,315,315,100.0,34042
34,50,309,309,100.0,34050
34,51,161,161,100.0,34051
34,53,241,241,100.0,34053
