ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Stefanie Linares,Stefanie Linares Percent,precinct_id
1,28,134,113,84.33,21,15.67,01028
1,42,22,18,81.82,4,18.18,01042
2,20,47,25,53.19,22,46.81,02020
2,22,396,203,51.26,193,48.74,02022
2,24,317,206,64.98,111,35.02,02024
2,26,329,216,65.65,113,34.35,02026
2,28,382,206,53.93,176,46.07,02028
2,30,318,167,52.52,151,47.48,02030
2,31,520,277,53.27,243,46.73,02031
2,33,563,336,59.68,227,40.32,02033
2,35,331,189,57.1,142,42.9,02035
2,37,379,220,58.05,159,41.95,02037
2,38,178,74,41.57,104,58.43,02038
2,44,249,132,53.01,117,46.99,02044
27,9,0,0,0.0,0,0.0,27009
27,12,220,133,60.45,87,39.55,27012
27,46,207,109,52.66,98,47.34,27046
32,1,231,148,64.07,83,35.93,32001
32,5,14,12,85.71,2,14.29,32005
32,7,353,217,61.47,136,38.53,32007
32,8,342,187,54.68,155,45.32,32008
32,9,314,221,70.38,93,29.62,32009
32,10,362,229,63.26,133,36.74,32010
32,13,339,192,56.64,147,43.36,32013
32,15,311,205,65.92,106,34.08,32015
32,16,312,228,73.08,84,26.92,32016
32,18,346,187,54.05,159,45.95,32018
32,19,303,204,67.33,99,32.67,32019
32,21,360,255,70.83,105,29.17,32021
32,23,317,159,50.16,158,49.84,32023
32,24,247,133,53.85,114,46.15,32024
32,25,308,211,68.51,97,31.49,32025
32,27,319,165,51.72,154,48.28,32027
32,29,66,53,80.3,13,19.7,32029
32,30,332,184,55.42,148,44.58,32030
32,33,157,98,62.42,59,37.58,32033
32,34,34,29,85.29,5,14.71,32034
32,36,22,15,68.18,7,31.82,32036
32,37,140,93,66.43,47,33.57,32037
32,38,291,186,63.92,105,36.08,32038
32,39,382,201,52.62,181,47.38,32039
32,40,360,245,68.06,115,31.94,32040
32,41,362,208,57.46,154,42.54,32041
32,42,324,214,66.05,110,33.95,32042
33,3,71,51,71.83,20,28.17,33003
33,5,44,33,75.0,11,25.0,33005
33,8,531,386,72.69,145,27.31,33008
33,10,356,271,76.12,85,23.88,33010
33,20,57,48,84.21,9,15.79,33020
33,23,357,277,77.59,80,22.41,33023
33,24,524,412,78.63,112,21.37,33024
43,2,332,178,53.61,154,46.39,43002
