ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
2,28,294,294,100.0,02028
2,30,253,253,100.0,02030
2,31,392,392,100.0,02031
2,33,450,450,100.0,02033
2,35,255,255,100.0,02035
2,37,309,309,100.0,02037
2,38,119,119,100.0,02038
2,44,177,177,100.0,02044
27,9,0,0,0.0,27009
27,12,173,173,100.0,27012
27,46,154,154,100.0,27046
43,4,285,285,100.0,43004
43,8,232,232,100.0,43008
43,12,174,174,100.0,43012
43,13,261,261,100.0,43013
43,14,282,282,100.0,43014
43,15,284,284,100.0,43015
43,19,312,312,100.0,43019
43,25,269,269,100.0,43025
43,26,227,227,100.0,43026
43,27,254,254,100.0,43027
43,28,351,351,100.0,43028
43,32,319,319,100.0,43032
43,33,306,306,100.0,43033
43,34,226,226,100.0,43034
43,36,126,126,100.0,43036
43,38,294,294,100.0,43038
43,42,231,231,100.0,43042
43,43,374,374,100.0,43043
44,1,485,485,100.0,44001
44,3,267,267,100.0,44003
44,4,342,342,100.0,44004
44,5,291,291,100.0,44005
44,6,334,334,100.0,44006
44,7,262,262,100.0,44007
44,8,372,372,100.0,44008
44,10,263,263,100.0,44010
44,11,107,107,100.0,44011
44,12,367,367,100.0,44012
44,13,220,220,100.0,44013
44,14,251,251,100.0,44014
44,15,299,299,100.0,44015
44,17,389,389,100.0,44017
44,18,277,277,100.0,44018
44,19,369,369,100.0,44019
44,20,254,254,100.0,44020
44,21,309,309,100.0,44021
44,22,355,355,100.0,44022
44,23,273,273,100.0,44023
44,24,316,316,100.0,44024
44,25,11,11,100.0,44025
44,26,304,304,100.0,44026
44,27,315,315,100.0,44027
44,28,302,302,100.0,44028
44,29,282,282,100.0,44029
44,31,249,249,100.0,44031
44,32,290,290,100.0,44032
44,33,271,271,100.0,44033
44,34,343,343,100.0,44034
44,35,372,372,100.0,44035
44,36,257,257,100.0,44036
44,37,344,344,100.0,44037
44,38,276,276,100.0,44038
44,39,228,228,100.0,44039
44,40,260,260,100.0,44040
44,41,322,322,100.0,44041
46,3,384,384,100.0,46003
46,5,278,278,100.0,46005
46,7,404,404,100.0,46007
46,9,293,293,100.0,46009
46,10,323,323,100.0,46010
46,11,244,244,100.0,46011
46,13,285,285,100.0,46013
46,15,308,308,100.0,46015
46,17,371,371,100.0,46017
46,18,294,294,100.0,46018
46,19,237,237,100.0,46019
46,24,313,313,100.0,46024
46,26,140,140,100.0,46026
46,27,285,285,100.0,46027
46,28,361,361,100.0,46028
46,29,246,246,100.0,46029
46,30,303,303,100.0,46030
46,31,282,282,100.0,46031
46,33,374,374,100.0,46033
46,34,314,314,100.0,46034
46,35,367,367,100.0,46035
46,36,325,325,100.0,46036
46,38,298,298,100.0,46038
46,39,272,272,100.0,46039
