ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,precinct_id
9,2,95,95,100.0,09002
9,10,316,316,100.0,09010
9,17,218,218,100.0,09017
9,20,336,336,100.0,09020
9,21,293,293,100.0,09021
9,27,297,297,100.0,09027
9,30,245,245,100.0,09030
19,14,325,325,100.0,19014
19,20,280,280,100.0,19020
19,31,229,229,100.0,19031
19,40,296,296,100.0,19040
19,42,241,241,100.0,19042
19,43,463,463,100.0,19043
19,47,468,468,100.0,19047
19,48,406,406,100.0,19048
19,49,404,404,100.0,19049
21,2,74,74,100.0,21002
21,5,365,365,100.0,21005
21,6,274,274,100.0,21006
21,10,319,319,100.0,21010
21,11,315,315,100.0,21011
21,12,332,332,100.0,21012
21,17,257,257,100.0,21017
21,19,346,346,100.0,21019
21,20,94,94,100.0,21020
21,21,275,275,100.0,21021
21,22,204,204,100.0,21022
21,23,295,295,100.0,21023
21,24,317,317,100.0,21024
21,25,287,287,100.0,21025
21,27,331,331,100.0,21027
21,33,319,319,100.0,21033
21,34,145,145,100.0,21034
21,35,336,336,100.0,21035
21,36,232,232,100.0,21036
21,37,274,274,100.0,21037
21,38,316,316,100.0,21038
21,39,261,261,100.0,21039
21,40,285,285,100.0,21040
21,41,350,350,100.0,21041
21,42,243,243,100.0,21042
21,43,12,12,100.0,21043
21,44,219,219,100.0,21044
21,45,327,327,100.0,21045
21,46,332,332,100.0,21046
21,48,189,189,100.0,21048
21,49,341,341,100.0,21049
21,50,296,296,100.0,21050
21,52,45,45,100.0,21052
34,1,369,369,100.0,34001
34,2,132,132,100.0,34002
34,5,303,303,100.0,34005
34,7,367,367,100.0,34007
34,8,280,280,100.0,34008
34,10,335,335,100.0,34010
34,12,370,370,100.0,34012
34,13,338,338,100.0,34013
34,15,126,126,100.0,34015
34,17,416,416,100.0,34017
34,19,349,349,100.0,34019
34,20,129,129,100.0,34020
34,21,405,405,100.0,34021
34,25,379,379,100.0,34025
34,29,252,252,100.0,34029
34,31,34,34,100.0,34031
34,32,321,321,100.0,34032
34,34,355,355,100.0,34034
34,35,341,341,100.0,34035
34,40,375,375,100.0,34040
34,43,304,304,100.0,34043
34,44,334,334,100.0,34044
34,45,354,354,100.0,34045
34,46,211,211,100.0,34046
34,47,308,308,100.0,34047
34,48,352,352,100.0,34048
34,49,380,380,100.0,34049
34,51,181,181,100.0,34051
34,52,275,275,100.0,34052
