ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,precinct_id
2,2,228,228,100.0,02002
2,9,211,211,100.0,02009
2,10,265,265,100.0,02010
2,11,243,243,100.0,02011
2,12,276,276,100.0,02012
2,13,263,263,100.0,02013
2,18,190,190,100.0,02018
2,19,218,218,100.0,02019
2,23,195,195,100.0,02023
2,27,128,128,100.0,02027
2,28,261,261,100.0,02028
2,29,221,221,100.0,02029
2,30,210,210,100.0,02030
2,31,343,343,100.0,02031
2,33,385,385,100.0,02033
2,34,227,227,100.0,02034
2,35,230,230,100.0,02035
2,36,194,194,100.0,02036
2,37,258,258,100.0,02037
2,38,243,243,100.0,02038
2,42,96,96,100.0,02042
2,44,153,153,100.0,02044
2,46,147,147,100.0,02046
3,1,315,315,100.0,03001
3,2,480,480,100.0,03002
3,4,397,397,100.0,03004
3,7,338,338,100.0,03007
3,9,379,379,100.0,03009
3,11,371,371,100.0,03011
3,12,391,391,100.0,03012
3,15,313,313,100.0,03015
3,18,162,162,100.0,03018
3,19,295,295,100.0,03019
3,20,379,379,100.0,03020
3,21,97,97,100.0,03021
3,23,326,326,100.0,03023
3,24,204,204,100.0,03024
3,27,150,150,100.0,03027
3,29,89,89,100.0,03029
3,30,357,357,100.0,03030
3,31,407,407,100.0,03031
3,35,189,189,100.0,03035
3,37,199,199,100.0,03037
3,38,352,352,100.0,03038
3,41,258,258,100.0,03041
4,1,371,371,100.0,04001
4,2,315,315,100.0,04002
4,3,353,353,100.0,04003
4,4,469,469,100.0,04004
4,5,371,371,100.0,04005
4,6,480,480,100.0,04006
4,7,454,454,100.0,04007
4,8,439,439,100.0,04008
4,9,488,488,100.0,04009
4,10,434,434,100.0,04010
4,11,395,395,100.0,04011
4,12,392,392,100.0,04012
4,13,33,33,100.0,04013
4,14,368,368,100.0,04014
4,15,441,441,100.0,04015
4,16,269,269,100.0,04016
4,17,302,302,100.0,04017
4,18,386,386,100.0,04018
4,19,376,376,100.0,04019
4,20,314,314,100.0,04020
4,21,301,301,100.0,04021
4,22,376,376,100.0,04022
4,23,442,442,100.0,04023
4,24,335,335,100.0,04024
4,25,307,307,100.0,04025
4,26,385,385,100.0,04026
4,27,335,335,100.0,04027
4,28,328,328,100.0,04028
4,29,347,347,100.0,04029
4,30,504,504,100.0,04030
4,31,436,436,100.0,04031
4,32,378,378,100.0,04032
4,33,408,408,100.0,04033
4,34,344,344,100.0,04034
4,35,502,502,100.0,04035
4,36,417,417,100.0,04036
4,37,282,282,100.0,04037
4,38,452,452,100.0,04038
5,1,319,319,100.0,05001
5,2,331,331,100.0,05002
5,3,314,314,100.0,05003
5,4,361,361,100.0,05004
5,5,375,375,100.0,05005
5,6,314,314,100.0,05006
5,7,332,332,100.0,05007
5,8,330,330,100.0,05008
5,9,380,380,100.0,05009
5,10,299,299,100.0,05010
5,11,356,356,100.0,05011
5,12,289,289,100.0,05012
5,13,263,263,100.0,05013
5,14,320,320,100.0,05014
5,15,318,318,100.0,05015
5,16,354,354,100.0,05016
5,17,318,318,100.0,05017
5,18,293,293,100.0,05018
5,19,314,314,100.0,05019
5,20,390,390,100.0,05020
5,21,308,308,100.0,05021
5,22,377,377,100.0,05022
5,23,482,482,100.0,05023
5,24,323,323,100.0,05024
5,25,353,353,100.0,05025
5,26,332,332,100.0,05026
5,27,225,225,100.0,05027
5,28,401,401,100.0,05028
5,29,464,464,100.0,05029
5,30,280,280,100.0,05030
5,31,297,297,100.0,05031
5,32,365,365,100.0,05032
5,33,421,421,100.0,05033
5,34,309,309,100.0,05034
5,35,298,298,100.0,05035
5,36,298,298,100.0,05036
5,37,361,361,100.0,05037
5,38,324,324,100.0,05038
5,39,276,276,100.0,05039
5,40,320,320,100.0,05040
5,41,202,202,100.0,05041
6,6,344,344,100.0,06006
6,7,300,300,100.0,06007
6,10,172,172,100.0,06010
6,12,80,80,100.0,06012
6,16,196,196,100.0,06016
6,17,259,259,100.0,06017
6,19,261,261,100.0,06019
6,20,185,185,100.0,06020
6,30,297,297,100.0,06030
6,32,302,302,100.0,06032
6,33,344,344,100.0,06033
6,39,314,314,100.0,06039
6,40,273,273,100.0,06040
6,43,173,173,100.0,06043
6,47,264,264,100.0,06047
6,48,204,204,100.0,06048
8,1,271,271,100.0,08001
8,2,318,318,100.0,08002
8,9,179,179,100.0,08009
8,13,390,390,100.0,08013
8,14,209,209,100.0,08014
8,16,125,125,100.0,08016
8,18,315,315,100.0,08018
8,20,370,370,100.0,08020
8,21,388,388,100.0,08021
8,26,332,332,100.0,08026
8,28,264,264,100.0,08028
8,42,396,396,100.0,08042
8,43,185,185,100.0,08043
8,45,297,297,100.0,08045
8,54,242,242,100.0,08054
8,55,210,210,100.0,08055
17,2,282,282,100.0,17002
17,4,358,358,100.0,17004
17,9,289,289,100.0,17009
17,10,337,337,100.0,17010
17,15,323,323,100.0,17015
17,18,348,348,100.0,17018
17,20,382,382,100.0,17020
17,21,367,367,100.0,17021
17,22,268,268,100.0,17022
17,24,349,349,100.0,17024
17,26,352,352,100.0,17026
17,27,322,322,100.0,17027
17,29,305,305,100.0,17029
17,38,303,303,100.0,17038
17,39,322,322,100.0,17039
17,40,308,308,100.0,17040
17,41,347,347,100.0,17041
18,1,251,251,100.0,18001
18,4,322,322,100.0,18004
18,7,296,296,100.0,18007
18,8,332,332,100.0,18008
18,9,324,324,100.0,18009
18,10,402,402,100.0,18010
18,12,282,282,100.0,18012
18,13,288,288,100.0,18013
18,14,310,310,100.0,18014
18,16,303,303,100.0,18016
18,18,287,287,100.0,18018
18,19,303,303,100.0,18019
18,20,295,295,100.0,18020
18,21,362,362,100.0,18021
18,22,380,380,100.0,18022
18,23,276,276,100.0,18023
18,26,371,371,100.0,18026
18,29,5,5,100.0,18029
18,31,283,283,100.0,18031
18,33,29,29,100.0,18033
18,34,402,402,100.0,18034
18,35,332,332,100.0,18035
18,36,140,140,100.0,18036
18,37,317,317,100.0,18037
18,38,331,331,100.0,18038
18,41,349,349,100.0,18041
18,42,242,242,100.0,18042
18,48,4,4,100.0,18048
20,1,269,269,100.0,20001
20,3,265,265,100.0,20003
20,5,285,285,100.0,20005
20,8,301,301,100.0,20008
20,9,355,355,100.0,20009
20,10,238,238,100.0,20010
20,14,177,177,100.0,20014
20,16,308,308,100.0,20016
20,18,221,221,100.0,20018
20,19,310,310,100.0,20019
20,22,362,362,100.0,20022
20,24,299,299,100.0,20024
20,26,303,303,100.0,20026
20,28,4,4,100.0,20028
20,33,182,182,100.0,20033
20,34,307,307,100.0,20034
20,35,23,23,100.0,20035
21,4,348,348,100.0,21004
21,15,286,286,100.0,21015
21,26,325,325,100.0,21026
21,28,393,393,100.0,21028
21,30,240,240,100.0,21030
21,34,34,34,100.0,21034
21,43,238,238,100.0,21043
21,47,302,302,100.0,21047
21,51,352,352,100.0,21051
21,52,238,238,100.0,21052
21,53,18,18,100.0,21053
21,54,251,251,100.0,21054
24,35,0,0,0.0,24035
25,21,110,110,100.0,25021
27,6,177,177,100.0,27006
27,9,98,98,100.0,27009
27,12,156,156,100.0,27012
27,20,229,229,100.0,27020
27,21,205,205,100.0,27021
27,37,263,263,100.0,27037
27,38,360,360,100.0,27038
27,42,165,165,100.0,27042
27,46,138,138,100.0,27046
27,47,194,194,100.0,27047
27,48,303,303,100.0,27048
42,1,294,294,100.0,42001
42,2,234,234,100.0,42002
42,4,342,342,100.0,42004
42,6,330,330,100.0,42006
42,7,316,316,100.0,42007
