ward,precinct,total,Michael W. Frerichs,Michael W. Frerichs Percent,Tom Cross,Tom Cross Percent,Matthew Skopek,Matthew Skopek Percent,precinct_id
1,1,271,216,79.7,43,15.87,12,4.43,01001
1,2,245,209,85.31,27,11.02,9,3.67,01002
1,3,295,210,71.19,68,23.05,17,5.76,01003
1,4,309,197,63.75,90,29.13,22,7.12,01004
1,5,285,200,70.18,66,23.16,19,6.67,01005
1,6,348,231,66.38,91,26.15,26,7.47,01006
1,7,191,136,71.2,36,18.85,19,9.95,01007
1,8,292,213,72.95,62,21.23,17,5.82,01008
1,9,238,180,75.63,39,16.39,19,7.98,01009
1,10,291,200,68.73,76,26.12,15,5.15,01010
1,11,291,194,66.67,77,26.46,20,6.87,01011
1,12,319,206,64.58,91,28.53,22,6.9,01012
1,13,125,94,75.2,23,18.4,8,6.4,01013
1,14,343,244,71.14,82,23.91,17,4.96,01014
1,15,260,203,78.08,44,16.92,13,5.0,01015
1,16,216,178,82.41,29,13.43,9,4.17,01016
1,17,251,200,79.68,35,13.94,16,6.37,01017
1,18,295,251,85.08,29,9.83,15,5.08,01018
1,19,350,271,77.43,55,15.71,24,6.86,01019
1,20,245,199,81.22,32,13.06,14,5.71,01020
1,21,282,187,66.31,79,28.01,16,5.67,01021
1,22,146,115,78.77,26,17.81,5,3.42,01022
1,23,393,309,78.63,58,14.76,26,6.62,01023
1,24,222,179,80.63,30,13.51,13,5.86,01024
1,25,193,143,74.09,32,16.58,18,9.33,01025
1,26,184,154,83.7,17,9.24,13,7.07,01026
1,27,254,175,68.9,63,24.8,16,6.3,01027
1,28,149,130,87.25,16,10.74,3,2.01,01028
1,29,274,196,71.53,62,22.63,16,5.84,01029
1,30,293,237,80.89,41,13.99,15,5.12,01030
1,31,269,204,75.84,56,20.82,9,3.35,01031
1,32,266,184,69.17,70,26.32,12,4.51,01032
1,33,299,198,66.22,88,29.43,13,4.35,01033
1,34,226,173,76.55,39,17.26,14,6.19,01034
1,35,301,192,63.79,86,28.57,23,7.64,01035
1,36,310,191,61.61,94,30.32,25,8.06,01036
1,37,310,208,67.1,89,28.71,13,4.19,01037
1,38,259,175,67.57,64,24.71,20,7.72,01038
1,39,222,164,73.87,50,22.52,8,3.6,01039
1,40,276,196,71.01,65,23.55,15,5.43,01040
1,41,195,157,80.51,26,13.33,12,6.15,01041
1,42,89,64,71.91,16,17.98,9,10.11,01042
1,43,198,151,76.26,37,18.69,10,5.05,01043
1,44,178,131,73.6,34,19.1,13,7.3,01044
2,1,280,179,63.93,79,28.21,22,7.86,02001
2,2,342,199,58.19,138,40.35,5,1.46,02002
2,3,297,191,64.31,87,29.29,19,6.4,02003
2,4,288,201,69.79,65,22.57,22,7.64,02004
2,5,322,203,63.04,92,28.57,27,8.39,02005
2,6,289,198,68.51,71,24.57,20,6.92,02006
2,7,280,175,62.5,87,31.07,18,6.43,02007
2,8,290,189,65.17,79,27.24,22,7.59,02008
2,9,309,159,51.46,141,45.63,9,2.91,02009
2,10,423,208,49.17,204,48.23,11,2.6,02010
2,11,382,188,49.21,188,49.21,6,1.57,02011
2,12,381,258,67.72,113,29.66,10,2.62,02012
2,13,433,225,51.96,196,45.27,12,2.77,02013
2,14,346,254,73.41,75,21.68,17,4.91,02014
2,15,300,198,66.0,65,21.67,37,12.33,02015
2,16,249,181,72.69,59,23.69,9,3.61,02016
