ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Hector Concepcion,Hector Concepcion Percent,precinct_id
1,1,282,240,85.11,42,14.89,01001
1,2,253,226,89.33,27,10.67,01002
1,7,192,149,77.6,43,22.4,01007
1,9,254,213,83.86,41,16.14,01009
1,13,124,107,86.29,17,13.71,01013
1,15,256,214,83.59,42,16.41,01015
1,16,222,198,89.19,24,10.81,01016
1,17,260,229,88.08,31,11.92,01017
1,18,304,262,86.18,42,13.82,01018
1,19,347,296,85.3,51,14.7,01019
1,20,243,213,87.65,30,12.35,01020
1,22,149,125,83.89,24,16.11,01022
1,23,398,337,84.67,61,15.33,01023
1,24,226,202,89.38,24,10.62,01024
1,25,199,155,77.89,44,22.11,01025
1,26,193,163,84.46,30,15.54,01026
1,27,259,198,76.45,61,23.55,01027
1,28,0,0,0.0,0,0.0,01028
1,29,279,220,78.85,59,21.15,01029
1,30,304,253,83.22,51,16.78,01030
1,31,283,218,77.03,65,22.97,01031
1,34,230,196,85.22,34,14.78,01034
1,38,208,171,82.21,37,17.79,01038
1,41,199,170,85.43,29,14.57,01041
1,42,89,76,85.39,13,14.61,01042
1,43,204,164,80.39,40,19.61,01043
1,44,180,142,78.89,38,21.11,01044
11,3,209,187,89.47,22,10.53,11003
11,37,1,1,100.0,0,0.0,11037
11,38,113,96,84.96,17,15.04,11038
12,2,216,175,81.02,41,18.98,12002
12,3,67,58,86.57,9,13.43,12003
12,5,159,120,75.47,39,24.53,12005
12,6,228,194,85.09,34,14.91,12006
12,7,203,174,85.71,29,14.29,12007
12,8,288,236,81.94,52,18.06,12008
12,10,147,138,93.88,9,6.12,12010
12,11,224,206,91.96,18,8.04,12011
12,12,222,177,79.73,45,20.27,12012
12,13,238,186,78.15,52,21.85,12013
12,14,163,145,88.96,18,11.04,12014
12,15,77,69,89.61,8,10.39,12015
12,16,179,156,87.15,23,12.85,12016
12,17,235,193,82.13,42,17.87,12017
12,18,131,111,84.73,20,15.27,12018
12,19,2,1,50.0,1,50.0,12019
12,20,253,212,83.79,41,16.21,12020
12,21,262,227,86.64,35,13.36,12021
12,22,178,168,94.38,10,5.62,12022
14,2,332,257,77.41,75,22.59,14002
14,3,223,200,89.69,23,10.31,14003
14,5,319,300,94.04,19,5.96,14005
14,6,118,105,88.98,13,11.02,14006
14,10,191,153,80.1,38,19.9,14010
14,11,134,116,86.57,18,13.43,14011
14,12,0,0,0.0,0,0.0,14012
14,13,203,168,82.76,35,17.24,14013
14,14,234,207,88.46,27,11.54,14014
14,15,259,237,91.51,22,8.49,14015
14,16,204,167,81.86,37,18.14,14016
14,17,221,198,89.59,23,10.41,14017
14,19,224,187,83.48,37,16.52,14019
14,20,172,138,80.23,34,19.77,14020
14,25,161,142,88.2,19,11.8,14025
14,27,234,182,77.78,52,22.22,14027
14,28,182,148,81.32,34,18.68,14028
14,30,108,96,88.89,12,11.11,14030
14,31,142,126,88.73,16,11.27,14031
15,1,5,5,100.0,0,0.0,15001
15,4,182,156,85.71,26,14.29,15004
15,5,179,160,89.39,19,10.61,15005
15,6,222,185,83.33,37,16.67,15006
15,8,119,96,80.67,23,19.33,15008
15,9,266,228,85.71,38,14.29,15009
15,10,284,228,80.28,56,19.72,15010
15,11,237,210,88.61,27,11.39,15011
15,12,257,214,83.27,43,16.73,15012
15,15,48,40,83.33,8,16.67,15015
16,1,51,46,90.2,5,9.8,16001
22,3,266,230,86.47,36,13.53,22003
22,4,138,130,94.2,8,5.8,22004
22,5,204,178,87.25,26,12.75,22005
22,6,226,194,85.84,32,14.16,22006
22,7,161,139,86.34,22,13.66,22007
22,9,179,160,89.39,19,10.61,22009
22,10,285,244,85.61,41,14.39,22010
22,11,220,202,91.82,18,8.18,22011
22,13,219,190,86.76,29,13.24,22013
22,14,89,82,92.13,7,7.87,22014
22,15,142,129,90.85,13,9.15,22015
22,16,177,156,88.14,21,11.86,22016
22,17,205,182,88.78,23,11.22,22017
22,18,158,142,89.87,16,10.13,22018
22,19,2,2,100.0,0,0.0,22019
22,20,173,149,86.13,24,13.87,22020
22,22,173,164,94.8,9,5.2,22022
22,24,250,223,89.2,27,10.8,22024
22,25,218,203,93.12,15,6.88,22025
23,9,108,95,87.96,13,12.04,23009
23,13,167,149,89.22,18,10.78,23013
23,15,61,51,83.61,10,16.39,23015
23,24,194,145,74.74,49,25.26,23024
23,26,82,62,75.61,20,24.39,23026
23,34,88,73,82.95,15,17.05,23034
23,39,165,152,92.12,13,7.88,23039
24,16,192,169,88.02,23,11.98,24016
25,1,234,205,87.61,29,12.39,25001
25,2,248,225,90.73,23,9.27,25002
25,5,266,224,84.21,42,15.79,25005
25,7,275,250,90.91,25,9.09,25007
25,8,253,215,84.98,38,15.02,25008
25,9,276,247,89.49,29,10.51,25009
25,11,265,222,83.77,43,16.23,25011
25,12,250,219,87.6,31,12.4,25012
25,13,297,272,91.58,25,8.42,25013
25,14,71,55,77.46,16,22.54,25014
25,15,250,216,86.4,34,13.6,25015
25,17,300,266,88.67,34,11.33,25017
25,19,283,253,89.4,30,10.6,25019
25,22,234,214,91.45,20,8.55,25022
25,23,342,302,88.3,40,11.7,25023
25,24,274,231,84.31,43,15.69,25024
25,26,224,194,86.61,30,13.39,25026
25,27,10,9,90.0,1,10.0,25027
25,28,262,235,89.69,27,10.31,25028
25,30,245,220,89.8,25,10.2,25030
25,32,228,185,81.14,43,18.86,25032
26,1,99,93,93.94,6,6.06,26001
26,2,215,190,88.37,25,11.63,26002
26,5,201,181,90.05,20,9.95,26005
26,6,194,159,81.96,35,18.04,26006
26,7,161,135,83.85,26,16.15,26007
26,8,97,76,78.35,21,21.65,26008
26,9,184,157,85.33,27,14.67,26009
26,10,66,50,75.76,16,24.24,26010
26,11,202,163,80.69,39,19.31,26011
26,12,190,163,85.79,27,14.21,26012
26,13,131,116,88.55,15,11.45,26013
26,14,112,98,87.5,14,12.5,26014
26,15,114,105,92.11,9,7.89,26015
26,16,112,94,83.93,18,16.07,26016
26,18,166,147,88.55,19,11.45,26018
26,20,195,161,82.56,34,17.44,26020
26,22,114,97,85.09,17,14.91,26022
26,23,140,119,85.0,21,15.0,26023
26,24,179,153,85.47,26,14.53,26024
26,25,182,149,81.87,33,18.13,26025
26,26,137,110,80.29,27,19.71,26026
26,27,149,120,80.54,29,19.46,26027
26,29,113,93,82.3,20,17.7,26029
26,30,149,136,91.28,13,8.72,26030
26,31,113,85,75.22,28,24.78,26031
26,33,53,49,92.45,4,7.55,26033
26,34,236,202,85.59,34,14.41,26034
26,35,182,148,81.32,34,18.68,26035
26,36,4,3,75.0,1,25.0,26036
26,37,210,187,89.05,23,10.95,26037
26,38,111,93,83.78,18,16.22,26038
26,39,105,82,78.1,23,21.9,26039
26,40,106,86,81.13,20,18.87,26040
