ward,precinct,total,Luis Arroyo,Luis Arroyo Percent,precinct_id
1,2,202,202,100.0,01002
1,17,2,2,100.0,01017
1,26,21,21,100.0,01026
26,24,2,2,100.0,26024
26,37,158,158,100.0,26037
29,15,0,0,0.0,29015
29,23,28,28,100.0,29023
29,24,44,44,100.0,29024
29,29,34,34,100.0,29029
29,30,183,183,100.0,29030
29,31,113,113,100.0,29031
29,36,250,250,100.0,29036
29,38,209,209,100.0,29038
29,39,213,213,100.0,29039
30,2,224,224,100.0,30002
30,5,145,145,100.0,30005
30,6,171,171,100.0,30006
30,9,57,57,100.0,30009
30,10,212,212,100.0,30010
30,11,203,203,100.0,30011
30,12,172,172,100.0,30012
30,13,182,182,100.0,30013
30,14,134,134,100.0,30014
30,16,94,94,100.0,30016
30,19,129,129,100.0,30019
30,21,176,176,100.0,30021
30,29,119,119,100.0,30029
30,30,65,65,100.0,30030
31,3,147,147,100.0,31003
31,4,128,128,100.0,31004
31,14,19,19,100.0,31014
31,15,107,107,100.0,31015
31,16,91,91,100.0,31016
31,19,109,109,100.0,31019
31,21,23,23,100.0,31021
31,22,115,115,100.0,31022
31,25,115,115,100.0,31025
31,31,136,136,100.0,31031
31,39,125,125,100.0,31039
35,2,229,229,100.0,35002
35,3,75,75,100.0,35003
35,7,227,227,100.0,35007
35,8,208,208,100.0,35008
35,14,170,170,100.0,35014
35,18,169,169,100.0,35018
35,19,96,96,100.0,35019
35,21,31,31,100.0,35021
36,1,211,211,100.0,36001
36,2,181,181,100.0,36002
36,3,192,192,100.0,36003
36,4,190,190,100.0,36004
36,5,216,216,100.0,36005
36,6,151,151,100.0,36006
36,7,249,249,100.0,36007
36,8,129,129,100.0,36008
36,9,148,148,100.0,36009
36,10,226,226,100.0,36010
36,11,146,146,100.0,36011
36,12,62,62,100.0,36012
36,13,144,144,100.0,36013
36,15,215,215,100.0,36015
36,18,36,36,100.0,36018
36,19,228,228,100.0,36019
36,21,166,166,100.0,36021
36,22,147,147,100.0,36022
36,23,146,146,100.0,36023
36,24,200,200,100.0,36024
36,25,157,157,100.0,36025
36,26,176,176,100.0,36026
36,27,166,166,100.0,36027
36,28,180,180,100.0,36028
36,29,226,226,100.0,36029
36,30,198,198,100.0,36030
37,22,55,55,100.0,37022
37,26,56,56,100.0,37026
38,4,237,237,100.0,38004
38,8,203,203,100.0,38008
38,10,185,185,100.0,38010
38,16,239,239,100.0,38016
38,21,5,5,100.0,38021
38,37,224,224,100.0,38037
38,39,197,197,100.0,38039
