ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,Shaun Colin Murphy,Shaun Colin Murphy Percent,precinct_id
17,18,3,3,100.0,0,0.0,17018
18,9,200,183,91.5,17,8.5,18009
18,19,13,13,100.0,0,0.0,18019
18,26,72,69,95.83,3,4.17,18026
18,32,322,313,97.2,9,2.8,18032
18,34,429,399,93.01,30,6.99,18034
19,1,370,262,70.81,108,29.19,19001
19,2,525,465,88.57,60,11.43,19002
19,3,302,166,54.97,136,45.03,19003
19,4,440,268,60.91,172,39.09,19004
19,5,450,359,79.78,91,20.22,19005
19,6,389,224,57.58,165,42.42,19006
19,7,388,293,75.52,95,24.48,19007
19,8,446,271,60.76,175,39.24,19008
19,9,266,177,66.54,89,33.46,19009
19,10,457,364,79.65,93,20.35,19010
19,11,388,229,59.02,159,40.98,19011
19,12,324,187,57.72,137,42.28,19012
19,13,461,435,94.36,26,5.64,19013
19,15,494,282,57.09,212,42.91,19015
19,16,430,266,61.86,164,38.14,19016
19,17,344,237,68.9,107,31.1,19017
19,18,378,283,74.87,95,25.13,19018
19,19,484,378,78.1,106,21.9,19019
19,21,373,229,61.39,144,38.61,19021
19,22,416,323,77.64,93,22.36,19022
19,23,400,262,65.5,138,34.5,19023
19,24,310,187,60.32,123,39.68,19024
19,25,390,267,68.46,123,31.54,19025
19,26,407,275,67.57,132,32.43,19026
19,27,400,350,87.5,50,12.5,19027
19,28,451,426,94.46,25,5.54,19028
19,29,393,220,55.98,173,44.02,19029
19,30,346,203,58.67,143,41.33,19030
19,32,375,270,72.0,105,28.0,19032
19,33,394,244,61.93,150,38.07,19033
19,34,371,270,72.78,101,27.22,19034
19,35,350,265,75.71,85,24.29,19035
19,36,472,421,89.19,51,10.81,19036
19,37,375,332,88.53,43,11.47,19037
19,38,336,301,89.58,35,10.42,19038
19,39,131,120,91.6,11,8.4,19039
19,41,357,199,55.74,158,44.26,19041
19,44,437,273,62.47,164,37.53,19044
19,45,391,247,63.17,144,36.83,19045
19,46,438,305,69.63,133,30.37,19046
19,50,305,221,72.46,84,27.54,19050
19,51,442,328,74.21,114,25.79,19051
19,52,414,217,52.42,197,47.58,19052
19,53,363,256,70.52,107,29.48,19053
19,54,336,207,61.61,129,38.39,19054
19,55,349,196,56.16,153,43.84,19055
19,56,432,325,75.23,107,24.77,19056
19,57,329,284,86.32,45,13.68,19057
21,1,364,357,98.08,7,1.92,21001
21,3,349,346,99.14,3,0.86,21003
21,7,366,356,97.27,10,2.73,21007
21,8,345,341,98.84,4,1.16,21008
21,9,383,378,98.69,5,1.31,21009
21,13,305,296,97.05,9,2.95,21013
21,14,419,408,97.37,11,2.63,21014
21,15,89,88,98.88,1,1.12,21015
21,16,336,331,98.51,5,1.49,21016
21,18,390,383,98.21,7,1.79,21018
21,22,102,99,97.06,3,2.94,21022
21,26,25,24,96.0,1,4.0,21026
21,29,355,349,98.31,6,1.69,21029
21,32,322,316,98.14,6,1.86,21032
21,36,95,91,95.79,4,4.21,21036
21,42,121,118,97.52,3,2.48,21042
21,48,116,114,98.28,2,1.72,21048
34,49,13,12,92.31,1,7.69,34049
