ward,precinct,total,Jeffrey R. Tobolski,Jeffrey R. Tobolski Percent,precinct_id
14,2,289,289,100.0,14002
14,7,233,233,100.0,14007
14,8,191,191,100.0,14008
14,12,232,232,100.0,14012
14,13,178,178,100.0,14013
14,18,86,86,100.0,14018
14,22,202,202,100.0,14022
14,27,184,184,100.0,14027
14,28,158,158,100.0,14028
