ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,precinct_id
1,1,232,232,100.0,01001
1,3,252,252,100.0,01003
1,4,253,253,100.0,01004
1,5,242,242,100.0,01005
1,6,288,288,100.0,01006
1,8,36,36,100.0,01008
1,10,235,235,100.0,01010
1,11,205,205,100.0,01011
1,14,271,271,100.0,01014
1,15,237,237,100.0,01015
1,17,190,190,100.0,01017
1,18,266,266,100.0,01018
1,20,204,204,100.0,01020
1,21,224,224,100.0,01021
1,22,122,122,100.0,01022
1,24,198,198,100.0,01024
1,25,175,175,100.0,01025
1,26,146,146,100.0,01026
1,27,195,195,100.0,01027
1,29,218,218,100.0,01029
1,30,258,258,100.0,01030
1,31,229,229,100.0,01031
1,32,164,164,100.0,01032
1,33,231,231,100.0,01033
1,35,249,249,100.0,01035
1,36,254,254,100.0,01036
1,37,202,202,100.0,01037
1,38,200,200,100.0,01038
1,39,191,191,100.0,01039
1,40,222,222,100.0,01040
1,44,152,152,100.0,01044
2,1,69,69,100.0,02001
2,3,225,225,100.0,02003
2,4,237,237,100.0,02004
2,5,264,264,100.0,02005
2,14,288,288,100.0,02014
2,15,27,27,100.0,02015
2,16,201,201,100.0,02016
2,17,45,45,100.0,02017
2,21,255,255,100.0,02021
26,1,167,167,100.0,26001
26,2,181,181,100.0,26002
26,3,194,194,100.0,26003
26,4,101,101,100.0,26004
26,5,173,173,100.0,26005
26,6,156,156,100.0,26006
26,8,85,85,100.0,26008
26,9,159,159,100.0,26009
26,10,186,186,100.0,26010
26,11,159,159,100.0,26011
26,12,170,170,100.0,26012
26,13,110,110,100.0,26013
26,14,101,101,100.0,26014
26,15,95,95,100.0,26015
26,16,93,93,100.0,26016
26,18,143,143,100.0,26018
26,19,54,54,100.0,26019
26,20,164,164,100.0,26020
26,21,218,218,100.0,26021
26,22,92,92,100.0,26022
26,23,110,110,100.0,26023
26,24,140,140,100.0,26024
26,25,161,161,100.0,26025
26,26,111,111,100.0,26026
26,27,176,176,100.0,26027
26,28,35,35,100.0,26028
26,29,100,100,100.0,26029
26,30,135,135,100.0,26030
26,31,91,91,100.0,26031
26,32,193,193,100.0,26032
26,33,168,168,100.0,26033
26,34,11,11,100.0,26034
26,35,153,153,100.0,26035
26,36,136,136,100.0,26036
26,38,93,93,100.0,26038
26,39,181,181,100.0,26039
26,40,90,90,100.0,26040
26,41,181,181,100.0,26041
26,42,128,128,100.0,26042
26,43,99,99,100.0,26043
26,44,96,96,100.0,26044
26,45,71,71,100.0,26045
26,47,120,120,100.0,26047
26,48,160,160,100.0,26048
26,49,88,88,100.0,26049
27,5,2,2,100.0,27005
27,7,256,256,100.0,27007
27,13,53,53,100.0,27013
27,24,16,16,100.0,27024
27,27,12,12,100.0,27027
27,40,26,26,100.0,27040
27,43,14,14,100.0,27043
31,4,62,62,100.0,31004
31,16,68,68,100.0,31016
35,3,150,150,100.0,35003
35,12,149,149,100.0,35012
35,13,134,134,100.0,35013
35,16,112,112,100.0,35016
35,19,35,35,100.0,35019
35,21,166,166,100.0,35021
36,12,43,43,100.0,36012
37,12,61,61,100.0,37012
37,22,3,3,100.0,37022
