ward,precinct,total,Robin Kelly,Robin Kelly Percent,Eric M. Wallace,Eric M. Wallace Percent,precinct_id
5,1,340,333,97.94,7,2.06,05001
5,6,343,337,98.25,6,1.75,05006
5,10,263,258,98.1,5,1.9,05010
5,11,256,237,92.58,19,7.42,05011
5,14,351,346,98.58,5,1.42,05014
5,18,145,134,92.41,11,7.59,05018
5,23,590,536,90.85,54,9.15,05023
5,25,296,288,97.3,8,2.7,05025
5,26,359,353,98.33,6,1.67,05026
5,28,440,422,95.91,18,4.09,05028
5,29,514,499,97.08,15,2.92,05029
5,31,334,327,97.9,7,2.1,05031
5,32,400,384,96.0,16,4.0,05032
5,35,58,58,100.0,0,0.0,05035
5,36,339,330,97.35,9,2.65,05036
5,37,434,409,94.24,25,5.76,05037
5,38,371,362,97.57,9,2.43,05038
5,40,354,341,96.33,13,3.67,05040
5,41,235,223,94.89,12,5.11,05041
7,1,123,120,97.56,3,2.44,07001
7,2,325,319,98.15,6,1.85,07002
7,3,332,319,96.08,13,3.92,07003
7,4,313,306,97.76,7,2.24,07004
7,5,304,291,95.72,13,4.28,07005
7,6,412,393,95.39,19,4.61,07006
7,7,357,348,97.48,9,2.52,07007
7,8,293,276,94.2,17,5.8,07008
7,9,565,546,96.64,19,3.36,07009
7,10,342,336,98.25,6,1.75,07010
7,11,360,355,98.61,5,1.39,07011
7,12,333,325,97.6,8,2.4,07012
7,13,249,243,97.59,6,2.41,07013
7,14,336,319,94.94,17,5.06,07014
7,15,369,359,97.29,10,2.71,07015
7,16,249,243,97.59,6,2.41,07016
7,17,296,284,95.95,12,4.05,07017
7,18,303,287,94.72,16,5.28,07018
7,19,318,311,97.8,7,2.2,07019
7,20,249,245,98.39,4,1.61,07020
7,21,290,282,97.24,8,2.76,07021
7,22,260,245,94.23,15,5.77,07022
7,23,352,346,98.3,6,1.7,07023
7,24,335,325,97.01,10,2.99,07024
7,25,291,275,94.5,16,5.5,07025
7,26,278,272,97.84,6,2.16,07026
7,27,301,293,97.34,8,2.66,07027
7,28,239,229,95.82,10,4.18,07028
7,29,287,278,96.86,9,3.14,07029
7,30,265,256,96.6,9,3.4,07030
7,31,204,199,97.55,5,2.45,07031
7,32,471,457,97.03,14,2.97,07032
7,33,432,421,97.45,11,2.55,07033
7,34,417,406,97.36,11,2.64,07034
7,35,345,334,96.81,11,3.19,07035
7,36,399,393,98.5,6,1.5,07036
7,37,380,366,96.32,14,3.68,07037
7,38,287,282,98.26,5,1.74,07038
7,39,318,309,97.17,9,2.83,07039
7,40,331,323,97.58,8,2.42,07040
7,41,321,313,97.51,8,2.49,07041
7,42,311,306,98.39,5,1.61,07042
7,43,321,314,97.82,7,2.18,07043
7,44,313,309,98.72,4,1.28,07044
7,45,344,338,98.26,6,1.74,07045
7,46,119,118,99.16,1,0.84,07046
8,4,261,261,100.0,0,0.0,08004
8,5,18,17,94.44,1,5.56,08005
8,7,416,406,97.6,10,2.4,08007
8,9,244,241,98.77,3,1.23,08009
8,17,305,303,99.34,2,0.66,08017
8,27,299,291,97.32,8,2.68,08027
8,28,378,374,98.94,4,1.06,08028
8,32,296,292,98.65,4,1.35,08032
8,36,384,380,98.96,4,1.04,08036
8,39,374,372,99.47,2,0.53,08039
8,42,434,428,98.62,6,1.38,08042
8,46,299,294,98.33,5,1.67,08046
8,49,21,21,100.0,0,0.0,08049
8,50,46,45,97.83,1,2.17,08050
8,53,218,215,98.62,3,1.38,08053
9,1,366,359,98.09,7,1.91,09001
9,2,312,307,98.4,5,1.6,09002
9,3,304,302,99.34,2,0.66,09003
9,4,281,277,98.58,4,1.42,09004
9,5,334,332,99.4,2,0.6,09005
9,6,354,345,97.46,9,2.54,09006
9,7,242,235,97.11,7,2.89,09007
9,8,340,334,98.24,6,1.76,09008
9,9,382,377,98.69,5,1.31,09009
9,10,346,337,97.4,9,2.6,09010
9,11,263,253,96.2,10,3.8,09011
9,13,392,385,98.21,7,1.79,09013
9,14,426,423,99.3,3,0.7,09014
9,15,341,332,97.36,9,2.64,09015
