ward,precinct,total,Andr̩ Thapedi,Andr̩ Thapedi Percent,precinct_id
6,4,260,260,100.0,06004
6,5,255,255,100.0,06005
6,6,342,342,100.0,06006
6,7,293,293,100.0,06007
6,9,299,299,100.0,06009
6,11,310,310,100.0,06011
6,12,221,221,100.0,06012
6,15,181,181,100.0,06015
6,18,191,191,100.0,06018
6,19,166,166,100.0,06019
6,21,212,212,100.0,06021
6,22,42,42,100.0,06022
6,23,213,213,100.0,06023
6,24,182,182,100.0,06024
6,26,157,157,100.0,06026
6,28,103,103,100.0,06028
6,30,276,276,100.0,06030
6,32,306,306,100.0,06032
6,33,322,322,100.0,06033
6,40,265,265,100.0,06040
6,47,255,255,100.0,06047
6,48,315,315,100.0,06048
8,26,18,18,100.0,08026
15,7,130,130,100.0,15007
15,22,210,210,100.0,15022
16,6,133,133,100.0,16006
16,16,251,251,100.0,16016
16,24,171,171,100.0,16024
16,29,223,223,100.0,16029
16,30,183,183,100.0,16030
16,33,199,199,100.0,16033
17,1,95,95,100.0,17001
17,3,306,306,100.0,17003
17,8,124,124,100.0,17008
17,11,67,67,100.0,17011
17,13,249,249,100.0,17013
17,17,199,199,100.0,17017
17,19,188,188,100.0,17019
17,30,128,128,100.0,17030
17,31,228,228,100.0,17031
17,32,64,64,100.0,17032
17,33,194,194,100.0,17033
17,34,77,77,100.0,17034
17,35,255,255,100.0,17035
17,36,311,311,100.0,17036
17,37,48,48,100.0,17037
18,1,241,241,100.0,18001
18,2,202,202,100.0,18002
18,3,215,215,100.0,18003
18,5,210,210,100.0,18005
18,6,97,97,100.0,18006
18,11,216,216,100.0,18011
18,12,92,92,100.0,18012
18,15,10,10,100.0,18015
18,17,272,272,100.0,18017
18,21,241,241,100.0,18021
18,23,260,260,100.0,18023
18,24,210,210,100.0,18024
18,25,231,231,100.0,18025
18,27,224,224,100.0,18027
18,28,214,214,100.0,18028
18,29,263,263,100.0,18029
18,30,230,230,100.0,18030
18,31,271,271,100.0,18031
18,33,197,197,100.0,18033
18,39,207,207,100.0,18039
18,40,244,244,100.0,18040
18,42,234,234,100.0,18042
18,43,30,30,100.0,18043
18,44,195,195,100.0,18044
18,45,216,216,100.0,18045
18,46,81,81,100.0,18046
18,47,215,215,100.0,18047
18,48,246,246,100.0,18048
18,49,223,223,100.0,18049
18,50,151,151,100.0,18050
20,8,62,62,100.0,20008
20,28,187,187,100.0,20028
