ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
29,1,340,340,100.0,29001
29,4,391,391,100.0,29004
29,5,298,298,100.0,29005
29,7,287,287,100.0,29007
29,9,350,350,100.0,29009
29,10,374,374,100.0,29010
29,12,364,364,100.0,29012
29,13,343,343,100.0,29013
29,15,366,366,100.0,29015
29,17,282,282,100.0,29017
29,23,229,229,100.0,29023
29,24,251,251,100.0,29024
29,25,369,369,100.0,29025
29,26,322,322,100.0,29026
29,27,255,255,100.0,29027
29,30,158,158,100.0,29030
29,33,253,253,100.0,29033
29,35,231,231,100.0,29035
29,36,36,36,100.0,29036
29,37,315,315,100.0,29037
29,40,366,366,100.0,29040
29,41,288,288,100.0,29041
29,43,382,382,100.0,29043
29,44,413,413,100.0,29044
37,18,275,275,100.0,37018
37,29,155,155,100.0,37029
37,35,303,303,100.0,37035
37,37,339,339,100.0,37037
