ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
17,18,3,3,100.0,17018
18,9,187,187,100.0,18009
18,19,13,13,100.0,18019
18,26,71,71,100.0,18026
18,32,301,301,100.0,18032
18,34,395,395,100.0,18034
19,3,210,210,100.0,19003
19,5,387,387,100.0,19005
19,9,204,204,100.0,19009
19,12,229,229,100.0,19012
19,16,50,50,100.0,19016
19,18,56,56,100.0,19018
19,24,228,228,100.0,19024
19,30,5,5,100.0,19030
19,33,91,91,100.0,19033
19,55,257,257,100.0,19055
19,56,275,275,100.0,19056
21,7,345,345,100.0,21007
21,9,376,376,100.0,21009
21,13,288,288,100.0,21013
21,15,83,83,100.0,21015
21,26,20,20,100.0,21026
21,29,202,202,100.0,21029
