ward,precinct,total,Pat Quinn & Paul Vallas,Pat Quinn & Paul Vallas Percent,Bruce Rauner & Evelyn Sanguinetti,Bruce Rauner & Evelyn Sanguinetti Percent,Chad Grimm & Alexander Cummings,Chad Grimm & Alexander Cummings Percent,precinct_id
1,1,290,232,80.0,50,17.24,8,2.76,01001
1,2,261,222,85.06,36,13.79,3,1.15,01002
1,3,319,215,67.4,99,31.03,5,1.57,01003
1,4,314,198,63.06,101,32.17,15,4.78,01004
1,5,302,210,69.54,82,27.15,10,3.31,01005
1,6,360,243,67.5,104,28.89,13,3.61,01006
1,7,199,144,72.36,46,23.12,9,4.52,01007
1,8,317,241,76.03,71,22.4,5,1.58,01008
1,9,268,208,77.61,44,16.42,16,5.97,01009
1,10,303,211,69.64,87,28.71,5,1.65,01010
1,11,303,198,65.35,97,32.01,8,2.64,01011
1,12,336,224,66.67,105,31.25,7,2.08,01012
1,13,128,94,73.44,29,22.66,5,3.91,01013
1,14,358,265,74.02,89,24.86,4,1.12,01014
1,15,274,212,77.37,52,18.98,10,3.65,01015
1,16,228,189,82.89,32,14.04,7,3.07,01016
1,17,261,219,83.91,35,13.41,7,2.68,01017
1,18,318,262,82.39,49,15.41,7,2.2,01018
1,19,365,288,78.9,63,17.26,14,3.84,01019
1,20,257,209,81.32,43,16.73,5,1.95,01020
1,21,303,200,66.01,98,32.34,5,1.65,01021
1,22,160,129,80.63,30,18.75,1,0.63,01022
1,23,414,323,78.02,77,18.6,14,3.38,01023
1,24,239,206,86.19,25,10.46,8,3.35,01024
1,25,206,158,76.7,43,20.87,5,2.43,01025
1,26,199,171,85.93,20,10.05,8,4.02,01026
1,27,265,167,63.02,88,33.21,10,3.77,01027
1,28,164,144,87.8,19,11.59,1,0.61,01028
1,29,285,193,67.72,83,29.12,9,3.16,01029
1,30,313,265,84.66,43,13.74,5,1.6,01030
1,31,300,212,70.67,78,26.0,10,3.33,01031
1,32,281,193,68.68,81,28.83,7,2.49,01032
1,33,310,199,64.19,102,32.9,9,2.9,01033
1,34,242,193,79.75,39,16.12,10,4.13,01034
1,35,317,218,68.77,92,29.02,7,2.21,01035
1,36,324,196,60.49,114,35.19,14,4.32,01036
1,37,323,212,65.63,105,32.51,6,1.86,01037
1,38,277,195,70.4,74,26.71,8,2.89,01038
1,39,243,182,74.9,56,23.05,5,2.06,01039
1,40,299,220,73.58,75,25.08,4,1.34,01040
1,41,202,162,80.2,31,15.35,9,4.46,01041
1,42,89,70,78.65,14,15.73,5,5.62,01042
1,43,211,161,76.3,45,21.33,5,2.37,01043
1,44,185,139,75.14,38,20.54,8,4.32,01044
2,1,291,194,66.67,86,29.55,11,3.78,02001
2,2,353,205,58.07,146,41.36,2,0.57,02002
2,3,320,192,60.0,120,37.5,8,2.5,02003
2,4,301,206,68.44,86,28.57,9,2.99,02004
2,5,339,224,66.08,102,30.09,13,3.83,02005
2,6,306,203,66.34,95,31.05,8,2.61,02006
2,7,293,173,59.04,104,35.49,16,5.46,02007
2,8,305,201,65.9,101,33.11,3,0.98,02008
2,9,328,164,50.0,161,49.09,3,0.91,02009
2,10,447,206,46.09,239,53.47,2,0.45,02010
2,11,394,167,42.39,223,56.6,4,1.02,02011
2,12,399,267,66.92,129,32.33,3,0.75,02012
2,13,451,246,54.55,202,44.79,3,0.67,02013
2,14,357,253,70.87,97,27.17,7,1.96,02014
2,15,314,217,69.11,78,24.84,19,6.05,02015
2,16,261,180,68.97,79,30.27,2,0.77,02016
2,17,389,276,70.95,107,27.51,6,1.54,02017
2,18,310,172,55.48,133,42.9,5,1.61,02018
2,19,375,175,46.67,196,52.27,4,1.07,02019
2,20,351,165,47.01,183,52.14,3,0.85,02020
2,21,315,226,71.75,82,26.03,7,2.22,02021
2,22,406,165,40.64,239,58.87,2,0.49,02022
2,23,349,134,38.4,215,61.6,0,0.0,02023
2,24,338,194,57.4,133,39.35,11,3.25,02024
2,25,330,220,66.67,106,32.12,4,1.21,02025
2,26,354,214,60.45,135,38.14,5,1.41,02026
2,27,337,158,46.88,170,50.45,9,2.67,02027
2,28,403,208,51.61,191,47.39,4,0.99,02028
2,29,377,186,49.34,187,49.6,4,1.06,02029
2,30,332,159,47.89,172,51.81,1,0.3,02030
2,31,540,274,50.74,260,48.15,6,1.11,02031
2,32,296,134,45.27,153,51.69,9,3.04,02032
2,33,590,311,52.71,272,46.1,7,1.19,02033
2,34,364,168,46.15,195,53.57,1,0.27,02034
2,35,360,183,50.83,175,48.61,2,0.56,02035
2,36,327,167,51.07,154,47.09,6,1.83,02036
2,37,395,236,59.75,154,38.99,5,1.27,02037
2,38,429,180,41.96,244,56.88,5,1.17,02038
2,39,282,114,40.43,165,58.51,3,1.06,02039
2,40,322,175,54.35,140,43.48,7,2.17,02040
2,41,263,133,50.57,127,48.29,3,1.14,02041
2,42,345,213,61.74,128,37.1,4,1.16,02042
2,43,418,175,41.87,240,57.42,3,0.72,02043
2,44,271,126,46.49,144,53.14,1,0.37,02044
2,45,419,268,63.96,132,31.5,19,4.53,02045
2,46,239,115,48.12,120,50.21,4,1.67,02046
3,1,463,436,94.17,17,3.67,10,2.16,03001
3,2,532,504,94.74,23,4.32,5,0.94,03002
3,3,435,392,90.11,36,8.28,7,1.61,03003
3,4,449,423,94.21,20,4.45,6,1.34,03004
3,5,300,289,96.33,7,2.33,4,1.33,03005
3,6,411,224,54.5,177,43.07,10,2.43,03006
3,7,381,357,93.7,19,4.99,5,1.31,03007
3,8,337,325,96.44,3,0.89,9,2.67,03008
3,9,407,377,92.63,19,4.67,11,2.7,03009
3,10,266,259,97.37,5,1.88,2,0.75,03010
3,11,402,385,95.77,12,2.99,5,1.24,03011
3,12,433,400,92.38,20,4.62,13,3.0,03012
3,13,471,315,66.88,150,31.85,6,1.27,03013
3,14,350,282,80.57,55,15.71,13,3.71,03014
3,15,366,353,96.45,9,2.46,4,1.09,03015
3,16,379,352,92.88,17,4.49,10,2.64,03016
3,17,370,295,79.73,71,19.19,4,1.08,03017
3,18,582,540,92.78,34,5.84,8,1.37,03018
3,19,430,248,57.67,178,41.4,4,0.93,03019
3,20,417,401,96.16,10,2.4,6,1.44,03020
3,21,475,332,69.89,135,28.42,8,1.68,03021
3,22,383,248,64.75,130,33.94,5,1.31,03022
3,23,376,355,94.41,17,4.52,4,1.06,03023
3,24,347,330,95.1,11,3.17,6,1.73,03024
3,25,486,282,58.02,198,40.74,6,1.23,03025
3,26,502,317,63.15,177,35.26,8,1.59,03026
3,27,399,229,57.39,165,41.35,5,1.25,03027
3,28,310,289,93.23,15,4.84,6,1.94,03028
3,29,421,399,94.77,14,3.33,8,1.9,03029
3,30,411,393,95.62,12,2.92,6,1.46,03030
3,31,454,435,95.81,16,3.52,3,0.66,03031
3,32,413,306,74.09,98,23.73,9,2.18,03032
3,33,371,237,63.88,129,34.77,5,1.35,03033
3,34,456,323,70.83,117,25.66,16,3.51,03034
3,35,213,196,92.02,15,7.04,2,0.94,03035
3,36,245,237,96.73,6,2.45,2,0.82,03036
3,37,338,317,93.79,17,5.03,4,1.18,03037
3,38,390,374,95.9,13,3.33,3,0.77,03038
3,39,356,212,59.55,138,38.76,6,1.69,03039
3,40,439,379,86.33,53,12.07,7,1.59,03040
3,41,315,259,82.22,48,15.24,8,2.54,03041
4,1,440,392,89.09,43,9.77,5,1.14,04001
4,2,440,282,64.09,146,33.18,12,2.73,04002
4,3,403,375,93.05,18,4.47,10,2.48,04003
4,4,548,505,92.15,35,6.39,8,1.46,04004
4,5,431,394,91.42,26,6.03,11,2.55,04005
4,6,552,498,90.22,42,7.61,12,2.17,04006
4,7,511,472,92.37,32,6.26,7,1.37,04007
