ward,precinct,total,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",precinct_id
1,28,0,0,0.0,01028
1,41,0,0,0.0,01041
1,42,15,15,100.0,01042
30,3,168,168,100.0,30003
30,7,1,1,100.0,30007
30,8,244,244,100.0,30008
30,15,237,237,100.0,30015
30,18,80,80,100.0,30018
30,22,200,200,100.0,30022
30,23,14,14,100.0,30023
30,24,120,120,100.0,30024
30,25,87,87,100.0,30025
30,28,228,228,100.0,30028
30,32,149,149,100.0,30032
32,1,71,71,100.0,32001
32,3,172,172,100.0,32003
32,14,0,0,0.0,32014
32,17,257,257,100.0,32017
32,26,140,140,100.0,32026
32,28,133,133,100.0,32028
32,43,247,247,100.0,32043
33,1,287,287,100.0,33001
33,2,181,181,100.0,33002
33,3,278,278,100.0,33003
33,4,302,302,100.0,33004
33,5,170,170,100.0,33005
33,6,246,246,100.0,33006
33,7,209,209,100.0,33007
33,9,306,306,100.0,33009
33,11,277,277,100.0,33011
33,12,294,294,100.0,33012
33,13,249,249,100.0,33013
33,14,117,117,100.0,33014
33,15,292,292,100.0,33015
33,16,399,399,100.0,33016
33,17,267,267,100.0,33017
33,18,215,215,100.0,33018
33,19,218,218,100.0,33019
33,20,274,274,100.0,33020
33,21,274,274,100.0,33021
33,22,304,304,100.0,33022
33,25,353,353,100.0,33025
33,26,193,193,100.0,33026
33,27,238,238,100.0,33027
33,28,215,215,100.0,33028
35,1,214,214,100.0,35001
35,4,243,243,100.0,35004
35,5,189,189,100.0,35005
35,6,180,180,100.0,35006
35,9,265,265,100.0,35009
35,20,199,199,100.0,35020
35,22,258,258,100.0,35022
35,23,248,248,100.0,35023
35,24,186,186,100.0,35024
35,26,162,162,100.0,35026
35,27,195,195,100.0,35027
35,29,194,194,100.0,35029
35,30,194,194,100.0,35030
35,31,244,244,100.0,35031
39,3,273,273,100.0,39003
39,6,0,0,0.0,39006
39,12,150,150,100.0,39012
39,25,138,138,100.0,39025
39,28,278,278,100.0,39028
39,31,178,178,100.0,39031
39,34,258,258,100.0,39034
45,1,193,193,100.0,45001
45,2,197,197,100.0,45002
45,3,230,230,100.0,45003
45,4,300,300,100.0,45004
45,5,300,300,100.0,45005
45,6,295,295,100.0,45006
45,7,370,370,100.0,45007
45,8,9,9,100.0,45008
