ward,precinct,total,Napoleon Harris,Napoleon Harris Percent,precinct_id
9,3,254,254,100.0,09003
9,4,17,17,100.0,09004
9,7,200,200,100.0,09007
9,11,231,231,100.0,09011
9,15,297,297,100.0,09015
9,16,272,272,100.0,09016
9,18,222,222,100.0,09018
9,26,286,286,100.0,09026
9,28,91,91,100.0,09028
9,31,6,6,100.0,09031
9,33,238,238,100.0,09033
9,41,260,260,100.0,09041
9,44,228,228,100.0,09044
9,45,245,245,100.0,09045
