ward,precinct,total,Steven Landek,Steven Landek Percent,precinct_id
12,16,1,1,100.0,12016
13,26,1,1,100.0,13026
13,45,1,1,100.0,13045
22,3,196,196,100.0,22003
22,4,73,73,100.0,22004
22,5,143,143,100.0,22005
22,6,162,162,100.0,22006
22,7,88,88,100.0,22007
22,9,133,133,100.0,22009
22,10,2,2,100.0,22010
22,11,159,159,100.0,22011
22,13,75,75,100.0,22013
22,15,20,20,100.0,22015
22,16,10,10,100.0,22016
22,17,136,136,100.0,22017
22,18,59,59,100.0,22018
22,20,134,134,100.0,22020
22,24,211,211,100.0,22024
22,25,158,158,100.0,22025
