ward,precinct,total,Esther Golar,Esther Golar Percent,precinct_id
3,1,82,82,100.0,03001
3,3,246,246,100.0,03003
3,5,248,248,100.0,03005
3,10,207,207,100.0,03010
3,13,357,357,100.0,03013
3,18,260,260,100.0,03018
3,26,361,361,100.0,03026
3,29,53,53,100.0,03029
3,36,50,50,100.0,03036
3,41,184,184,100.0,03041
4,13,211,211,100.0,04013
4,16,84,84,100.0,04016
4,17,328,328,100.0,04017
4,20,295,295,100.0,04020
4,21,221,221,100.0,04021
4,37,296,296,100.0,04037
5,6,0,0,0.0,05006
6,15,105,105,100.0,06015
6,18,32,32,100.0,06018
6,28,70,70,100.0,06028
11,12,373,373,100.0,11012
11,13,328,328,100.0,11013
11,21,361,361,100.0,11021
11,24,351,351,100.0,11024
11,28,133,133,100.0,11028
11,29,293,293,100.0,11029
11,31,261,261,100.0,11031
11,32,105,105,100.0,11032
11,34,99,99,100.0,11034
11,35,88,88,100.0,11035
15,1,157,157,100.0,15001
15,2,199,199,100.0,15002
15,3,178,178,100.0,15003
15,5,34,34,100.0,15005
15,7,111,111,100.0,15007
15,13,38,38,100.0,15013
15,14,10,10,100.0,15014
15,17,219,219,100.0,15017
15,18,196,196,100.0,15018
15,20,186,186,100.0,15020
15,21,191,191,100.0,15021
15,22,28,28,100.0,15022
15,23,231,231,100.0,15023
15,24,183,183,100.0,15024
16,2,155,155,100.0,16002
16,3,220,220,100.0,16003
16,4,220,220,100.0,16004
16,5,232,232,100.0,16005
16,6,112,112,100.0,16006
16,8,154,154,100.0,16008
16,9,270,270,100.0,16009
16,10,214,214,100.0,16010
16,12,177,177,100.0,16012
16,14,196,196,100.0,16014
16,15,278,278,100.0,16015
16,17,74,74,100.0,16017
16,18,225,225,100.0,16018
16,19,230,230,100.0,16019
16,20,219,219,100.0,16020
16,21,222,222,100.0,16021
16,22,207,207,100.0,16022
16,25,237,237,100.0,16025
16,26,206,206,100.0,16026
16,27,207,207,100.0,16027
16,28,224,224,100.0,16028
16,30,42,42,100.0,16030
16,31,255,255,100.0,16031
16,33,51,51,100.0,16033
16,34,210,210,100.0,16034
16,36,173,173,100.0,16036
17,1,0,0,0.0,17001
17,6,228,228,100.0,17006
17,8,124,124,100.0,17008
17,16,22,22,100.0,17016
17,17,40,40,100.0,17017
17,25,197,197,100.0,17025
18,50,90,90,100.0,18050
20,2,123,123,100.0,20002
20,4,137,137,100.0,20004
20,6,133,133,100.0,20006
20,13,301,301,100.0,20013
20,15,140,140,100.0,20015
20,17,141,141,100.0,20017
20,20,131,131,100.0,20020
20,21,205,205,100.0,20021
20,25,243,243,100.0,20025
20,27,169,169,100.0,20027
20,29,361,361,100.0,20029
20,32,273,273,100.0,20032
20,36,115,115,100.0,20036
20,38,117,117,100.0,20038
20,39,46,46,100.0,20039
25,14,0,0,0.0,25014
25,21,336,336,100.0,25021
25,27,85,85,100.0,25027
42,5,179,179,100.0,42005
42,9,265,265,100.0,42009
42,10,38,38,100.0,42010
42,12,166,166,100.0,42012
42,14,66,66,100.0,42014
42,15,135,135,100.0,42015
42,17,259,259,100.0,42017
42,18,232,232,100.0,42018
42,21,125,125,100.0,42021
42,33,0,0,0.0,42033
42,36,291,291,100.0,42036
42,37,173,173,100.0,42037
42,38,225,225,100.0,42038
42,41,195,195,100.0,42041
