ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
28,1,242,242,100.0,28001
28,12,294,294,100.0,28012
28,14,190,190,100.0,28014
28,31,369,369,100.0,28031
28,39,211,211,100.0,28039
28,41,224,224,100.0,28041
28,42,194,194,100.0,28042
28,43,356,356,100.0,28043
29,2,491,491,100.0,29002
29,3,368,368,100.0,29003
29,6,284,284,100.0,29006
29,8,268,268,100.0,29008
29,11,228,228,100.0,29011
29,14,330,330,100.0,29014
29,16,358,358,100.0,29016
29,18,319,319,100.0,29018
29,19,354,354,100.0,29019
29,20,393,393,100.0,29020
29,21,371,371,100.0,29021
29,22,279,279,100.0,29022
29,28,434,434,100.0,29028
29,34,187,187,100.0,29034
29,42,356,356,100.0,29042
37,1,293,293,100.0,37001
37,5,340,340,100.0,37005
37,6,285,285,100.0,37006
37,9,293,293,100.0,37009
37,10,284,284,100.0,37010
37,11,220,220,100.0,37011
37,14,270,270,100.0,37014
37,15,332,332,100.0,37015
37,16,356,356,100.0,37016
37,17,272,272,100.0,37017
37,20,242,242,100.0,37020
37,22,169,169,100.0,37022
37,23,324,324,100.0,37023
37,24,283,283,100.0,37024
37,25,291,291,100.0,37025
37,26,279,279,100.0,37026
37,27,296,296,100.0,37027
37,29,130,130,100.0,37029
37,30,284,284,100.0,37030
37,31,319,319,100.0,37031
37,32,260,260,100.0,37032
37,33,322,322,100.0,37033
37,34,298,298,100.0,37034
37,36,306,306,100.0,37036
37,38,319,319,100.0,37038
37,39,294,294,100.0,37039
37,40,315,315,100.0,37040
37,41,275,275,100.0,37041
