ward,precinct,total,Mike Quigley,Mike Quigley Percent,Vince Kolber,Vince Kolber Percent,Nancy Wade,Nancy Wade Percent,precinct_id
1,3,306,228,74.51,48,15.69,30,9.8,01003
1,4,307,208,67.75,59,19.22,40,13.03,01004
1,5,293,223,76.11,44,15.02,26,8.87,01005
1,6,353,247,69.97,68,19.26,38,10.76,01006
1,8,290,222,76.55,42,14.48,26,8.97,01008
1,10,298,208,69.8,65,21.81,25,8.39,01010
1,11,296,212,71.62,55,18.58,29,9.8,01011
1,14,265,194,73.21,45,16.98,26,9.81,01014
1,21,289,220,76.12,51,17.65,18,6.23,01021
1,28,147,127,86.39,12,8.16,8,5.44,01028
1,32,170,120,70.59,36,21.18,14,8.24,01032
1,33,300,220,73.33,61,20.33,19,6.33,01033
1,35,310,214,69.03,60,19.35,36,11.61,01035
1,36,313,217,69.33,69,22.04,27,8.63,01036
1,37,312,221,70.83,70,22.44,21,6.73,01037
1,38,60,43,71.67,9,15.0,8,13.33,01038
1,39,224,170,75.89,36,16.07,18,8.04,01039
1,40,273,209,76.56,48,17.58,16,5.86,01040
2,1,283,191,67.49,56,19.79,36,12.72,02001
2,3,311,216,69.45,64,20.58,31,9.97,02003
2,4,294,202,68.71,48,16.33,44,14.97,02004
2,5,323,240,74.3,56,17.34,27,8.36,02005
2,6,293,226,77.13,49,16.72,18,6.14,02006
2,7,287,202,70.38,62,21.6,23,8.01,02007
2,8,303,205,67.66,73,24.09,25,8.25,02008
2,12,154,103,66.88,47,30.52,4,2.6,02012
2,14,55,48,87.27,7,12.73,0,0.0,02014
2,15,302,218,72.19,50,16.56,34,11.26,02015
2,16,257,201,78.21,38,14.79,18,7.0,02016
2,17,1,1,100.0,0,0.0,0,0.0,02017
2,20,202,116,57.43,75,37.13,11,5.45,02020
2,21,300,231,77.0,42,14.0,27,9.0,02021
2,22,398,230,57.79,154,38.69,14,3.52,02022
2,24,323,228,70.59,79,24.46,16,4.95,02024
2,25,320,238,74.38,61,19.06,21,6.56,02025
2,26,333,223,66.97,94,28.23,16,4.8,02026
2,28,260,180,69.23,68,26.15,12,4.62,02028
2,30,324,201,62.04,115,35.49,8,2.47,02030
2,31,529,342,64.65,167,31.57,20,3.78,02031
2,33,568,371,65.32,174,30.63,23,4.05,02033
2,37,384,256,66.67,113,29.43,15,3.91,02037
2,38,98,57,58.16,39,39.8,2,2.04,02038
2,44,258,158,61.24,96,37.21,4,1.55,02044
