ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,Collin Johnson,Collin Johnson Percent,precinct_id
2,27,119,67,56.3,52,43.7,02027
2,29,109,64,58.72,45,41.28,02029
2,32,271,156,57.56,115,42.44,02032
2,36,294,169,57.48,125,42.52,02036
2,38,211,112,53.08,99,46.92,02038
2,39,261,123,47.13,138,52.87,02039
2,40,292,174,59.59,118,40.41,02040
2,41,161,100,62.11,61,37.89,02041
2,42,185,130,70.27,55,29.73,02042
2,43,394,204,51.78,190,48.22,02043
2,45,366,248,67.76,118,32.24,02045
3,1,333,320,96.1,13,3.9,03001
3,2,445,430,96.63,15,3.37,03002
3,3,43,36,83.72,7,16.28,03003
3,6,381,237,62.2,144,37.8,03006
3,7,347,332,95.68,15,4.32,03007
3,8,315,306,97.14,9,2.86,03008
3,9,391,377,96.42,14,3.58,03009
3,11,191,187,97.91,4,2.09,03011
3,12,227,220,96.92,7,3.08,03012
3,14,324,270,83.33,54,16.67,03014
3,15,331,318,96.07,13,3.93,03015
3,16,353,340,96.32,13,3.68,03016
3,17,353,298,84.42,55,15.58,03017
3,18,229,205,89.52,24,10.48,03018
3,20,388,380,97.94,8,2.06,03020
3,21,295,225,76.27,70,23.73,03021
3,22,368,272,73.91,96,26.09,03022
3,23,346,334,96.53,12,3.47,03023
3,24,324,306,94.44,18,5.56,03024
3,25,450,299,66.44,151,33.56,03025
3,27,180,117,65.0,63,35.0,03027
3,28,287,275,95.82,12,4.18,03028
3,29,309,298,96.44,11,3.56,03029
3,31,165,162,98.18,3,1.82,03031
3,32,375,303,80.8,72,19.2,03032
3,33,354,242,68.36,112,31.64,03033
3,34,411,316,76.89,95,23.11,03034
3,35,199,188,94.47,11,5.53,03035
3,36,170,169,99.41,1,0.59,03036
3,37,319,315,98.75,4,1.25,03037
3,38,364,353,96.98,11,3.02,03038
3,39,336,233,69.35,103,30.65,03039
3,40,396,355,89.65,41,10.35,03040
3,41,78,66,84.62,12,15.38,03041
4,2,404,286,70.79,118,29.21,04002
4,6,360,340,94.44,20,5.56,04006
4,11,77,70,90.91,7,9.09,04011
4,14,388,373,96.13,15,3.87,04014
4,16,250,180,72.0,70,28.0,04016
4,21,104,95,91.35,9,8.65,04021
4,25,396,279,70.45,117,29.55,04025
4,36,187,182,97.33,5,2.67,04036
4,38,138,131,94.93,7,5.07,04038
5,2,337,324,96.14,13,3.86,05002
5,12,312,308,98.72,4,1.28,05012
5,13,16,16,100.0,0,0.0,05013
5,30,230,218,94.78,12,5.22,05030
6,7,6,6,100.0,0,0.0,06007
7,1,17,17,100.0,0,0.0,07001
7,3,6,5,83.33,1,16.67,07003
8,1,243,234,96.3,9,3.7,08001
8,2,82,81,98.78,1,1.22,08002
8,9,225,218,96.89,7,3.11,08009
8,13,389,381,97.94,8,2.06,08013
8,16,133,132,99.25,1,0.75,08016
8,20,377,370,98.14,7,1.86,08020
8,21,403,391,97.02,12,2.98,08021
8,26,211,204,96.68,7,3.32,08026
8,28,362,356,98.34,6,1.66,08028
8,43,26,26,100.0,0,0.0,08043
8,54,146,140,95.89,6,4.11,08054
8,55,211,208,98.58,3,1.42,08055
20,1,291,283,97.25,8,2.75,20001
20,3,280,272,97.14,8,2.86,20003
20,7,282,274,97.16,8,2.84,20007
20,8,248,244,98.39,4,1.61,20008
20,10,253,248,98.02,5,1.98,20010
20,11,417,409,98.08,8,1.92,20011
20,12,237,233,98.31,4,1.69,20012
20,14,181,170,93.92,11,6.08,20014
20,18,240,235,97.92,5,2.08,20018
20,19,348,339,97.41,9,2.59,20019
20,23,374,358,95.72,16,4.28,20023
20,27,1,1,100.0,0,0.0,20027
20,30,172,170,98.84,2,1.16,20030
20,31,317,311,98.11,6,1.89,20031
20,33,191,189,98.95,2,1.05,20033
20,35,278,268,96.4,10,3.6,20035
20,37,120,119,99.17,1,0.83,20037
20,39,9,8,88.89,1,11.11,20039
27,38,145,123,84.83,22,15.17,27038
42,10,248,141,56.85,107,43.15,42010
42,14,238,122,51.26,116,48.74,42014
42,15,49,26,53.06,23,46.94,42015
42,19,274,129,47.08,145,52.92,42019
42,20,307,158,51.47,149,48.53,42020
42,22,196,89,45.41,107,54.59,42022
42,23,342,162,47.37,180,52.63,42023
42,25,387,194,50.13,193,49.87,42025
42,27,282,182,64.54,100,35.46,42027
42,32,287,131,45.64,156,54.36,42032
42,33,339,208,61.36,131,38.64,42033
42,39,292,169,57.88,123,42.12,42039
42,40,90,53,58.89,37,41.11,42040
42,42,364,220,60.44,144,39.56,42042
