ward,precinct,total,Gregory Harris,Gregory Harris Percent,precinct_id
14,3,0,0,0.0,14003
33,18,115,115,100.0,33018
39,13,6,6,100.0,39013
39,22,149,149,100.0,39022
39,30,74,74,100.0,39030
40,1,199,199,100.0,40001
40,2,240,240,100.0,40002
40,3,299,299,100.0,40003
40,4,21,21,100.0,40004
40,5,277,277,100.0,40005
40,6,316,316,100.0,40006
40,7,290,290,100.0,40007
40,8,352,352,100.0,40008
40,9,220,220,100.0,40009
40,10,81,81,100.0,40010
40,11,287,287,100.0,40011
40,12,189,189,100.0,40012
40,13,382,382,100.0,40013
40,14,172,172,100.0,40014
40,15,224,224,100.0,40015
40,16,351,351,100.0,40016
40,17,220,220,100.0,40017
40,18,190,190,100.0,40018
40,19,304,304,100.0,40019
40,20,223,223,100.0,40020
40,21,331,331,100.0,40021
40,22,273,273,100.0,40022
40,23,359,359,100.0,40023
40,24,170,170,100.0,40024
40,25,354,354,100.0,40025
40,26,344,344,100.0,40026
40,27,345,345,100.0,40027
40,29,276,276,100.0,40029
40,30,254,254,100.0,40030
40,31,331,331,100.0,40031
40,32,322,322,100.0,40032
40,33,285,285,100.0,40033
40,34,211,211,100.0,40034
40,35,187,187,100.0,40035
40,36,259,259,100.0,40036
40,37,273,273,100.0,40037
40,38,320,320,100.0,40038
40,39,28,28,100.0,40039
46,1,296,296,100.0,46001
46,2,261,261,100.0,46002
46,4,302,302,100.0,46004
46,6,251,251,100.0,46006
46,8,196,196,100.0,46008
46,12,269,269,100.0,46012
46,14,349,349,100.0,46014
46,16,309,309,100.0,46016
46,20,266,266,100.0,46020
46,21,206,206,100.0,46021
46,22,199,199,100.0,46022
46,23,248,248,100.0,46023
46,25,254,254,100.0,46025
46,26,128,128,100.0,46026
46,29,20,20,100.0,46029
46,32,294,294,100.0,46032
46,37,187,187,100.0,46037
46,40,273,273,100.0,46040
47,5,253,253,100.0,47005
47,10,354,354,100.0,47010
47,15,356,356,100.0,47015
47,19,364,364,100.0,47019
47,20,303,303,100.0,47020
47,22,356,356,100.0,47022
47,23,355,355,100.0,47023
47,26,322,322,100.0,47026
47,28,296,296,100.0,47028
47,30,320,320,100.0,47030
47,31,310,310,100.0,47031
47,32,338,338,100.0,47032
47,34,366,366,100.0,47034
47,36,337,337,100.0,47036
47,37,321,321,100.0,47037
47,38,309,309,100.0,47038
47,39,8,8,100.0,47039
47,41,293,293,100.0,47041
47,42,261,261,100.0,47042
47,45,318,318,100.0,47045
48,4,254,254,100.0,48004
48,7,4,4,100.0,48007
48,14,0,0,0.0,48014
48,17,323,323,100.0,48017
48,20,230,230,100.0,48020
48,21,355,355,100.0,48021
48,23,330,330,100.0,48023
48,24,298,298,100.0,48024
48,35,233,233,100.0,48035
48,38,54,54,100.0,48038
