ward,precinct,total,Abbey Fishman Romanek,Abbey Fishman Romanek Percent,precinct_id
39,13,5,5,100.0,39013
39,18,22,22,100.0,39018
39,32,99,99,100.0,39032
39,36,5,5,100.0,39036
40,9,169,169,100.0,40009
40,10,45,45,100.0,40010
40,18,119,119,100.0,40018
40,27,271,271,100.0,40027
40,28,202,202,100.0,40028
40,35,152,152,100.0,40035
40,37,209,209,100.0,40037
41,6,110,110,100.0,41006
41,9,191,191,100.0,41009
41,14,83,83,100.0,41014
41,19,220,220,100.0,41019
41,47,108,108,100.0,41047
48,13,339,339,100.0,48013
48,15,155,155,100.0,48015
48,22,257,257,100.0,48022
48,27,233,233,100.0,48027
48,31,147,147,100.0,48031
48,32,133,133,100.0,48032
48,33,159,159,100.0,48033
48,46,168,168,100.0,48046
49,1,179,179,100.0,49001
49,3,272,272,100.0,49003
49,4,286,286,100.0,49004
49,5,260,260,100.0,49005
49,6,240,240,100.0,49006
49,7,230,230,100.0,49007
49,8,218,218,100.0,49008
49,9,263,263,100.0,49009
49,10,251,251,100.0,49010
49,11,319,319,100.0,49011
49,12,323,323,100.0,49012
49,13,309,309,100.0,49013
49,14,209,209,100.0,49014
49,15,188,188,100.0,49015
49,16,267,267,100.0,49016
49,18,332,332,100.0,49018
49,19,252,252,100.0,49019
49,20,365,365,100.0,49020
49,21,157,157,100.0,49021
49,22,279,279,100.0,49022
49,23,300,300,100.0,49023
49,24,212,212,100.0,49024
49,25,279,279,100.0,49025
49,26,276,276,100.0,49026
49,27,288,288,100.0,49027
49,28,298,298,100.0,49028
49,29,287,287,100.0,49029
49,30,289,289,100.0,49030
49,31,204,204,100.0,49031
49,32,254,254,100.0,49032
49,33,216,216,100.0,49033
50,1,167,167,100.0,50001
50,2,128,128,100.0,50002
50,3,156,156,100.0,50003
50,4,211,211,100.0,50004
50,5,133,133,100.0,50005
50,6,223,223,100.0,50006
50,7,240,240,100.0,50007
50,8,175,175,100.0,50008
50,9,157,157,100.0,50009
50,10,144,144,100.0,50010
50,11,101,101,100.0,50011
50,12,97,97,100.0,50012
50,13,193,193,100.0,50013
50,14,61,61,100.0,50014
50,15,231,231,100.0,50015
50,16,62,62,100.0,50016
50,17,111,111,100.0,50017
50,18,55,55,100.0,50018
50,19,120,120,100.0,50019
50,20,183,183,100.0,50020
50,21,151,151,100.0,50021
50,22,120,120,100.0,50022
50,24,104,104,100.0,50024
50,25,166,166,100.0,50025
50,26,159,159,100.0,50026
50,27,52,52,100.0,50027
50,28,172,172,100.0,50028
50,29,151,151,100.0,50029
50,30,95,95,100.0,50030
50,31,151,151,100.0,50031
50,32,203,203,100.0,50032
50,33,136,136,100.0,50033
50,34,265,265,100.0,50034
50,35,247,247,100.0,50035
50,36,171,171,100.0,50036
50,37,199,199,100.0,50037
50,38,100,100,100.0,50038
50,39,113,113,100.0,50039
50,40,164,164,100.0,50040
