ward,precinct,total,Richard R. Boykin,Richard R. Boykin Percent,precinct_id
1,12,67,67,100.0,01012
1,32,197,197,100.0,01032
26,28,184,184,100.0,26028
26,32,169,169,100.0,26032
27,3,152,152,100.0,27003
27,4,153,153,100.0,27004
27,5,171,171,100.0,27005
27,8,207,207,100.0,27008
27,15,213,213,100.0,27015
27,19,155,155,100.0,27019
27,22,174,174,100.0,27022
27,23,204,204,100.0,27023
27,24,169,169,100.0,27024
27,26,201,201,100.0,27026
27,29,195,195,100.0,27029
27,31,228,228,100.0,27031
27,34,247,247,100.0,27034
27,36,185,185,100.0,27036
27,43,16,16,100.0,27043
27,44,233,233,100.0,27044
28,1,229,229,100.0,28001
28,2,204,204,100.0,28002
28,3,194,194,100.0,28003
28,7,272,272,100.0,28007
28,9,221,221,100.0,28009
28,12,289,289,100.0,28012
28,13,254,254,100.0,28013
28,14,177,177,100.0,28014
28,15,93,93,100.0,28015
28,17,200,200,100.0,28017
28,20,216,216,100.0,28020
28,21,237,237,100.0,28021
28,22,223,223,100.0,28022
28,23,304,304,100.0,28023
28,24,251,251,100.0,28024
28,25,334,334,100.0,28025
28,26,310,310,100.0,28026
28,31,361,361,100.0,28031
28,33,282,282,100.0,28033
28,36,0,0,0.0,28036
28,37,377,377,100.0,28037
28,38,143,143,100.0,28038
28,39,196,196,100.0,28039
28,40,298,298,100.0,28040
28,41,212,212,100.0,28041
28,42,287,287,100.0,28042
28,43,330,330,100.0,28043
28,44,202,202,100.0,28044
29,1,310,310,100.0,29001
29,2,307,307,100.0,29002
29,3,340,340,100.0,29003
29,4,376,376,100.0,29004
29,5,292,292,100.0,29005
29,6,41,41,100.0,29006
29,7,276,276,100.0,29007
29,8,243,243,100.0,29008
29,9,312,312,100.0,29009
29,10,343,343,100.0,29010
29,11,218,218,100.0,29011
29,12,365,365,100.0,29012
29,13,329,329,100.0,29013
29,14,324,324,100.0,29014
29,15,359,359,100.0,29015
29,16,361,361,100.0,29016
29,17,276,276,100.0,29017
29,18,294,294,100.0,29018
29,19,348,348,100.0,29019
29,20,369,369,100.0,29020
29,21,357,357,100.0,29021
29,22,244,244,100.0,29022
29,23,238,238,100.0,29023
29,24,288,288,100.0,29024
29,25,362,362,100.0,29025
29,26,307,307,100.0,29026
29,27,254,254,100.0,29027
29,28,420,420,100.0,29028
29,29,202,202,100.0,29029
29,30,318,318,100.0,29030
29,31,176,176,100.0,29031
29,32,181,181,100.0,29032
29,33,240,240,100.0,29033
29,34,178,178,100.0,29034
29,35,227,227,100.0,29035
29,36,299,299,100.0,29036
29,37,292,292,100.0,29037
29,38,203,203,100.0,29038
29,39,191,191,100.0,29039
29,40,352,352,100.0,29040
29,41,280,280,100.0,29041
29,42,324,324,100.0,29042
29,43,359,359,100.0,29043
29,44,402,402,100.0,29044
36,1,192,192,100.0,36001
36,3,178,178,100.0,36003
36,4,118,118,100.0,36004
36,7,240,240,100.0,36007
36,10,213,213,100.0,36010
36,19,213,213,100.0,36019
36,24,22,22,100.0,36024
36,26,163,163,100.0,36026
36,27,165,165,100.0,36027
36,28,171,171,100.0,36028
36,29,221,221,100.0,36029
37,1,282,282,100.0,37001
37,2,174,174,100.0,37002
37,3,207,207,100.0,37003
37,4,220,220,100.0,37004
37,5,322,322,100.0,37005
37,6,272,272,100.0,37006
37,7,180,180,100.0,37007
37,8,190,190,100.0,37008
37,9,280,280,100.0,37009
37,10,281,281,100.0,37010
37,11,206,206,100.0,37011
37,12,180,180,100.0,37012
37,13,209,209,100.0,37013
37,14,263,263,100.0,37014
37,15,308,308,100.0,37015
37,16,331,331,100.0,37016
37,17,263,263,100.0,37017
37,18,276,276,100.0,37018
37,19,182,182,100.0,37019
37,20,260,260,100.0,37020
37,21,222,222,100.0,37021
37,22,242,242,100.0,37022
37,23,303,303,100.0,37023
37,24,276,276,100.0,37024
37,25,276,276,100.0,37025
37,26,332,332,100.0,37026
37,27,294,294,100.0,37027
37,28,205,205,100.0,37028
37,29,277,277,100.0,37029
37,30,307,307,100.0,37030
37,31,297,297,100.0,37031
37,32,260,260,100.0,37032
37,33,305,305,100.0,37033
37,34,268,268,100.0,37034
37,35,292,292,100.0,37035
37,36,288,288,100.0,37036
37,37,317,317,100.0,37037
37,38,292,292,100.0,37038
37,39,276,276,100.0,37039
37,40,298,298,100.0,37040
37,41,257,257,100.0,37041
