ward,precinct,total,Thaddeus Jones,Thaddeus Jones Percent,precinct_id
9,3,263,263,100.0,09003
9,4,17,17,100.0,09004
9,7,215,215,100.0,09007
9,11,229,229,100.0,09011
9,15,290,290,100.0,09015
9,16,269,269,100.0,09016
9,18,195,195,100.0,09018
9,26,282,282,100.0,09026
9,28,93,93,100.0,09028
9,31,6,6,100.0,09031
9,33,227,227,100.0,09033
9,41,253,253,100.0,09041
9,44,217,217,100.0,09044
9,45,245,245,100.0,09045
