ward,precinct,total,Arthur Turner,Arthur Turner Percent,precinct_id
2,9,211,211,100.0,02009
2,12,274,274,100.0,02012
2,20,8,8,100.0,02020
2,41,62,62,100.0,02041
2,46,153,153,100.0,02046
11,2,51,51,100.0,11002
11,6,287,287,100.0,11006
11,7,250,250,100.0,11007
11,33,244,244,100.0,11033
12,10,22,22,100.0,12010
22,19,124,124,100.0,22019
22,21,323,323,100.0,22021
24,1,255,255,100.0,24001
24,2,272,272,100.0,24002
24,3,312,312,100.0,24003
24,4,201,201,100.0,24004
24,5,167,167,100.0,24005
24,6,282,282,100.0,24006
24,7,105,105,100.0,24007
24,8,163,163,100.0,24008
24,9,242,242,100.0,24009
24,10,138,138,100.0,24010
24,11,292,292,100.0,24011
24,12,180,180,100.0,24012
24,13,159,159,100.0,24013
24,14,261,261,100.0,24014
24,15,155,155,100.0,24015
24,16,1,1,100.0,24016
24,17,143,143,100.0,24017
24,18,275,275,100.0,24018
24,20,44,44,100.0,24020
24,21,140,140,100.0,24021
24,22,328,328,100.0,24022
24,23,232,232,100.0,24023
24,24,362,362,100.0,24024
24,25,227,227,100.0,24025
24,26,364,364,100.0,24026
24,27,294,294,100.0,24027
24,28,209,209,100.0,24028
24,29,216,216,100.0,24029
24,30,141,141,100.0,24030
24,31,298,298,100.0,24031
24,33,149,149,100.0,24033
24,34,235,235,100.0,24034
24,35,255,255,100.0,24035
24,36,365,365,100.0,24036
24,37,152,152,100.0,24037
24,38,212,212,100.0,24038
24,39,266,266,100.0,24039
24,40,245,245,100.0,24040
25,3,260,260,100.0,25003
25,4,254,254,100.0,25004
25,10,256,256,100.0,25010
25,16,260,260,100.0,25016
25,20,264,264,100.0,25020
25,25,223,223,100.0,25025
25,27,126,126,100.0,25027
25,29,276,276,100.0,25029
25,31,272,272,100.0,25031
27,2,284,284,100.0,27002
27,6,183,183,100.0,27006
27,9,104,104,100.0,27009
27,10,246,246,100.0,27010
27,11,73,73,100.0,27011
27,14,46,46,100.0,27014
27,16,122,122,100.0,27016
27,18,253,253,100.0,27018
27,20,241,241,100.0,27020
27,21,202,202,100.0,27021
27,25,55,55,100.0,27025
27,28,107,107,100.0,27028
27,33,84,84,100.0,27033
27,37,260,260,100.0,27037
27,38,234,234,100.0,27038
27,41,264,264,100.0,27041
27,42,162,162,100.0,27042
27,45,209,209,100.0,27045
27,47,192,192,100.0,27047
27,48,304,304,100.0,27048
28,4,170,170,100.0,28004
28,5,166,166,100.0,28005
28,6,135,135,100.0,28006
28,8,147,147,100.0,28008
28,10,219,219,100.0,28010
28,11,349,349,100.0,28011
28,18,202,202,100.0,28018
28,19,178,178,100.0,28019
28,27,183,183,100.0,28027
28,28,229,229,100.0,28028
28,29,118,118,100.0,28029
28,32,2,2,100.0,28032
28,34,358,358,100.0,28034
28,35,326,326,100.0,28035
28,45,175,175,100.0,28045
28,46,311,311,100.0,28046
42,3,242,242,100.0,42003
42,9,1,1,100.0,42009
42,12,53,53,100.0,42012
42,16,251,251,100.0,42016
42,18,0,0,0.0,42018
42,21,81,81,100.0,42021
42,36,25,25,100.0,42036
42,41,72,72,100.0,42041
43,1,170,170,100.0,43001
43,3,270,270,100.0,43003
43,5,103,103,100.0,43005
43,45,192,192,100.0,43045
