ward,precinct,total,Deborah Sims,Deborah Sims Percent,precinct_id
4,23,0,0,0.0,04023
9,1,192,192,100.0,09001
9,2,180,180,100.0,09002
9,3,241,241,100.0,09003
9,4,245,245,100.0,09004
9,5,301,301,100.0,09005
9,6,324,324,100.0,09006
9,7,218,218,100.0,09007
9,9,339,339,100.0,09009
9,11,229,229,100.0,09011
9,13,361,361,100.0,09013
9,14,396,396,100.0,09014
9,15,291,291,100.0,09015
9,16,283,283,100.0,09016
9,17,48,48,100.0,09017
9,18,213,213,100.0,09018
9,19,290,290,100.0,09019
9,22,313,313,100.0,09022
9,26,281,281,100.0,09026
9,28,154,154,100.0,09028
9,29,268,268,100.0,09029
9,31,230,230,100.0,09031
9,32,300,300,100.0,09032
9,33,238,238,100.0,09033
9,34,260,260,100.0,09034
9,35,305,305,100.0,09035
9,37,21,21,100.0,09037
9,38,314,314,100.0,09038
9,39,324,324,100.0,09039
9,40,339,339,100.0,09040
9,41,266,266,100.0,09041
9,43,346,346,100.0,09043
9,44,280,280,100.0,09044
9,45,247,247,100.0,09045
9,46,204,204,100.0,09046
34,1,365,365,100.0,34001
34,2,303,303,100.0,34002
34,3,342,342,100.0,34003
34,4,283,283,100.0,34004
34,5,302,302,100.0,34005
34,6,403,403,100.0,34006
34,7,368,368,100.0,34007
34,8,267,267,100.0,34008
34,9,273,273,100.0,34009
34,10,335,335,100.0,34010
34,11,268,268,100.0,34011
34,12,369,369,100.0,34012
34,13,334,334,100.0,34013
34,14,258,258,100.0,34014
34,15,251,251,100.0,34015
34,16,264,264,100.0,34016
34,17,402,402,100.0,34017
34,18,289,289,100.0,34018
34,19,336,336,100.0,34019
34,20,383,383,100.0,34020
34,21,414,414,100.0,34021
34,22,325,325,100.0,34022
34,23,267,267,100.0,34023
34,24,307,307,100.0,34024
34,25,360,360,100.0,34025
34,26,356,356,100.0,34026
34,27,275,275,100.0,34027
34,28,219,219,100.0,34028
34,29,251,251,100.0,34029
34,30,337,337,100.0,34030
34,31,271,271,100.0,34031
34,32,322,322,100.0,34032
34,33,298,298,100.0,34033
34,34,351,351,100.0,34034
34,35,342,342,100.0,34035
34,36,306,306,100.0,34036
34,37,203,203,100.0,34037
34,38,206,206,100.0,34038
34,39,255,255,100.0,34039
34,40,370,370,100.0,34040
34,41,233,233,100.0,34041
34,42,318,318,100.0,34042
34,43,305,305,100.0,34043
34,44,318,318,100.0,34044
34,45,336,336,100.0,34045
34,46,215,215,100.0,34046
34,47,299,299,100.0,34047
34,48,355,355,100.0,34048
34,49,389,389,100.0,34049
34,50,307,307,100.0,34050
34,51,340,340,100.0,34051
34,52,274,274,100.0,34052
34,53,251,251,100.0,34053
