ward,precinct,total,John Fritchey,John Fritchey Percent,precinct_id
1,5,113,113,100.0,01005
1,8,198,198,100.0,01008
1,11,232,232,100.0,01011
1,14,191,191,100.0,01014
1,21,213,213,100.0,01021
1,28,112,112,100.0,01028
1,38,125,125,100.0,01038
1,42,12,12,100.0,01042
2,1,151,151,100.0,02001
2,6,223,223,100.0,02006
2,7,198,198,100.0,02007
2,8,218,218,100.0,02008
2,15,223,223,100.0,02015
2,16,175,175,100.0,02016
2,20,239,239,100.0,02020
2,22,280,280,100.0,02022
2,24,235,235,100.0,02024
2,25,233,233,100.0,02025
2,26,238,238,100.0,02026
2,27,81,81,100.0,02027
2,32,188,188,100.0,02032
2,39,153,153,100.0,02039
2,40,219,219,100.0,02040
2,41,183,183,100.0,02041
2,42,136,136,100.0,02042
2,43,292,292,100.0,02043
2,45,276,276,100.0,02045
27,1,209,209,100.0,27001
27,11,125,125,100.0,27011
27,28,101,101,100.0,27028
27,35,224,224,100.0,27035
27,37,5,5,100.0,27037
30,1,199,199,100.0,30001
30,4,194,194,100.0,30004
30,9,124,124,100.0,30009
30,17,222,222,100.0,30017
30,21,98,98,100.0,30021
32,1,185,185,100.0,32001
32,2,191,191,100.0,32002
32,4,223,223,100.0,32004
32,5,77,77,100.0,32005
32,6,231,231,100.0,32006
32,7,263,263,100.0,32007
32,8,239,239,100.0,32008
32,9,253,253,100.0,32009
32,10,276,276,100.0,32010
32,13,252,252,100.0,32013
32,15,236,236,100.0,32015
32,18,249,249,100.0,32018
32,19,234,234,100.0,32019
32,21,272,272,100.0,32021
32,23,214,214,100.0,32023
32,24,178,178,100.0,32024
32,25,249,249,100.0,32025
32,27,223,223,100.0,32027
32,30,249,249,100.0,32030
32,31,239,239,100.0,32031
32,32,231,231,100.0,32032
32,33,212,212,100.0,32033
32,34,206,206,100.0,32034
32,35,215,215,100.0,32035
32,36,251,251,100.0,32036
32,37,176,176,100.0,32037
32,38,218,218,100.0,32038
32,39,269,269,100.0,32039
32,40,256,256,100.0,32040
32,41,259,259,100.0,32041
32,42,247,247,100.0,32042
33,2,273,273,100.0,33002
33,7,275,275,100.0,33007
33,8,267,267,100.0,33008
33,9,220,220,100.0,33009
33,10,293,293,100.0,33010
33,18,315,315,100.0,33018
33,22,257,257,100.0,33022
33,23,292,292,100.0,33023
33,24,427,427,100.0,33024
33,25,356,356,100.0,33025
36,14,216,216,100.0,36014
36,15,206,206,100.0,36015
36,16,197,197,100.0,36016
36,17,208,208,100.0,36017
36,18,178,178,100.0,36018
36,20,191,191,100.0,36020
36,24,161,161,100.0,36024
36,30,193,193,100.0,36030
38,1,201,201,100.0,38001
38,8,206,206,100.0,38008
38,10,193,193,100.0,38010
38,11,230,230,100.0,38011
38,14,243,243,100.0,38014
38,15,191,191,100.0,38015
38,18,241,241,100.0,38018
38,19,42,42,100.0,38019
38,21,184,184,100.0,38021
38,22,205,205,100.0,38022
38,23,282,282,100.0,38023
38,25,184,184,100.0,38025
38,26,124,124,100.0,38026
38,31,223,223,100.0,38031
38,32,202,202,100.0,38032
38,33,201,201,100.0,38033
38,34,195,195,100.0,38034
38,35,210,210,100.0,38035
38,36,205,205,100.0,38036
38,37,196,196,100.0,38037
38,39,271,271,100.0,38039
38,40,239,239,100.0,38040
38,41,243,243,100.0,38041
39,3,282,282,100.0,39003
39,4,0,0,0.0,39004
39,5,257,257,100.0,39005
39,6,197,197,100.0,39006
39,7,207,207,100.0,39007
39,8,239,239,100.0,39008
39,9,231,231,100.0,39009
39,10,122,122,100.0,39010
39,11,227,227,100.0,39011
39,12,286,286,100.0,39012
39,14,198,198,100.0,39014
39,17,279,279,100.0,39017
39,19,228,228,100.0,39019
39,22,114,114,100.0,39022
39,25,168,168,100.0,39025
39,28,281,281,100.0,39028
39,29,120,120,100.0,39029
39,30,273,273,100.0,39030
39,31,202,202,100.0,39031
39,33,244,244,100.0,39033
39,34,252,252,100.0,39034
39,35,217,217,100.0,39035
39,38,167,167,100.0,39038
39,39,61,61,100.0,39039
40,1,191,191,100.0,40001
40,3,288,288,100.0,40003
40,5,268,268,100.0,40005
40,6,305,305,100.0,40006
40,7,288,288,100.0,40007
40,8,353,353,100.0,40008
40,11,285,285,100.0,40011
40,12,179,179,100.0,40012
40,13,3,3,100.0,40013
40,14,164,164,100.0,40014
40,16,162,162,100.0,40016
40,17,227,227,100.0,40017
40,19,134,134,100.0,40019
40,20,217,217,100.0,40020
40,21,56,56,100.0,40021
40,24,105,105,100.0,40024
40,30,40,40,100.0,40030
40,34,215,215,100.0,40034
40,38,315,315,100.0,40038
