ward,precinct,total,Larry Suffredin,Larry Suffredin Percent,precinct_id
49,1,234,234,100.0,49001
49,3,322,322,100.0,49003
49,5,308,308,100.0,49005
49,6,286,286,100.0,49006
49,7,268,268,100.0,49007
49,8,257,257,100.0,49008
49,9,341,341,100.0,49009
49,10,312,312,100.0,49010
49,11,384,384,100.0,49011
49,12,367,367,100.0,49012
49,13,383,383,100.0,49013
49,14,278,278,100.0,49014
49,15,227,227,100.0,49015
49,16,333,333,100.0,49016
49,17,237,237,100.0,49017
49,19,281,281,100.0,49019
49,20,427,427,100.0,49020
49,21,202,202,100.0,49021
49,22,354,354,100.0,49022
49,23,340,340,100.0,49023
49,24,275,275,100.0,49024
49,25,358,358,100.0,49025
49,26,320,320,100.0,49026
49,27,339,339,100.0,49027
49,29,353,353,100.0,49029
49,30,344,344,100.0,49030
49,31,264,264,100.0,49031
49,32,308,308,100.0,49032
49,33,274,274,100.0,49033
50,1,225,225,100.0,50001
50,2,146,146,100.0,50002
50,3,211,211,100.0,50003
50,4,276,276,100.0,50004
50,5,181,181,100.0,50005
50,6,286,286,100.0,50006
50,7,324,324,100.0,50007
50,8,230,230,100.0,50008
50,9,199,199,100.0,50009
50,10,196,196,100.0,50010
50,11,154,154,100.0,50011
50,12,121,121,100.0,50012
50,13,235,235,100.0,50013
50,14,75,75,100.0,50014
50,15,299,299,100.0,50015
50,16,82,82,100.0,50016
50,18,68,68,100.0,50018
50,19,140,140,100.0,50019
50,20,244,244,100.0,50020
50,21,195,195,100.0,50021
50,22,149,149,100.0,50022
50,27,73,73,100.0,50027
50,28,228,228,100.0,50028
50,31,56,56,100.0,50031
50,32,70,70,100.0,50032
50,33,179,179,100.0,50033
50,34,326,326,100.0,50034
50,35,297,297,100.0,50035
50,36,227,227,100.0,50036
50,37,249,249,100.0,50037
50,38,122,122,100.0,50038
50,40,231,231,100.0,50040
