ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",Mark Ekhoff,Mark Ekhoff Percent,precinct_id
6,1,390,383,98.21,7,1.79,06001
6,2,373,370,99.2,3,0.8,06002
6,3,381,373,97.9,8,2.1,06003
6,8,364,359,98.63,5,1.37,06008
6,13,280,271,96.79,9,3.21,06013
6,14,341,334,97.95,7,2.05,06014
6,16,373,366,98.12,7,1.88,06016
6,19,58,57,98.28,1,1.72,06019
6,29,386,380,98.45,6,1.55,06029
6,31,340,333,97.94,7,2.06,06031
6,34,344,335,97.38,9,2.62,06034
6,35,322,311,96.58,11,3.42,06035
6,36,391,386,98.72,5,1.28,06036
6,37,400,390,97.5,10,2.5,06037
6,38,354,347,98.02,7,1.98,06038
6,39,332,328,98.8,4,1.2,06039
6,41,358,350,97.77,8,2.23,06041
6,42,368,361,98.1,7,1.9,06042
6,43,306,302,98.69,4,1.31,06043
6,44,371,344,92.72,27,7.28,06044
6,45,365,357,97.81,8,2.19,06045
6,46,271,260,95.94,11,4.06,06046
8,15,42,41,97.62,1,2.38,08015
8,22,318,315,99.06,3,0.94,08022
8,26,117,115,98.29,2,1.71,08026
8,31,330,323,97.88,7,2.12,08031
8,32,287,282,98.26,5,1.74,08032
8,34,335,332,99.1,3,0.9,08034
8,39,365,360,98.63,5,1.37,08039
8,43,168,164,97.62,4,2.38,08043
8,45,127,124,97.64,3,2.36,08045
8,47,288,284,98.61,4,1.39,08047
8,54,24,22,91.67,2,8.33,08054
9,1,143,143,100.0,0,0.0,09001
9,7,5,4,80.0,1,20.0,09007
9,8,332,331,99.7,1,0.3,09008
9,9,290,285,98.28,5,1.72,09009
9,12,366,362,98.91,4,1.09,09012
9,13,281,275,97.86,6,2.14,09013
9,23,360,354,98.33,6,1.67,09023
9,24,362,358,98.9,4,1.1,09024
9,25,329,323,98.18,6,1.82,09025
9,28,68,63,92.65,5,7.35,09028
9,31,8,8,100.0,0,0.0,09031
9,36,306,301,98.37,5,1.63,09036
9,37,391,336,85.93,55,14.07,09037
9,38,270,262,97.04,8,2.96,09038
9,42,364,357,98.08,7,1.92,09042
9,43,141,139,98.58,2,1.42,09043
9,46,304,289,95.07,15,4.93,09046
9,47,381,375,98.43,6,1.57,09047
9,48,364,357,98.08,7,1.92,09048
9,49,352,344,97.73,8,2.27,09049
9,50,435,427,98.16,8,1.84,09050
9,51,328,321,97.87,7,2.13,09051
10,13,2,2,100.0,0,0.0,10013
10,16,1,0,0.0,1,100.0,10016
17,21,274,269,98.18,5,1.82,17021
21,31,254,248,97.64,6,2.36,21031
21,53,120,116,96.67,4,3.33,21053
