ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Jimmy Lee Tillman,Jimmy Lee Tillman Percent,precinct_id
3,2,51,48,94.12,3,5.88,03002
3,4,226,218,96.46,8,3.54,03004
3,7,369,351,95.12,18,4.88,03007
3,12,39,36,92.31,3,7.69,03012
3,18,185,164,88.65,21,11.35,03018
3,23,73,70,95.89,3,4.11,03023
3,29,0,0,0.0,0,0.0,03029
3,30,184,183,99.46,1,0.54,03030
3,31,20,18,90.0,2,10.0,03031
3,35,164,156,95.12,8,4.88,03035
3,38,380,372,97.89,8,2.11,03038
3,41,307,267,86.97,40,13.03,03041
4,1,430,370,86.05,60,13.95,04001
4,3,392,379,96.68,13,3.32,04003
4,4,37,33,89.19,4,10.81,04004
4,8,370,359,97.03,11,2.97,04008
4,9,540,531,98.33,9,1.67,04009
4,11,149,139,93.29,10,6.71,04011
4,12,435,409,94.02,26,5.98,04012
4,14,337,323,95.85,14,4.15,04014
4,15,376,362,96.28,14,3.72,04015
4,18,428,415,96.96,13,3.04,04018
4,19,431,421,97.68,10,2.32,04019
4,22,408,367,89.95,41,10.05,04022
4,23,500,461,92.2,39,7.8,04023
4,24,384,348,90.63,36,9.38,04024
4,26,449,433,96.44,16,3.56,04026
4,27,397,356,89.67,41,10.33,04027
4,28,103,95,92.23,8,7.77,04028
4,29,255,250,98.04,5,1.96,04029
4,30,485,477,98.35,8,1.65,04030
4,31,468,438,93.59,30,6.41,04031
4,32,414,399,96.38,15,3.62,04032
4,33,470,444,94.47,26,5.53,04033
4,36,212,203,95.75,9,4.25,04036
4,38,491,474,96.54,17,3.46,04038
5,2,357,348,97.48,9,2.52,05002
5,3,373,340,91.15,33,8.85,05003
5,4,401,381,95.01,20,4.99,05004
5,5,414,404,97.58,10,2.42,05005
5,7,362,336,92.82,26,7.18,05007
5,8,413,350,84.75,63,15.25,05008
5,9,422,399,94.55,23,5.45,05009
5,10,70,69,98.57,1,1.43,05010
5,11,162,139,85.8,23,14.2,05011
5,12,324,313,96.6,11,3.4,05012
5,13,291,286,98.28,5,1.72,05013
5,15,362,337,93.09,25,6.91,05015
5,16,396,382,96.46,14,3.54,05016
5,17,354,347,98.02,7,1.98,05017
5,18,187,181,96.79,6,3.21,05018
5,19,385,324,84.16,61,15.84,05019
5,20,434,413,95.16,21,4.84,05020
5,21,351,319,90.88,32,9.12,05021
5,22,428,364,85.05,64,14.95,05022
5,24,378,341,90.21,37,9.79,05024
5,25,87,83,95.4,4,4.6,05025
5,27,301,243,80.73,58,19.27,05027
5,30,314,303,96.5,11,3.5,05030
5,33,448,440,98.21,8,1.79,05033
