ward,precinct,registered,ballots,turnout,precinct_id
1,1,703,299,42.53,01001
1,2,641,267,41.65,01002
1,3,760,322,42.37,01003
1,4,721,316,43.83,01004
1,5,716,306,42.74,01005
1,6,696,367,52.73,01006
1,7,442,204,46.15,01007
1,8,645,322,49.92,01008
1,9,506,279,55.14,01009
1,10,733,306,41.75,01010
1,11,705,306,43.4,01011
1,12,821,341,41.53,01012
1,13,326,128,39.26,01013
1,14,657,359,54.64,01014
1,15,633,284,44.87,01015
1,16,526,231,43.92,01016
1,17,619,265,42.81,01017
1,18,739,321,43.44,01018
1,19,867,376,43.37,01019
1,20,583,262,44.94,01020
1,21,734,305,41.55,01021
1,22,487,163,33.47,01022
1,23,880,422,47.95,01023
1,24,671,243,36.21,01024
1,25,667,208,31.18,01025
1,26,613,202,32.95,01026
1,27,724,274,37.85,01027
1,28,298,168,56.38,01028
1,29,636,292,45.91,01029
1,30,764,321,42.02,01030
1,31,710,303,42.68,01031
1,32,639,287,44.91,01032
1,33,771,314,40.73,01033
1,34,557,246,44.17,01034
1,35,756,324,42.86,01035
1,36,660,328,49.7,01036
1,37,645,324,50.23,01037
1,38,617,286,46.35,01038
1,39,653,249,38.13,01039
1,40,666,312,46.85,01040
1,41,418,208,49.76,01041
1,42,214,92,42.99,01042
1,43,488,213,43.65,01043
1,44,511,189,36.99,01044
2,1,727,294,40.44,02001
2,2,530,360,67.92,02002
2,3,699,330,47.21,02003
2,4,690,303,43.91,02004
2,5,762,342,44.88,02005
2,6,709,307,43.3,02006
2,7,874,296,33.87,02007
2,8,742,314,42.32,02008
2,9,643,330,51.32,02009
2,10,651,451,69.28,02010
2,11,595,395,66.39,02011
2,12,701,402,57.35,02012
2,13,628,454,72.29,02013
2,14,717,364,50.77,02014
2,15,673,324,48.14,02015
2,16,673,268,39.82,02016
2,17,809,397,49.07,02017
2,18,572,315,55.07,02018
2,19,514,380,73.93,02019
2,20,793,354,44.64,02020
2,21,700,320,45.71,02021
2,22,693,410,59.16,02022
2,23,512,352,68.75,02023
2,24,644,344,53.42,02024
2,25,686,334,48.69,02025
2,26,673,358,53.19,02026
2,27,622,347,55.79,02027
2,28,780,406,52.05,02028
2,29,738,377,51.08,02029
2,30,614,333,54.23,02030
