ward,precinct,total,Robert Martwick,Robert Martwick Percent,precinct_id
29,29,172,172,100.0,29029
29,31,80,80,100.0,29031
29,32,189,189,100.0,29032
38,1,207,207,100.0,38001
38,3,218,218,100.0,38003
38,5,229,229,100.0,38005
38,6,207,207,100.0,38006
38,7,153,153,100.0,38007
38,9,261,261,100.0,38009
38,11,232,232,100.0,38011
38,13,222,222,100.0,38013
38,14,254,254,100.0,38014
38,15,192,192,100.0,38015
38,17,200,200,100.0,38017
38,18,253,253,100.0,38018
38,19,260,260,100.0,38019
38,21,192,192,100.0,38021
38,22,213,213,100.0,38022
38,24,265,265,100.0,38024
38,25,182,182,100.0,38025
38,26,253,253,100.0,38026
38,27,232,232,100.0,38027
38,29,195,195,100.0,38029
38,30,209,209,100.0,38030
38,31,232,232,100.0,38031
38,32,197,197,100.0,38032
38,33,200,200,100.0,38033
38,36,213,213,100.0,38036
38,38,204,204,100.0,38038
38,40,249,249,100.0,38040
38,41,258,258,100.0,38041
39,20,291,291,100.0,39020
39,21,235,235,100.0,39021
39,23,264,264,100.0,39023
39,24,298,298,100.0,39024
39,41,0,0,0.0,39041
41,3,113,113,100.0,41003
41,12,256,256,100.0,41012
41,24,229,229,100.0,41024
41,30,280,280,100.0,41030
41,38,248,248,100.0,41038
45,12,225,225,100.0,45012
45,13,215,215,100.0,45013
45,14,301,301,100.0,45014
45,15,335,335,100.0,45015
45,16,216,216,100.0,45016
45,17,265,265,100.0,45017
45,18,211,211,100.0,45018
45,19,123,123,100.0,45019
45,20,151,151,100.0,45020
45,21,219,219,100.0,45021
45,22,222,222,100.0,45022
45,23,228,228,100.0,45023
45,24,208,208,100.0,45024
45,25,156,156,100.0,45025
45,26,133,133,100.0,45026
45,27,166,166,100.0,45027
45,28,205,205,100.0,45028
45,29,152,152,100.0,45029
45,30,203,203,100.0,45030
45,31,192,192,100.0,45031
45,32,41,41,100.0,45032
45,33,149,149,100.0,45033
45,34,252,252,100.0,45034
45,35,270,270,100.0,45035
45,36,268,268,100.0,45036
45,37,212,212,100.0,45037
45,38,209,209,100.0,45038
45,39,223,223,100.0,45039
45,40,239,239,100.0,45040
45,41,209,209,100.0,45041
45,42,258,258,100.0,45042
45,43,244,244,100.0,45043
45,44,254,254,100.0,45044
45,45,161,161,100.0,45045
45,46,174,174,100.0,45046
45,47,175,175,100.0,45047
45,48,172,172,100.0,45048
