ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert L. Bumpers,Robert L. Bumpers Percent,precinct_id
1,12,322,233,72.36,89,27.64,01012
1,14,77,68,88.31,9,11.69,01014
1,15,13,11,84.62,2,15.38,01015
1,32,101,81,80.2,20,19.8,01032
2,2,337,224,66.47,113,33.53,02002
2,9,315,177,56.19,138,43.81,02009
2,10,424,247,58.25,177,41.75,02010
2,11,373,223,59.79,150,40.21,02011
2,12,232,206,88.79,26,11.21,02012
2,13,429,289,67.37,140,32.63,02013
2,14,286,227,79.37,59,20.63,02014
2,17,376,284,75.53,92,24.47,02017
2,18,300,193,64.33,107,35.67,02018
2,19,347,213,61.38,134,38.62,02019
2,20,139,88,63.31,51,36.69,02020
2,21,7,6,85.71,1,14.29,02021
2,23,333,192,57.66,141,42.34,02023
2,27,323,186,57.59,137,42.41,02027
2,28,124,59,47.58,65,52.42,02028
2,29,363,212,58.4,151,41.6,02029
2,32,281,170,60.5,111,39.5,02032
2,34,352,216,61.36,136,38.64,02034
2,35,332,201,60.54,131,39.46,02035
2,36,308,188,61.04,120,38.96,02036
2,38,306,174,56.86,132,43.14,02038
2,39,265,137,51.7,128,48.3,02039
2,40,302,183,60.6,119,39.4,02040
2,41,259,152,58.69,107,41.31,02041
2,42,330,237,71.82,93,28.18,02042
2,43,408,239,58.58,169,41.42,02043
2,45,392,276,70.41,116,29.59,02045
2,46,230,137,59.57,93,40.43,02046
3,1,445,438,98.43,7,1.57,03001
3,2,467,449,96.15,18,3.85,03002
3,3,373,349,93.57,24,6.43,03003
3,4,214,208,97.2,6,2.8,03004
3,5,296,294,99.32,2,0.68,03005
3,6,390,254,65.13,136,34.87,03006
3,8,324,318,98.15,6,1.85,03008
3,9,401,379,94.51,22,5.49,03009
3,10,257,254,98.83,3,1.17,03010
3,11,395,387,97.97,8,2.03,03011
3,12,385,378,98.18,7,1.82,03012
3,13,463,353,76.24,110,23.76,03013
3,14,337,290,86.05,47,13.95,03014
3,15,361,348,96.4,13,3.6,03015
3,16,371,362,97.57,9,2.43,03016
3,17,366,313,85.52,53,14.48,03017
3,18,382,371,97.12,11,2.88,03018
3,19,408,270,66.18,138,33.82,03019
3,20,411,406,98.78,5,1.22,03020
3,21,459,350,76.25,109,23.75,03021
3,22,373,280,75.07,93,24.93,03022
3,23,295,290,98.31,5,1.69,03023
3,24,332,323,97.29,9,2.71,03024
3,25,470,321,68.3,149,31.7,03025
3,26,484,363,75.0,121,25.0,03026
3,27,389,240,61.7,149,38.3,03027
3,28,307,299,97.39,8,2.61,03028
3,29,406,398,98.03,8,1.97,03029
3,30,213,208,97.65,5,2.35,03030
3,31,421,419,99.52,2,0.48,03031
3,32,397,324,81.61,73,18.39,03032
3,33,367,255,69.48,112,30.52,03033
3,34,434,346,79.72,88,20.28,03034
3,35,47,43,91.49,4,8.51,03035
3,36,239,235,98.33,4,1.67,03036
3,37,332,321,96.69,11,3.31,03037
3,39,342,244,71.35,98,28.65,03039
3,40,431,391,90.72,40,9.28,03040
4,2,426,315,73.94,111,26.06,04002
4,4,494,479,96.96,15,3.04,04004
4,5,419,405,96.66,14,3.34,04005
4,6,532,501,94.17,31,5.83,04006
4,7,496,476,95.97,20,4.03,04007
4,8,118,117,99.15,1,0.85,04008
4,10,473,458,96.83,15,3.17,04010
4,11,296,291,98.31,5,1.69,04011
4,13,264,209,79.17,55,20.83,04013
4,14,66,64,96.97,2,3.03,04014
4,15,115,109,94.78,6,5.22,04015
4,16,372,276,74.19,96,25.81,04016
4,17,417,339,81.29,78,18.71,04017
4,20,408,320,78.43,88,21.57,04020
4,21,390,310,79.49,80,20.51,04021
4,22,8,8,100.0,0,0.0,04022
4,25,403,300,74.44,103,25.56,04025
4,28,264,248,93.94,16,6.06,04028
4,29,125,123,98.4,2,1.6,04029
4,30,80,78,97.5,2,2.5,04030
4,34,367,351,95.64,16,4.36,04034
4,35,534,517,96.82,17,3.18,04035
4,36,244,240,98.36,4,1.64,04036
4,37,394,301,76.4,93,23.6,04037
5,6,0,0,0.0,0,0.0,05006
6,21,260,257,98.85,3,1.15,06021
11,2,61,47,77.05,14,22.95,11002
11,6,356,261,73.31,95,26.69,11006
11,7,299,250,83.61,49,16.39,11007
11,14,174,120,68.97,54,31.03,11014
11,30,173,131,75.72,42,24.28,11030
11,33,321,225,70.09,96,29.91,11033
11,34,125,97,77.6,28,22.4,11034
11,35,117,96,82.05,21,17.95,11035
11,36,140,107,76.43,33,23.57,11036
11,37,100,78,78.0,22,22.0,11037
12,10,68,64,94.12,4,5.88,12010
12,15,120,105,87.5,15,12.5,12015
12,18,71,62,87.32,9,12.68,12018
15,2,241,237,98.34,4,1.66,15002
15,3,250,248,99.2,2,0.8,15003
15,7,285,282,98.95,3,1.05,15007
