ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,192,192,100.0,01028
2,20,64,64,100.0,02020
2,22,408,408,100.0,02022
2,24,381,381,100.0,02024
2,26,375,375,100.0,02026
32,1,327,327,100.0,32001
32,5,26,26,100.0,32005
32,7,483,483,100.0,32007
32,8,473,473,100.0,32008
32,9,399,399,100.0,32009
32,10,431,431,100.0,32010
32,13,409,409,100.0,32013
32,15,442,442,100.0,32015
32,16,405,405,100.0,32016
32,18,420,420,100.0,32018
32,19,409,409,100.0,32019
32,21,464,464,100.0,32021
32,23,408,408,100.0,32023
32,24,303,303,100.0,32024
32,25,427,427,100.0,32025
32,27,374,374,100.0,32027
32,29,104,104,100.0,32029
32,30,400,400,100.0,32030
32,33,197,197,100.0,32033
32,34,51,51,100.0,32034
32,36,25,25,100.0,32036
32,37,226,226,100.0,32037
32,38,386,386,100.0,32038
32,39,451,451,100.0,32039
32,40,457,457,100.0,32040
32,41,433,433,100.0,32041
32,42,408,408,100.0,32042
33,3,82,82,100.0,33003
33,5,113,113,100.0,33005
33,8,557,557,100.0,33008
33,9,19,19,100.0,33009
33,10,409,409,100.0,33010
33,20,61,61,100.0,33020
33,23,468,468,100.0,33023
33,24,561,561,100.0,33024
43,2,416,416,100.0,43002
43,6,428,428,100.0,43006
43,9,476,476,100.0,43009
43,16,473,473,100.0,43016
43,17,367,367,100.0,43017
43,18,460,460,100.0,43018
43,20,451,451,100.0,43020
43,21,447,447,100.0,43021
43,22,401,401,100.0,43022
43,24,347,347,100.0,43024
43,29,377,377,100.0,43029
43,30,458,458,100.0,43030
43,31,440,440,100.0,43031
43,37,476,476,100.0,43037
43,39,375,375,100.0,43039
43,40,334,334,100.0,43040
43,41,524,524,100.0,43041
43,44,424,424,100.0,43044
44,2,482,482,100.0,44002
44,9,438,438,100.0,44009
44,11,326,326,100.0,44011
44,16,513,513,100.0,44016
44,25,444,444,100.0,44025
44,30,528,528,100.0,44030
47,1,318,318,100.0,47001
47,2,470,470,100.0,47002
47,3,429,429,100.0,47003
47,4,516,516,100.0,47004
47,5,113,113,100.0,47005
47,6,483,483,100.0,47006
47,7,421,421,100.0,47007
47,8,477,477,100.0,47008
47,9,418,418,100.0,47009
47,11,431,431,100.0,47011
47,12,445,445,100.0,47012
47,13,457,457,100.0,47013
47,14,394,394,100.0,47014
47,16,438,438,100.0,47016
47,17,399,399,100.0,47017
47,18,398,398,100.0,47018
47,21,426,426,100.0,47021
47,24,444,444,100.0,47024
47,25,430,430,100.0,47025
47,27,428,428,100.0,47027
47,28,21,21,100.0,47028
47,29,442,442,100.0,47029
47,33,439,439,100.0,47033
47,35,408,408,100.0,47035
47,39,432,432,100.0,47039
47,40,473,473,100.0,47040
47,41,61,61,100.0,47041
47,43,421,421,100.0,47043
47,44,406,406,100.0,47044
47,46,417,417,100.0,47046
47,47,468,468,100.0,47047
47,48,27,27,100.0,47048
