ward,precinct,total,Mike Quigley,Mike Quigley Percent,Dan Schmitt,Dan Schmitt Percent,Nancy Wade,Nancy Wade Percent,precinct_id
1,3,593,449,75.72,100,16.86,44,7.42,01003
1,4,528,374,70.83,108,20.45,46,8.71,01004
1,5,537,415,77.28,80,14.9,42,7.82,01005
1,6,498,357,71.69,91,18.27,50,10.04,01006
1,8,435,347,79.77,56,12.87,32,7.36,01008
1,10,536,396,73.88,98,18.28,42,7.84,01010
1,11,606,445,73.43,111,18.32,50,8.25,01011
1,14,404,315,77.97,61,15.1,28,6.93,01014
1,21,595,430,72.27,108,18.15,57,9.58,01021
1,28,197,173,87.82,11,5.58,13,6.6,01028
1,32,273,201,73.63,48,17.58,24,8.79,01032
1,33,490,365,74.49,81,16.53,44,8.98,01033
1,35,503,369,73.36,83,16.5,51,10.14,01035
1,36,576,414,71.88,110,19.1,52,9.03,01036
1,37,510,347,68.04,112,21.96,51,10.0,01037
1,38,108,82,75.93,21,19.44,5,4.63,01038
1,39,397,309,77.83,50,12.59,38,9.57,01039
1,40,441,336,76.19,63,14.29,42,9.52,01040
2,1,542,402,74.17,92,16.97,48,8.86,02001
2,3,590,457,77.46,90,15.25,43,7.29,02003
2,4,519,372,71.68,89,17.15,58,11.18,02004
2,5,594,432,72.73,100,16.84,62,10.44,02005
2,6,523,384,73.42,88,16.83,51,9.75,02006
2,7,529,395,74.67,102,19.28,32,6.05,02007
2,8,585,423,72.31,114,19.49,48,8.21,02008
2,12,191,118,61.78,64,33.51,9,4.71,02012
2,14,100,84,84.0,10,10.0,6,6.0,02014
2,15,519,378,72.83,86,16.57,55,10.6,02015
2,16,490,373,76.12,80,16.33,37,7.55,02016
2,17,2,0,0.0,2,100.0,0,0.0,02017
2,20,324,209,64.51,90,27.78,25,7.72,02020
2,21,535,413,77.2,72,13.46,50,9.35,02021
2,22,566,347,61.31,196,34.63,23,4.06,02022
2,24,506,348,68.77,142,28.06,16,3.16,02024
2,25,563,427,75.84,96,17.05,40,7.1,02025
2,26,512,361,70.51,134,26.17,17,3.32,02026
2,28,392,273,69.64,101,25.77,18,4.59,02028
2,30,515,327,63.5,162,31.46,26,5.05,02030
2,31,719,472,65.65,215,29.9,32,4.45,02031
2,33,830,533,64.22,270,32.53,27,3.25,02033
2,37,553,387,69.98,146,26.4,20,3.62,02037
2,38,120,62,51.67,55,45.83,3,2.5,02038
2,44,383,235,61.36,131,34.2,17,4.44,02044
26,28,96,68,70.83,16,16.67,12,12.5,26028
26,32,382,271,70.94,77,20.16,34,8.9,26032
27,7,572,438,76.57,71,12.41,63,11.01,27007
27,12,500,327,65.4,149,29.8,24,4.8,27012
