ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Donald E. Peloquin,Donald E. Peloquin Percent,precinct_id
3,2,36,35,97.22,1,2.78,03002
3,4,446,438,98.21,8,1.79,03004
3,7,530,522,98.49,8,1.51,03007
3,12,103,101,98.06,2,1.94,03012
3,18,264,253,95.83,11,4.17,03018
3,23,93,90,96.77,3,3.23,03023
3,30,269,266,98.88,3,1.12,03030
3,31,25,25,100.0,0,0.0,03031
3,35,238,224,94.12,14,5.88,03035
3,38,511,501,98.04,10,1.96,03038
3,41,458,411,89.74,47,10.26,03041
4,1,737,671,91.04,66,8.96,04001
4,3,562,552,98.22,10,1.78,04003
4,4,122,118,96.72,4,3.28,04004
4,8,503,490,97.42,13,2.58,04008
4,9,665,653,98.2,12,1.8,04009
4,11,245,237,96.73,8,3.27,04011
4,12,668,655,98.05,13,1.95,04012
4,14,505,492,97.43,13,2.57,04014
4,15,488,482,98.77,6,1.23,04015
4,18,570,559,98.07,11,1.93,04018
4,19,716,705,98.46,11,1.54,04019
4,22,551,499,90.56,52,9.44,04022
4,23,751,670,89.21,81,10.79,04023
4,24,602,558,92.69,44,7.31,04024
4,26,616,600,97.4,16,2.6,04026
4,27,627,577,92.03,50,7.97,04027
4,28,243,241,99.18,2,0.82,04028
4,29,330,326,98.79,4,1.21,04029
4,30,568,558,98.24,10,1.76,04030
4,31,578,549,94.98,29,5.02,04031
4,32,629,606,96.34,23,3.66,04032
4,33,679,652,96.02,27,3.98,04033
4,36,297,285,95.96,12,4.04,04036
4,38,681,662,97.21,19,2.79,04038
5,2,549,537,97.81,12,2.19,05002
5,3,516,469,90.89,47,9.11,05003
5,4,630,607,96.35,23,3.65,05004
5,5,628,622,99.04,6,0.96,05005
5,6,64,64,100.0,0,0.0,05006
5,7,566,513,90.64,53,9.36,05007
5,8,522,443,84.87,79,15.13,05008
5,9,603,575,95.36,28,4.64,05009
5,10,412,405,98.3,7,1.7,05010
5,11,298,267,89.6,31,10.4,05011
5,12,507,498,98.22,9,1.78,05012
5,13,589,581,98.64,8,1.36,05013
5,15,526,496,94.3,30,5.7,05015
5,16,562,550,97.86,12,2.14,05016
5,17,587,578,98.47,9,1.53,05017
5,18,267,256,95.88,11,4.12,05018
5,19,505,436,86.34,69,13.66,05019
5,20,616,576,93.51,40,6.49,05020
5,21,502,455,90.64,47,9.36,05021
5,22,569,502,88.22,67,11.78,05022
5,24,549,500,91.07,49,8.93,05024
5,25,165,161,97.58,4,2.42,05025
5,27,501,410,81.84,91,18.16,05027
5,30,586,574,97.95,12,2.05,05030
5,33,618,611,98.87,7,1.13,05033
5,34,581,498,85.71,83,14.29,05034
5,35,470,411,87.45,59,12.55,05035
5,36,149,146,97.99,3,2.01,05036
5,39,461,397,86.12,64,13.88,05039
6,1,576,566,98.26,10,1.74,06001
6,2,533,522,97.94,11,2.06,06002
6,3,569,563,98.95,6,1.05,06003
6,4,496,489,98.59,7,1.41,06004
6,5,481,475,98.75,6,1.25,06005
6,6,520,510,98.08,10,1.92,06006
6,7,536,532,99.25,4,0.75,06007
6,8,539,536,99.44,3,0.56,06008
6,9,595,585,98.32,10,1.68,06009
6,10,462,459,99.35,3,0.65,06010
6,11,584,580,99.32,4,0.68,06011
6,12,569,561,98.59,8,1.41,06012
6,13,405,396,97.78,9,2.22,06013
6,14,544,533,97.98,11,2.02,06014
6,15,613,608,99.18,5,0.82,06015
6,16,520,514,98.85,6,1.15,06016
6,17,503,499,99.2,4,0.8,06017
6,18,425,418,98.35,7,1.65,06018
6,19,523,516,98.66,7,1.34,06019
6,20,441,435,98.64,6,1.36,06020
6,21,28,25,89.29,3,10.71,06021
6,22,451,443,98.23,8,1.77,06022
6,23,443,440,99.32,3,0.68,06023
6,24,428,421,98.36,7,1.64,06024
6,25,389,382,98.2,7,1.8,06025
6,26,458,453,98.91,5,1.09,06026
6,27,401,394,98.25,7,1.75,06027
6,28,414,410,99.03,4,0.97,06028
6,29,547,543,99.27,4,0.73,06029
6,30,561,552,98.4,9,1.6,06030
6,31,497,491,98.79,6,1.21,06031
6,32,533,526,98.69,7,1.31,06032
6,33,534,527,98.69,7,1.31,06033
6,34,526,520,98.86,6,1.14,06034
6,35,473,468,98.94,5,1.06,06035
6,36,528,521,98.67,7,1.33,06036
6,37,506,498,98.42,8,1.58,06037
6,38,525,513,97.71,12,2.29,06038
6,39,549,541,98.54,8,1.46,06039
6,40,521,517,99.23,4,0.77,06040
6,41,569,563,98.95,6,1.05,06041
6,42,550,542,98.55,8,1.45,06042
6,43,501,493,98.4,8,1.6,06043
6,44,536,512,95.52,24,4.48,06044
6,45,553,541,97.83,12,2.17,06045
6,46,499,493,98.8,6,1.2,06046
6,47,466,460,98.71,6,1.29,06047
6,48,524,520,99.24,4,0.76,06048
7,1,207,206,99.52,1,0.48,07001
8,1,494,489,98.99,5,1.01,08001
8,2,611,602,98.53,9,1.47,08002
8,3,516,512,99.22,4,0.78,08003
8,4,180,177,98.33,3,1.67,08004
8,5,507,503,99.21,4,0.79,08005
8,6,536,530,98.88,6,1.12,08006
8,8,491,486,98.98,5,1.02,08008
8,10,577,571,98.96,6,1.04,08010
8,11,474,463,97.68,11,2.32,08011
8,12,479,472,98.54,7,1.46,08012
8,13,650,639,98.31,11,1.69,08013
8,14,439,434,98.86,5,1.14,08014
8,15,531,526,99.06,5,0.94,08015
8,16,233,231,99.14,2,0.86,08016
8,18,519,513,98.84,6,1.16,08018
8,19,547,541,98.9,6,1.1,08019
8,20,554,547,98.74,7,1.26,08020
8,21,694,692,99.71,2,0.29,08021
8,22,508,504,99.21,4,0.79,08022
8,23,503,497,98.81,6,1.19,08023
8,24,297,295,99.33,2,0.67,08024
8,25,530,525,99.06,5,0.94,08025
8,26,501,498,99.4,3,0.6,08026
8,27,88,88,100.0,0,0.0,08027
8,29,622,610,98.07,12,1.93,08029
8,30,551,541,98.19,10,1.81,08030
8,31,415,411,99.04,4,0.96,08031
8,33,514,507,98.64,7,1.36,08033
8,34,477,476,99.79,1,0.21,08034
8,35,576,569,98.78,7,1.22,08035
8,37,425,414,97.41,11,2.59,08037
8,38,380,376,98.95,4,1.05,08038
8,40,406,403,99.26,3,0.74,08040
8,41,559,555,99.28,4,0.72,08041
8,43,323,316,97.83,7,2.17,08043
8,44,402,397,98.76,5,1.24,08044
8,45,607,599,98.68,8,1.32,08045
8,47,433,426,98.38,7,1.62,08047
8,48,585,582,99.49,3,0.51,08048
8,49,488,480,98.36,8,1.64,08049
8,50,335,333,99.4,2,0.6,08050
8,51,507,501,98.82,6,1.18,08051
8,52,611,607,99.35,4,0.65,08052
8,54,471,468,99.36,3,0.64,08054
8,55,322,319,99.07,3,0.93,08055
8,56,527,523,99.24,4,0.76,08056
9,12,574,570,99.3,4,0.7,09012
9,23,526,519,98.67,7,1.33,09023
9,24,545,539,98.9,6,1.1,09024
9,25,501,494,98.6,7,1.4,09025
9,36,464,463,99.78,1,0.22,09036
9,42,536,530,98.88,6,1.12,09042
9,47,505,500,99.01,5,0.99,09047
9,48,519,513,98.84,6,1.16,09048
9,49,504,503,99.8,1,0.2,09049
9,50,618,611,98.87,7,1.13,09050
9,51,493,485,98.38,8,1.62,09051
13,19,375,319,85.07,56,14.93,13019
13,41,60,55,91.67,5,8.33,13041
16,6,5,5,100.0,0,0.0,16006
