ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
28,1,354,354,100.0,28001
28,12,422,422,100.0,28012
28,14,392,392,100.0,28014
28,31,481,481,100.0,28031
28,39,352,352,100.0,28039
28,41,389,389,100.0,28041
28,42,215,215,100.0,28042
28,43,515,515,100.0,28043
29,2,503,503,100.0,29002
29,3,442,442,100.0,29003
29,6,430,430,100.0,29006
29,8,550,550,100.0,29008
29,11,534,534,100.0,29011
29,14,559,559,100.0,29014
29,16,486,486,100.0,29016
29,18,587,587,100.0,29018
29,19,555,555,100.0,29019
29,20,468,468,100.0,29020
29,21,488,488,100.0,29021
29,22,572,572,100.0,29022
29,26,109,109,100.0,29026
29,28,490,490,100.0,29028
29,33,82,82,100.0,29033
29,34,361,361,100.0,29034
29,42,403,403,100.0,29042
37,1,400,400,100.0,37001
37,5,504,504,100.0,37005
37,6,483,483,100.0,37006
37,9,472,472,100.0,37009
37,10,451,451,100.0,37010
37,11,361,361,100.0,37011
37,14,432,432,100.0,37014
37,15,489,489,100.0,37015
37,16,452,452,100.0,37016
37,17,418,418,100.0,37017
37,20,389,389,100.0,37020
37,22,241,241,100.0,37022
37,23,452,452,100.0,37023
37,24,459,459,100.0,37024
37,25,450,450,100.0,37025
37,26,516,516,100.0,37026
37,27,391,391,100.0,37027
37,29,202,202,100.0,37029
37,30,410,410,100.0,37030
37,31,493,493,100.0,37031
37,32,435,435,100.0,37032
37,33,447,447,100.0,37033
37,34,392,392,100.0,37034
37,36,442,442,100.0,37036
37,38,433,433,100.0,37038
37,39,458,458,100.0,37039
37,40,499,499,100.0,37040
37,41,430,430,100.0,37041
