ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,Robert Handzik,Robert Handzik Percent,precinct_id
13,1,324,233,71.91,91,28.09,13001
13,2,301,184,61.13,117,38.87,13002
13,3,256,220,85.94,36,14.06,13003
13,4,405,273,67.41,132,32.59,13004
13,5,393,350,89.06,43,10.94,13005
13,6,343,184,53.64,159,46.36,13006
13,7,289,255,88.24,34,11.76,13007
13,8,287,197,68.64,90,31.36,13008
13,9,383,318,83.03,65,16.97,13009
13,10,348,196,56.32,152,43.68,13010
13,11,365,263,72.05,102,27.95,13011
13,12,301,251,83.39,50,16.61,13012
13,13,379,331,87.34,48,12.66,13013
13,14,329,260,79.03,69,20.97,13014
13,15,480,421,87.71,59,12.29,13015
13,16,261,236,90.42,25,9.58,13016
13,17,332,237,71.39,95,28.61,13017
13,18,289,204,70.59,85,29.41,13018
13,19,391,353,90.28,38,9.72,13019
13,20,238,147,61.76,91,38.24,13020
13,21,420,256,60.95,164,39.05,13021
13,22,377,247,65.52,130,34.48,13022
13,23,287,234,81.53,53,18.47,13023
13,24,306,250,81.7,56,18.3,13024
13,25,333,250,75.08,83,24.92,13025
13,26,325,251,77.23,74,22.77,13026
13,27,327,260,79.51,67,20.49,13027
13,28,262,223,85.11,39,14.89,13028
13,29,297,239,80.47,58,19.53,13029
13,30,200,180,90.0,20,10.0,13030
13,31,377,234,62.07,143,37.93,13031
13,32,304,183,60.2,121,39.8,13032
13,33,321,204,63.55,117,36.45,13033
13,34,381,342,89.76,39,10.24,13034
13,35,299,264,88.29,35,11.71,13035
13,36,214,179,83.64,35,16.36,13036
13,37,354,309,87.29,45,12.71,13037
13,38,293,193,65.87,100,34.13,13038
13,39,348,311,89.37,37,10.63,13039
13,40,305,248,81.31,57,18.69,13040
13,41,352,320,90.91,32,9.09,13041
13,42,335,181,54.03,154,45.97,13042
13,43,349,282,80.8,67,19.2,13043
13,44,417,389,93.29,28,6.71,13044
13,45,377,289,76.66,88,23.34,13045
13,46,394,341,86.55,53,13.45,13046
13,47,366,321,87.7,45,12.3,13047
13,48,277,175,63.18,102,36.82,13048
14,3,337,298,88.43,39,11.57,14003
14,6,21,20,95.24,1,4.76,14006
14,10,2,1,50.0,1,50.0,14010
14,11,215,195,90.7,20,9.3,14011
14,15,363,323,88.98,40,11.02,14015
14,18,112,82,73.21,30,26.79,14018
14,22,312,232,74.36,80,25.64,14022
14,23,69,54,78.26,15,21.74,14023
18,15,363,333,91.74,30,8.26,18015
18,43,387,303,78.29,84,21.71,18043
18,46,266,202,75.94,64,24.06,18046
23,1,243,146,60.08,97,39.92,23001
23,2,398,261,65.58,137,34.42,23002
23,4,396,261,65.91,135,34.09,23004
23,5,311,268,86.17,43,13.83,23005
23,6,233,184,78.97,49,21.03,23006
23,7,341,300,87.98,41,12.02,23007
23,8,398,290,72.86,108,27.14,23008
23,9,304,266,87.5,38,12.5,23009
23,10,392,326,83.16,66,16.84,23010
23,11,414,352,85.02,62,14.98,23011
23,13,288,249,86.46,39,13.54,23013
23,14,101,57,56.44,44,43.56,23014
23,15,309,274,88.67,35,11.33,23015
23,17,78,70,89.74,8,10.26,23017
23,18,379,229,60.42,150,39.58,23018
23,20,208,172,82.69,36,17.31,23020
23,22,250,175,70.0,75,30.0,23022
23,23,350,203,58.0,147,42.0,23023
23,24,143,117,81.82,26,18.18,23024
23,25,62,50,80.65,12,19.35,23025
23,26,205,156,76.1,49,23.9,23026
23,28,399,251,62.91,148,37.09,23028
23,29,307,190,61.89,117,38.11,23029
23,30,370,307,82.97,63,17.03,23030
23,32,352,294,83.52,58,16.48,23032
23,33,367,313,85.29,54,14.71,23033
23,34,318,276,86.79,42,13.21,23034
23,35,281,172,61.21,109,38.79,23035
23,38,338,200,59.17,138,40.83,23038
23,39,306,272,88.89,34,11.11,23039
